zip,RMSE_train,RMSE_test,RMSE_pure,forecast
27513,48.22386565576871,40.58671471171733,61.01003281233931,"[1238.7073, 1254.8479, 1258.2024, 1258.7521, 1258.8389, 1258.8525, 1258.8546, 1258.855, 1258.855, 1258.855, 1258.855, 1258.855]"
27560,54.36594716425731,54.32895706292354,100.32550337618683,"[1372.5217, 1398.3307, 1404.6621, 1405.7361, 1405.9067, 1405.9336, 1405.9377, 1405.9385, 1405.9385, 1405.9385, 1405.9386, 1405.9386]"
27606,52.96330701225636,41.61261832885977,59.227674944750255,"[1237.3403, 1259.8119, 1264.8267, 1265.6593, 1265.7911, 1265.8119, 1265.8151, 1265.8157, 1265.8157, 1265.8157, 1265.8157, 1265.8157]"
27609,46.409957626584514,35.94030758066151,57.56012930078563,"[1161.5887, 1205.5322, 1223.555, 1227.428, 1228.0664, 1228.1674, 1228.1831, 1228.1857, 1228.186, 1228.186, 1228.186, 1228.1862]"
27612,39.47798684362363,31.727495795993683,55.70812733781249,"[1133.4392, 1163.6569, 1173.3656, 1175.1691, 1175.4598, 1175.5057, 1175.513, 1175.514, 1175.5142, 1175.5142, 1175.5142, 1175.5142]"
27613,40.92870954052071,29.335861310701844,41.579341075253566,"[1172.7668, 1201.9323, 1209.9905, 1211.4014, 1211.6267, 1211.6622, 1211.6678, 1211.6687, 1211.6688, 1211.6688, 1211.6688, 1211.6688]"
27615,41.80757609105456,30.88851479763597,47.55364397127646,"[1141.4344, 1181.0278, 1201.5449, 1206.6241, 1207.4875, 1207.6248, 1207.6464, 1207.6498, 1207.6503, 1207.6504, 1207.6504, 1207.6504]"
27703,55.29836407207795,49.47260063615995,76.94818793038826,"[1151.0132, 1170.7224, 1174.9598, 1175.6583, 1175.7688, 1175.7861, 1175.7888, 1175.7893, 1175.7893, 1175.7894, 1175.7894, 1175.7894]"
27705,52.46891441900654,26.94772587654016,190.04976108589162,"[1210.6206, 1207.9163, 1200.4282, 1183.1133, 1152.5378, 1100.2493, 1028.6514, 983.6932, 975.63745, 974.85394, 974.78796, 974.78253]"
27707,37.62123045108166,27.171814439788587,56.8403607865224,"[1087.1514, 1121.019, 1134.9485, 1137.9467, 1138.441, 1138.5192, 1138.5315, 1138.5333, 1138.5337, 1138.5337, 1138.5337, 1138.5337]"
27713,47.04307969116907,30.264487051590656,88.1200132520492,"[1096.6615, 1145.1438, 1180.552, 1191.946, 1194.0648, 1194.4065, 1194.4603, 1194.4688, 1194.4701, 1194.4702, 1194.4703, 1194.4703]"
28202,54.119040264285864,45.405240199446744,69.19254694646969,"[1571.2742, 1629.2833, 1660.7072, 1668.706, 1670.0754, 1670.2935, 1670.3276, 1670.3331, 1670.3339, 1670.334, 1670.334, 1670.334]"
28210,46.753456648785956,38.62886066810078,69.05168925118817,"[1333.802, 1367.8412, 1377.7925, 1379.5645, 1379.8484, 1379.8931, 1379.9001, 1379.9012, 1379.9014, 1379.9014, 1379.9014, 1379.9014]"
28216,48.906142021617946,34.715788017311574,48.342644819114234,"[1319.1304, 1346.1261, 1353.1559, 1354.3666, 1354.5594, 1354.5897, 1354.5945, 1354.5952, 1354.5953, 1354.5953, 1354.5955, 1354.5955]"
28262,49.979754614439116,36.748005224845606,60.6923431009611,"[1120.1293, 1164.8566, 1181.4391, 1184.801, 1185.3496, 1185.4363, 1185.4498, 1185.452, 1185.4524, 1185.4524, 1185.4524, 1185.4524]"
