zip,RMSE_train,RMSE_test,importance
93308,5.148648133800538,25.886701865986115,"[0.04867162145757886, 0.03671049126797721, 0.12385909987932986, 0.030150832331430344, 0.1522499597023339, 0.004837586161091867, 0.006406810458814638, 0.1433803029615761, 0.06898545094298636, 0.020858515989520043, -0.0027351067072833857, 0.1112559425889279, 0.07729818992772519, 0.07973265153548437, 0.09292468095202788, 0.09035752994277324, 0.014513119137357755, 0.020297475871084103, 0.03795690340618041, 0.0031808486019127002, 0.013617025972104235, 0.09425125313879179, 0.06994611929079131, 0.08426066030860047, 0.018784896845863264, 0.10718970542750927, 0.09979118968562406, 0.015015176627281912, 0.06141525859904995, 0.03439145447728231, 0.021760498313993182, 0.039327106177591276, 0.11894505689317647, 0.024241664548170005, 0.001900284109828343, 0.04653214377523085, 0.008030282221748841, 0.006101641826257165, 0.06003820714637964, 0.0, 0.0, 0.0, 0.08091364724678951, 0.12386636852621002, 0.02417176862554271, 0.05602343731677717, 0.05207145946447178, 0.022085002897856088, 0.06129189405824076, 0.017278243744263788, 0.005138007582723869, 0.00029355109394813006, 0.006698332716127853, 0.04886682428954425, 0.0, -0.005287461662113246, 0.012019737414082243, 0.165020888065331, -0.00825175673295242, 0.019635913112023395, 0.10622411986546898, 0.015527527222174653, 0.2048269076528575, -0.0002686018284872027, 0.15622957811387872, 0.018305091190236045, 0.016106828669089968, 0.022790795837840827, 0.011401649754517962, 0.04802895278608332, -0.0011881580399950575, 0.17245612859248016, 0.0, 0.0, 0.0, 0.008716324973042866, 0.044579197837693485, 0.0, 0.0, 0.005559062061878839, -0.005366996005838565, 0.040010974647327835, 0.1390657901504544, 0.04275452703282934, 0.007743193771742929, 0.03679134228111991, 0.030339167041199433, 0.06414517323027336, 0.012009589184225788]"
93309,7.332875437302247,53.99125420861989,"[0.0030247050548601884, -0.004069235783670022, 0.017011714587231497, 0.03660047700831148, 0.02961122191828336, 0.0050948875011462835, 0.034871161648155846, 0.06842003849262146, 0.022453578120519735, 0.012729081111468643, 0.030384719047351183, 0.01757248580448878, 0.014261267789739351, 0.13115488126000452, 0.03205020183766161, 0.01734227253249676, 0.001889142745602257, 0.02205112660438502, 0.013183030136930896, 0.003292902207048254, 0.043919803936609325, 0.07039682089461308, 0.1033954864952471, 0.0009934291005258, 0.010362563344986198, 0.090502072167983, 0.0019564739638178175, 0.008992743207814069, 0.010621027309309472, 0.03208015264470232, 0.12367598135655467, 0.007054995430083366, 0.023563711625391726, 0.00813471380502051, 0.002374081630867053, 0.039143746823516734, 0.03255136694841143, 0.003944629758469098, -0.007006762742532202, 0.0, 0.0, 0.0, 0.09619850521316176, 0.01832656895756868, 0.03376444104633247, 0.1234881953872744, 0.010152564455778279, 0.02487463657234401, 0.02056098177336607, 0.007528385947310312, 0.005805503366627995, 0.010070801270527285, 0.040028331615696855, 0.03217928723794028, 0.0, 0.01586847656541157, 0.023377087902251015, 0.11448469221878144, 0.02110519309967218, 0.018442965110322174, 0.05654289611599661, 0.009422678849470234, 0.016351813712424557, 0.003497699029390011, 0.003479119864529423, 0.006833269376583795, -0.008964485045957482, 0.060693145643965885, -0.003069719354686251, 0.01532523035721911, 0.0473327622162365, 0.010515274227551608, 0.0, 0.0, 0.0, 0.03297012739648997, 0.009728000829138717, 0.0, 0.0, 0.024079308024753, 0.008173810425271322, 0.13406599919587991, 0.06448166938461797, 0.05170357928984748, 0.011832630521619203, 0.006822685120227323, 0.015575019554660674, 0.038104225139571124, 0.01435611766600875]"
93906,32.51428562427452,84.98654823274401,"[0.02221452161951598, -0.012648323939889239, -0.0036111157087883594, 0.04185940489437878, 0.0072822086085055915, -0.004219469803042997, -0.0035462913406255625, -0.018509638540023077, 0.18680931086847097, -0.06791359111476147, 0.013497617488752889, -0.0014395834811250507, 0.08853979927011957, -0.00748816049580614, 0.008307251007243277, 0.1605569354782852, -0.01778352481125489, 0.010031686004980944, 0.04319674130261775, -0.001054665091707041, -0.009472654612661335, -0.01353564820011377, -0.029860194994342004, 0.01175759045360536, -0.019654170195111065, -0.020734690014846735, 0.10539783072043352, 0.0013964419969973996, -0.006937318752827437, -0.0073975390946445785, 0.010329084255383814, -0.033699033199612316, 0.02503342605583292, 0.026499399304065197, -0.01709514818430591, 0.013188506789941545, 0.025801137777442973, 0.07878588086455185, -0.016257514189880085, 0.0, 0.0, 0.0, 0.020146178330009423, 0.02357577885796358, -0.0041995332325037715, -0.0035235356647936866, 0.00990147981899625, 0.0013626038335459167, -0.036003802788231676, -0.003971201815729519, 0.021584091684230255, -0.0480895022841028, -0.007934907180905948, 0.003819022637682856, 0.0, -0.020671817007203885, -0.014833496551959757, 0.0012356157593487183, 0.01067637176544145, -0.003925144727025653, 0.01061231756594827, 0.012899313016049296, -0.004258039227899579, -0.005922954809530867, 0.007614516172116836, 0.025428482843940392, -0.0011691250233125672, -0.07325129762755722, -0.005505000626139456, -0.0018861429314994682, -0.015453388112974475, -0.019740431241814793, 0.0, 0.0, 0.0, 0.014821317872146134, 0.013876128598342197, 0.0, 0.0, -0.036017266261624936, -0.005173479066248654, 0.0, 0.0, 0.020188688171860925, 5.979362858443693e-05, 0.03869950901828356, -0.028006228771038977, -0.04455776582027482, -0.0073776050941328775]"
94010,20.924127330352974,30.576863712820117,"[0.07378438264492737, 0.04822846493094146, 0.14740261079004013, 0.008053912850887635, 0.07462874308936751, 0.011813759414082137, 0.08833542903704505, 0.05219174765431078, 0.08057591447515278, 0.006313037514488196, 0.019498047311543143, 0.043003978037843726, 0.013685529876328317, 0.012578728314412979, 0.04777883869856803, 0.0051112609585128865, 0.09937571101698639, 0.021876889229968777, 0.022762607776797283, 0.13441513820271211, 0.07543602507830682, 0.1649240206131155, 0.025887132491775988, 0.1339543346494212, 0.08369340729707964, 0.08843199209496211, 0.032522949953712965, 0.07383063149070868, 0.022963573287623662, 0.13401296592757372, 0.007990047248517929, 0.16637903151311173, 0.24388184381860767, -0.005512434139450462, 0.27415405237012647, 0.14704375837400518, 0.07385737759213007, 0.006344051576441023, 0.02891332300056093, 0.0, 0.0, 0.0, 0.01813727886185057, -0.00023560422367152611, 0.030194738827238554, 0.021043738856824756, 0.07518436067149858, -0.04050043338610543, 0.05779981212439034, 0.02513626327797036, 0.026344298145315248, 0.0829441649587257, -0.040794582190226025, 0.003107086715213425, 0.011944017177506483, 0.028628588583934134, -0.021711096622021087, 0.014053301954659148, 0.024885278977912817, 0.016220389587746187, 0.017656902976615818, 0.038367524273507536, 0.05633057757756155, 0.09350105921181573, 0.11228656958406757, 0.0005458836879121964, 0.012612661051043528, 0.10756909305561613, 0.1629200849981698, 0.0067496952482482, 0.03198877070172812, 0.13282891115985218, 0.0, 0.01241937297439244, 0.024728032967917146, 0.05859429216212786, 0.015964951386046256, 0.0, 0.0009202891357165122, 0.09881254632675329, -0.0015266874368272676, 0.11656290681500758, 0.04378901376728028, -0.0023000024400489094, 0.35974651666087043, 0.45119074567739714, 0.018477507879735233, 0.06710363257056629, 0.00167904513261119]"
94025,27.204956961056883,126.29686454594818,"[0.008696653846405944, 0.003805493270932825, -0.0018519569741599629, 0.005119836536532141, -0.027369562161175476, 0.06931370527863301, 0.0373506981441456, 0.019110250894357694, 0.02346595548644781, 0.09051417398688844, 0.10602710584101582, 0.03175198036433735, 0.11571312905678077, 0.0625067307411602, 0.0028348188419555775, 0.029926513661776122, 0.08540955685682383, 0.012775298925641998, 0.0138769285884357, 0.04543280152842755, 0.05914961796074447, 0.4151148381169165, -0.003013447768529298, 0.2450475043752598, 0.004947395038859215, 0.055614361328765405, 0.003379954268778018, 0.015227239466401254, 0.009468665533549858, 0.10613286535077893, 0.09946214310670021, 0.24591900802148636, 0.0025250842768778092, 0.06821516726161181, 0.2022278727201714, 0.08598043545077427, 0.013900771891382613, 0.06675242414286653, -0.015263309513738221, 0.0, 0.0, 0.0, 0.0030918458010655847, 0.004154415329528094, -0.00971362721396285, 0.027256551192692546, 0.15696969501808322, -0.003232353108185926, -0.00129872041985013, 0.0030845250327686813, -0.002736681092896931, 0.019624886316319312, 0.009291603003399596, 0.004135196562086163, 0.014382079570897544, -0.0010211430378491704, 0.000981248834272641, 0.004859564792384585, 0.011349740897680594, -0.010363288241943991, 0.005922004489414157, 0.09951351827000843, 0.03525589509864213, 0.00598270432318615, 0.031779215247294657, 0.0017625718938063528, 0.05118524973307714, 0.011688232523895392, 0.011411921276310633, -0.004313753677457344, 0.0366344155602909, 0.04091952279885125, 0.0, 0.014706662170322016, 0.04768528804243832, 0.02796273648403247, 0.0034998734312114976, 0.0, 0.014829724418516266, 0.010168020074391881, 0.04899333782462789, -0.0032752508738176367, -0.02808224959098049, 0.09066587045207175, 0.021674895118287463, 0.1317257963696814, 0.10627767647414132, 0.15766252203138742, 0.015277218812788096]"
94040,26.99295174032692,93.97887086887462,"[0.002755150108932236, 0.10812570004992983, 0.03954998962026357, 0.0163655780294667, 0.0445254683378391, 0.11783233034297003, 0.21123756082770617, 0.08778137964339017, 0.005326294121937192, 0.04309024991840604, 0.38257087435270565, 0.019439010660592615, 0.040391398400455136, 0.08188081179013773, 0.012494211490125195, 0.07622239358539029, 0.11507987045503532, 0.03017971252690299, 0.28919583177344266, 0.03504344947487392, 0.04587913969329227, 0.01161737313302802, 0.010578953175965244, 0.13236260159964885, 0.18919225722791144, 0.14275485459844806, 0.06743416468254892, 0.029527877905077604, 0.052858444914167135, 0.05980339525756184, 0.01700198348942883, 0.01796490620630542, 0.11303702159149642, 0.017112665208932176, 0.01581227012448916, 0.08227400711038046, 0.02254645006105438, 0.05528288754534305, 0.05105561382031998, 0.27729822740148036, 0.06480518357195719, 0.22229371168099088, 0.005518717423322439, 0.003429841775736131, 0.2862386667331853, 0.023658467126418392, 0.2903858134562922, 0.016464001077664436, 0.36205904066361416, 0.05208186135622217, 0.014978111339607025, 0.15391256022463629, 0.015858725904111637, 0.0082391527054968, 0.09116389984686868, 0.027602134610823503, 0.03909456787573862, -0.0005559575009222995, 0.0019986876825865973, 0.07884790309282552, 0.02232988389745838, 0.05168952147861172, 0.2916957672861715, 0.1015118513786264, 0.01727083143417385, 0.017146258339111986, 0.04311464905250295, 0.026959151532372383, 0.00598443605058141, 0.01302675356574512, 0.0028586241078976116, 0.09797621171221649, 0.0, 0.047983941236465766, 0.027471979914928113, 0.04754688958818054, 0.0065105711218691464, 0.0, 0.00959624104011425, 0.026205856102129443, 0.12310107056790431, 0.12145009076981639, 0.07454171929295672, 0.03790626525827334, 0.2106518981791825, 0.023937751677179042, 0.0023446815814773814, 0.05009968122218411, 0.11112666118227721]"
94061,24.81521827581696,208.17142924889924,"[0.1276522472663404, 0.02280544527169326, 0.07805113591105872, 0.069162217327845, 0.06644901777613565, 0.4814969483686584, 0.2517488875881315, 0.022440029752830215, 0.0551414849290508, 0.07964883851864446, 0.08907727616285732, 0.06310138511550578, 0.01450472835937755, 0.014566067937526128, 0.026929702224719243, 0.2637470726068447, 0.039623156587230035, 0.1891495221175914, 0.04534410603980854, 0.07676361122217501, 0.08730921742293063, 0.05199205349251668, 0.22436417813466925, 0.18441767666907016, 0.020270876387848524, 0.08149206782465779, 0.23047689167950458, 0.2225016195040579, 0.6325750654140447, 0.045269854113958674, 0.021312965818287788, 0.02779307633874928, 0.10880944152121153, 0.03577859491600699, 0.013423457510200354, 0.2907669758954581, 0.12309084777134904, 0.10793748433909789, 0.013588257844380891, 0.0, 0.0, 0.0, 0.1619078882655074, 0.031562160729920574, 0.004965912794206995, 0.047611320109594235, 0.05730057769834773, 0.03244850397224974, 0.0022651695196096444, 0.012901949138847568, 0.01598304382086635, 0.07164104759878032, -0.015512354070965406, 0.006657252450367412, 0.0006943003986514817, 0.013662481334761667, 0.025701290635028018, -0.001471040773177501, 0.008386218298023884, 0.003702849260253105, 0.00499346363622144, 0.07123354608837151, 0.032366518464074234, 0.0017408319090101987, 0.045079990329137676, -0.0017790586576788003, -7.909654507920472e-05, 0.0028581553690478767, 0.025415948152341494, -0.0074386407306233915, 0.03403853921293831, 0.12225059268095428, 0.0, 0.07118322458663195, 0.19289198553912157, 0.039936164084158454, -0.003871590962562288, 0.0, 0.007125991767124695, 0.03692721039046454, 0.16934217624690806, 0.01268316515995438, 0.18190560368733144, -0.006926261124633792, 0.02157645085543436, 0.5317268708820342, 0.040899356680710985, 0.06983050107361488, -0.0012387401102678108]"
94066,22.08065954547691,50.70164881396417,"[0.09816105027780186, 0.4963280638875667, 0.09204812324244882, 0.018190227236004164, 0.11025582740054984, 0.08132400499319381, 0.3297036048322679, 0.03668471306622867, 0.19935952266519963, 0.004423706629942181, 0.0024347245966171993, 0.5125328254478918, 0.03851672519886473, 0.040894227195335864, 0.1137832920657198, 0.00980653126521247, 0.1359791828122221, 0.28533365772202135, 0.07830606530190498, 0.19528218876916825, 0.23667888245567004, 0.1543120425761617, 0.014628708459439643, 0.09841780619840979, 0.14508532405377883, 0.14335579786589392, 0.2752720355891556, 0.037755456599205095, 0.24015237784544552, 0.083838059880458, 0.09770949572950904, 0.11983137976201674, 0.2640515092504039, 0.4382024781619087, 0.2275716199551714, 0.44060579755389107, 0.03472636168269427, 0.07154462326472788, 0.048637006395573223, 0.0, 0.0, 0.0, 0.009748886581171679, 0.00044198996650890443, 0.039706119284746544, 0.0037911672971213672, 0.17971160700891797, 0.006130516124911889, 0.0382146020358034, 0.01403375850499522, -0.0022016163416438417, -0.011920664567003358, 0.025590529114422056, 0.0021574456285318178, 0.0021142661625166426, 0.0058520832767690045, 0.05358669479265421, 0.00703771462274605, 0.0024384992702839448, 0.03336876503033537, -0.00398941177069656, 0.0073061319959242255, 0.028076152707890545, 0.07185795525545635, 0.04101263649349507, 0.00369782572218047, -0.004858099133163152, 0.030473281783825135, 0.12429209230733629, -0.002005498797610694, 0.021436657599469555, 0.04233722800313289, 0.0, 0.0014031497362581025, 0.06226514698642038, 0.02838882774405227, 0.014283358615775787, 0.0, 0.04135584002095172, -0.0035821276486404097, 0.03447701962541294, 0.04178868755335641, 0.007484850615810057, 0.07537821374986242, 0.12210418439759674, 0.2352111068083791, 0.45144206927844843, 0.022794670266649497, 0.004350950391194264]"
94085,24.21459142951667,90.82347287047146,"[0.039302625982627015, 0.005176090970407499, 0.01576227961479315, 0.0049863765591540155, 0.02262863994334552, 0.035417384253940254, 0.034397413684623235, 0.016341448324005414, 0.016157270082809205, 0.01942360640572538, 0.07019790251151492, 0.0076004577656587635, 0.07433888165832103, 0.030594901707792, 0.03250751490601589, 0.047097669973650724, 0.02443539350681201, 0.06584275108961934, 0.012559810108822234, 0.007728801270886709, 0.0957974012399081, 0.09221142187553988, 0.04220398642566581, 0.02218327995735292, -0.0010461343567792492, 0.05316317493122291, 0.005163481392309155, 0.12207356369080014, 0.03862447977506789, 0.023290368775640058, 0.12453798480525857, 0.03312587927048205, 0.02680979556200147, 0.023163434132963845, 0.24079503040275174, 0.05974236612862538, 0.010432376484459605, 0.006606946583677331, 0.031074132381552433, 0.0, 0.0, 0.0, 0.014478365165414342, 0.0054247790547299335, 0.005301167668952722, 0.009614746298347798, 0.17733177773675202, 0.04078837049813733, 0.08091465001752463, 0.04695298928547387, 0.012224780408037983, -0.007232277825273248, 0.0082274424062172, 0.03684587340619405, 0.02474951365996847, 0.00233345123901052, 0.016424259115136453, 0.00990394372420167, 0.002453829820935338, 0.03922090699430569, 0.013700043763927416, 0.15213636931633778, 0.03054147944052077, 0.04205616553510816, 0.0028941400789861405, 0.015530462362247643, 0.02251858451454991, 0.025887826165344796, -0.0007934004080424328, 0.05503458658456872, 0.05511136895050339, 0.06690584247923903, 0.0, 0.02467756362190321, 0.017816695763149593, 0.025682559373009006, 0.008120210565216057, 0.0, 0.0018342722301101233, 0.019702124190142722, 0.03537814537456341, 0.046849745098484386, 0.07478337550046676, 0.021108555979539645, 0.12257756229202732, 0.07003660347283525, 0.028262486885924698, 0.05369951980731558, 0.0018871086321097241]"
94086,18.7042961747247,57.51765493418032,"[0.012998353436278087, 0.04319017728314822, 0.07317223480732005, -0.0019430572656390366, 0.020369093050532472, 0.03206330404356539, 0.16003619620952048, 0.04871467084991532, 0.15265760237332393, 0.010956653397474758, 0.00825851107541542, 0.02801877734953262, 0.009475088616190508, 0.026718566278702616, 0.04519062610032898, 0.08452656627275945, 0.04341363450808977, 0.06708993756492321, -0.00717903815566967, 0.01538990097860582, -0.0017430586616786758, 0.025662753801236615, 0.12484526253194961, 0.05032468524816536, 0.029044377328447446, 0.06839426386134617, 0.427960097587083, 0.04442122946177873, 0.03623874155853768, 0.005850167010546636, 0.02149671214934945, 0.06960549077126132, 0.15127155581332996, 0.05567760162437296, 0.07079053794928392, 0.12273179894045372, 0.05273991454885718, 0.1508491261972571, 0.03291662868645728, 0.0, 0.0, 0.0, 0.056476019519955845, 0.015284968260744103, 0.018376902677739837, 0.009930768579281546, 0.17157389924199462, 0.005713409609497511, 0.0907598883090397, 0.045739462321458424, 0.0175863450729159, 0.004334061087817309, -0.00878952475213346, 0.018936670463228777, 0.0063003936290375595, 0.0023079254562368146, 0.04733126513698305, 0.019980708302895556, 0.06591963773251597, 0.02442079592328361, 0.05446039295697891, 0.03722722558376157, -0.003990016803946728, 0.0002527538145222774, 0.01695109629493108, -0.001535552032180365, 0.010832643425798372, 0.01377738393156469, -0.013846073819312243, 0.1774103366651285, 0.02059451866463813, 0.05286437764807039, 0.0, 0.03405688682727748, 0.03224798209235935, 0.0203443769242575, 0.0166249613325411, 0.0, -0.003702592163790319, 0.03966656027293891, 0.05447630701267281, 0.06877681305922745, 0.018527427311100464, 0.025583151854800645, 0.025943672118903693, 0.03357417943633423, 0.08031439031156529, 0.13238942148509492, 0.00976796627603127]"
