zip,RMSE_train,RMSE_test,RMSE_pure,forecast
1013,9.671613260263317,15.21244797288427,133.13499918268454,"[0.64353387 0.54804141 0.48424191 0.40930011 0.33079482 0.25924264
 0.21670916 0.1817492  0.15363458 0.14573479 0.14441456 0.1248989 ]"
1020,7.569459724621392,14.191518457766385,137.91096849927212,"[0.59088499 0.51542242 0.45836427 0.3835653  0.30778986 0.24427153
 0.20469617 0.17122045 0.14205989 0.14351215 0.14872065 0.1401955 ]"
1040,9.264669485486717,17.37517625004811,138.14008171191085,"[0.66119091 0.55523814 0.49887486 0.43153612 0.34374787 0.2634886
 0.21251838 0.16662279 0.13559866 0.11996562 0.11409619 0.08379685]"
1085,10.69702835783929,15.602014620668134,140.82968212498517,"[0.76879258 0.69774677 0.62686568 0.53625276 0.43537676 0.35664644
 0.3077953  0.27398164 0.25286206 0.24234648 0.22860082 0.19162675]"
1104,9.292841898174478,16.914672620297345,139.55034498721994,"[0.65541691 0.58627853 0.5222425  0.45658647 0.37907609 0.31318047
 0.25725816 0.21215808 0.17786236 0.16197432 0.1514376  0.11878501]"
1108,11.961249852800233,16.0152781692759,106.75592896592651,"[0.7810646  0.72876392 0.67771159 0.62964358 0.56181042 0.50265955
 0.46524237 0.43075496 0.41010768 0.40603319 0.39767113 0.3780233 ]"
1109,9.60388580347626,19.48194193704578,138.06639909492048,"[0.71150813 0.67736862 0.630288   0.55663103 0.47772859 0.41110191
 0.3558131  0.31151442 0.27152337 0.24697778 0.22047397 0.18781342]"
1420,7.790897021787658,14.593715127113972,113.31395305606604,"[0.6671019  0.6570727  0.62557811 0.5790828  0.53951671 0.50345367
 0.48506879 0.48277758 0.49224852 0.49823569 0.50402304 0.49755192]"
1440,9.076576544982359,11.454981598291049,73.91373990787243,"[0.76768879 0.76597674 0.74185102 0.69486394 0.64659357 0.60059518
 0.5543172  0.51691694 0.49719874 0.49002813 0.48550146 0.46563169]"
1453,8.350912764067182,8.316001470290228,34.912507794650985,"[0.95621028 0.93416052 0.90835311 0.88092974 0.8606832  0.83846033
 0.82428021 0.80269829 0.79419822 0.77503061 0.76487888 0.72730012]"
1545,10.29274891161565,18.2960150443808,87.4861455464995,"[0.59886261 0.59697694 0.58136315 0.54211225 0.51576364 0.50267474
 0.50467926 0.50940801 0.5201103  0.52833132 0.53019226 0.51418269]"
1550,10.380035579786746,10.106646585552399,14.994955287801526,"[0.91101649 0.90108056 0.87901714 0.85573473 0.84284061 0.82647652
 0.82468943 0.82065458 0.82002572 0.82374488 0.82867405 0.81823093]"
1602,7.371233254052536,8.602892073496028,42.20640369924281,"[0.95853974 0.93625688 0.9009103  0.85212352 0.82352848 0.79315101
 0.77599207 0.76001582 0.75625009 0.75152469 0.74198551 0.71508718]"
1603,8.329621760756432,9.707608987875977,30.278637353815135,"[0.8534894  0.8503855  0.83245736 0.80854443 0.80188808 0.78910676
 0.78819548 0.78562656 0.79750233 0.79823156 0.80474117 0.78872879]"
1604,6.698102129915606,10.119655380882982,63.081616737723046,"[0.86234555 0.85108126 0.82664383 0.78801995 0.75682838 0.72187786
 0.70274854 0.68039422 0.66445652 0.64152096 0.6248852  0.57738468]"
1605,7.956553144834498,8.713465575903019,43.19309408233784,"[0.8522846  0.84840345 0.82944915 0.79921066 0.78494579 0.77243642
 0.76968971 0.76921325 0.78085138 0.77410163 0.7636076  0.75186458]"
1610,7.439687126822297,11.697267152901802,51.75183526863246,"[0.9363127  0.90371757 0.85980549 0.80237943 0.76962748 0.73463633
 0.71903633 0.70637703 0.71057096 0.7018267  0.693677   0.67122424]"
1702,25.271847423431424,29.925529103653037,112.33223493947105,"[0.54581102 0.5360168  0.5195939  0.49774795 0.49383378 0.50200099
 0.51443002 0.52592452 0.53326671 0.53189547 0.52856984 0.51195022]"
1752,15.517965892347377,28.331105205123155,145.14690289750044,"[0.61796506 0.61251827 0.59222061 0.54959242 0.51698277 0.49263
 0.48209481 0.47672609 0.47536464 0.47102099 0.4684788  0.45162743]"
1757,12.918010079783958,22.131500115416145,35.216441641183614,"[0.60249032 0.64929761 0.6738992  0.67194819 0.67652518 0.67348979
 0.67600476 0.67107211 0.67088678 0.66417237 0.66046109 0.63063447]"
1760,21.927742110675457,44.205253321482246,94.81282594848244,"[0.43074466 0.45467681 0.46324392 0.45615732 0.46065308 0.47780845
 0.50354971 0.51764585 0.53445297 0.54364485 0.5564593  0.54969615]"
1801,19.37344702004484,21.87410757162552,106.76766597924251,"[0.63966794 0.57621111 0.53307951 0.49467862 0.47326457 0.47533754
 0.49729684 0.52035532 0.54774493 0.57644785 0.61188356 0.61989556]"
1830,12.351559503587573,6.6568702975331915,41.228905293664084,"[0.8538068  0.84781808 0.82738482 0.79638442 0.77543982 0.74902825
 0.73200504 0.71179249 0.69672749 0.67622598 0.65121225 0.60670581]"
1832,9.597310724838303,8.808913004911991,50.603953082299306,"[0.85749307 0.84986536 0.83209061 0.79880557 0.77792523 0.75260862
 0.73796307 0.71892589 0.71008411 0.70474265 0.70262303 0.66608976]"
1841,11.474183540677247,21.565886091134868,101.50416603653458,"[0.48817837 0.48984834 0.47318538 0.42821098 0.39169683 0.37164689
 0.36044311 0.36268436 0.37716874 0.39197307 0.39809057 0.40112469]"
1843,16.68864703111383,23.4522360505487,52.42756671883156,"[0.46997881 0.46595547 0.44801894 0.40502983 0.38582343 0.38324877
 0.39254153 0.40508295 0.42359961 0.44017579 0.45340737 0.46006135]"
1844,14.203558445115062,15.357492754073906,58.909976563952995,"[0.524861   0.51493755 0.50135169 0.47918947 0.47046775 0.47496107
 0.48420379 0.49605695 0.50824889 0.51015715 0.50389931 0.49214622]"
1845,12.874836026021745,12.673510548884499,88.16000456240064,"[0.66846284 0.65809556 0.63729178 0.59849076 0.56846907 0.54636175
 0.53199819 0.52227705 0.5192922  0.51802358 0.51107402 0.49160024]"
1850,20.900412707678274,24.59580292303906,112.15164633482186,"[0.63300577 0.62294113 0.61637244 0.59192632 0.57270932 0.56292698
 0.56215096 0.55664973 0.54662706 0.53640044 0.52890194 0.50208343]"
1851,17.91411943743166,16.074564465144704,100.65116049232093,"[0.68117073 0.67074604 0.6570133  0.63097193 0.61168728 0.59531878
 0.58816807 0.58859905 0.59357365 0.60140088 0.60537858 0.58304405]"
1852,15.507592175979589,20.50518539981544,78.45701490224315,"[0.68513329 0.68926593 0.69149644 0.66995259 0.65739891 0.64382608
 0.63846674 0.63713422 0.64053937 0.63279232 0.62955258 0.60207523]"
1854,16.367794280560673,18.766166823114318,91.1506756264478,"[0.59261964 0.61283445 0.62346088 0.61636727 0.6239897  0.63422286
 0.65905585 0.68171474 0.71590001 0.73588281 0.75790126 0.75995742]"
1876,15.939972905987617,27.40458102060271,51.26199177764099,"[0.82630643 0.81264753 0.79087176 0.75807092 0.75246045 0.74976192
 0.76205616 0.77097888 0.79063694 0.79849498 0.81156666 0.8076885 ]"
1880,19.391703543314822,19.416688436321756,70.27164116815398,"[0.66727236 0.65299496 0.64327005 0.62050072 0.61261179 0.61260682
 0.6238115  0.63203426 0.64865023 0.65515607 0.66915034 0.65701438]"
1902,13.495026819688684,21.67753966075959,88.89032723506963,"[0.64610671 0.6551262  0.64998354 0.62698849 0.61819406 0.61375803
 0.62135637 0.63151289 0.64579703 0.65527204 0.65805402 0.64320562]"
1905,15.077770017900301,15.233504943451255,69.61056641161416,"[0.66535829 0.67596389 0.67649043 0.65944143 0.65218705 0.64439386
 0.65167001 0.65651174 0.66827231 0.67612727 0.6798465  0.66650562]"
1915,13.028046485624676,17.434150129628183,81.10501123452958,"[0.51805258 0.53324193 0.54311632 0.52555689 0.52138514 0.52426371
 0.53496843 0.54602497 0.55684999 0.57366796 0.58351229 0.56345453]"
1930,12.099649427435015,14.20343201179356,53.392197729373756,"[0.78361212 0.7426021  0.70207287 0.64970213 0.6053357  0.56445677
 0.53606451 0.51677765 0.50901313 0.5094793  0.50680477 0.49707851]"
1960,14.008687944574673,22.30206525375224,80.54995620702688,"[0.53425265 0.53427717 0.52117484 0.48326779 0.46005911 0.454784
 0.4556188  0.47393752 0.5035821  0.53059045 0.54906285 0.54362859]"
1970,13.923404841827885,17.50270790774435,121.02395919226159,"[0.5529064  0.54184192 0.51683141 0.47259151 0.43129315 0.40369324
 0.38325326 0.3738932  0.37205043 0.374585   0.38600656 0.38163334]"
2026,18.31261872267407,32.25967285625535,126.73811794084827,"[0.69699831 0.6487914  0.596488   0.52972367 0.4834964  0.4563855
 0.43919544 0.43047648 0.428139   0.43240873 0.43869815 0.43790092]"
2062,15.66618391153642,23.09576967767892,55.59355972062131,"[0.82069844 0.80688841 0.79177943 0.76380487 0.75024144 0.73363087
 0.72664719 0.71489462 0.70633005 0.69472731 0.68268001 0.64485755]"
2072,16.602082800551056,21.77879978174398,44.98625334567599,"[0.59927105 0.59907086 0.60177235 0.59295727 0.59914925 0.61211296
 0.6356256  0.65395868 0.67493246 0.6906018  0.70454862 0.6913898 ]"
2111,16.423748156498704,23.305692905632625,65.76569098043711,"[0.60352099 0.67033921 0.69206311 0.68224349 0.68745597 0.68248184
 0.69817833 0.69070963 0.69242967 0.67272583 0.63918321 0.61110989]"
2113,14.27076081600171,17.40363533688496,141.88648243065234,"[0.18990135 0.17941469 0.16090004 0.12781226 0.12516205 0.1470432
 0.1594028  0.18166557 0.20581182 0.23092018 0.25367308 0.2654745 ]"
2114,15.621162370238578,22.128406703780474,84.35305515280689,"[0.63704237 0.6551229  0.65485301 0.61958785 0.58361339 0.55234969
 0.52179986 0.50147694 0.48605725 0.47460509 0.49486278 0.47294557]"
2115,15.72493212057718,18.518156243140226,125.16042912247316,"[0.42672744 0.46186979 0.47058296 0.4402103  0.40170692 0.37584941
 0.35368136 0.3407844  0.3163753  0.29781852 0.29193826 0.26939311]"
2116,13.56450615235245,14.50066173071763,111.89569317971791,"[0.61975818 0.63371084 0.62445338 0.58702981 0.55131172 0.5169853
 0.490086   0.46964237 0.45179274 0.42780117 0.41786964 0.38324687]"
2118,19.44005377750716,17.830534512239332,111.51740126342875,"[0.55174368 0.54204036 0.52126351 0.49434511 0.46788187 0.45550902
 0.44429019 0.44645082 0.45404444 0.4665716  0.49330092 0.50100464]"
2119,25.448648519866516,34.36653582887157,285.35544045711896,"[0.41358266 0.40073262 0.37412743 0.32258443 0.26519832 0.23196889
 0.19500028 0.18607582 0.18245091 0.18845459 0.18597956 0.16159743]"
2120,26.069617057451328,41.74374864213907,219.89751567628673,"[0.28195717 0.2999868  0.29468911 0.26258344 0.23031249 0.22229396
 0.20635731 0.21502323 0.21789294 0.22194969 0.23240924 0.22153241]"
2121,25.387057772919395,35.07823303033405,213.6239405299944,"[0.3529286  0.37752863 0.37694719 0.35526404 0.33436852 0.33201967
 0.31819291 0.3296143  0.33505635 0.35073819 0.38808985 0.39453652]"
2122,20.708060163965325,31.154087998154598,246.93414925399327,"[0.47712245 0.4742572  0.45148059 0.40570735 0.34693753 0.3014805
 0.24980757 0.22099057 0.19045934 0.17179774 0.14667865 0.11302243]"
