Metro,datetime,isPartial,Hurricane,Wildfire,Starbucks,Flood,Fire,rel_pop_Hurricane,rel_pop_Wildfire,rel_pop_Starbucks,rel_pop_Flood,rel_pop_Fire
Springfield,2014-01-01,False,2.0,0.0,30.0,50.0,90.625,100.0,1.0,10.0,4.0,32.0
Springfield,2014-02-01,False,0.0,0.0,40.0,0.0,68.75,100.0,1.0,10.0,4.0,32.0
Springfield,2014-03-01,False,2.0,0.0,40.0,25.0,93.75,100.0,1.0,10.0,4.0,32.0
Springfield,2014-04-01,False,1.0,0.0,50.0,25.0,81.25,100.0,1.0,10.0,4.0,32.0
Springfield,2014-05-01,False,2.0,100.0,50.0,50.0,90.625,100.0,1.0,10.0,4.0,32.0
Springfield,2014-06-01,False,2.0,0.0,30.0,25.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2014-07-01,False,5.0,0.0,50.0,25.0,93.75,100.0,1.0,10.0,4.0,32.0
Springfield,2014-08-01,False,1.0,100.0,60.0,0.0,81.25,100.0,1.0,10.0,4.0,32.0
Springfield,2014-09-01,False,1.0,100.0,40.0,50.0,90.625,100.0,1.0,10.0,4.0,32.0
Springfield,2014-10-01,False,1.0,100.0,50.0,25.0,62.5,100.0,1.0,10.0,4.0,32.0
Springfield,2014-11-01,False,2.0,0.0,40.0,50.0,84.375,100.0,1.0,10.0,4.0,32.0
Springfield,2014-12-01,False,1.0,0.0,50.0,25.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2015-01-01,False,2.0,0.0,30.0,25.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2015-02-01,False,2.0,0.0,50.0,25.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2015-03-01,False,1.0,100.0,80.0,50.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2015-04-01,False,2.0,0.0,60.0,50.0,78.125,100.0,1.0,10.0,4.0,32.0
Springfield,2015-05-01,False,2.0,0.0,60.0,50.0,71.875,100.0,1.0,10.0,4.0,32.0
Springfield,2015-06-01,False,1.0,0.0,50.0,25.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2015-07-01,False,1.0,100.0,60.0,25.0,87.5,100.0,1.0,10.0,4.0,32.0
Springfield,2015-08-01,False,3.0,0.0,50.0,25.0,90.625,100.0,1.0,10.0,4.0,32.0
Springfield,2015-09-01,False,3.0,0.0,70.0,50.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2015-10-01,False,14.0,0.0,60.0,25.0,78.125,100.0,1.0,10.0,4.0,32.0
Springfield,2015-11-01,False,1.0,0.0,70.0,25.0,87.5,100.0,1.0,10.0,4.0,32.0
Springfield,2015-12-01,False,3.0,0.0,80.0,25.0,75.0,100.0,1.0,10.0,4.0,32.0
Springfield,2016-01-01,False,1.0,0.0,40.0,50.0,84.375,100.0,1.0,10.0,4.0,32.0
Springfield,2016-02-01,False,1.0,0.0,50.0,25.0,84.375,100.0,1.0,10.0,4.0,32.0
Springfield,2016-03-01,False,1.0,0.0,50.0,25.0,78.125,100.0,1.0,10.0,4.0,32.0
Springfield,2016-04-01,False,0.0,0.0,50.0,25.0,87.5,100.0,1.0,10.0,4.0,32.0
Springfield,2016-05-01,False,2.0,0.0,30.0,25.0,78.125,100.0,1.0,10.0,4.0,32.0
Springfield,2016-06-01,False,1.0,0.0,40.0,25.0,81.25,100.0,1.0,10.0,4.0,32.0
Springfield,2016-07-01,False,2.0,100.0,50.0,25.0,93.75,100.0,1.0,10.0,4.0,32.0
