Metro,datetime,isPartial,Whole Foods,Trader Joe's,Starbucks,Lululemon,Thrift
Springfield,2014-01-01,False,24.0,12.0,28.0,8.0,4.0
Springfield,2014-02-01,False,24.0,6.0,34.0,14.0,2.0
Springfield,2014-03-01,False,25.0,8.0,15.0,14.0,8.0
Springfield,2014-04-01,False,31.0,10.0,37.0,8.0,10.0
Springfield,2014-05-01,False,36.0,10.0,15.0,2.0,7.0
Springfield,2014-06-01,False,29.0,6.0,46.0,17.0,6.0
Springfield,2014-07-01,False,34.0,9.0,23.0,6.0,14.0
Springfield,2014-08-01,False,19.0,8.0,33.0,11.0,11.0
Springfield,2014-09-01,False,15.0,7.0,42.0,13.0,18.0
Springfield,2014-10-01,False,29.0,6.0,55.0,13.0,8.0
Springfield,2014-11-01,False,28.0,4.0,35.0,15.0,6.0
Springfield,2014-12-01,False,38.0,5.0,52.0,9.0,0.0
Springfield,2015-01-01,False,28.0,5.0,44.0,7.0,5.0
Springfield,2015-02-01,False,16.0,5.0,28.0,21.0,5.0
Springfield,2015-03-01,False,45.0,7.0,38.0,11.0,4.0
Springfield,2015-04-01,False,33.0,7.0,37.0,11.0,7.0
Springfield,2015-05-01,False,31.0,3.0,39.0,3.0,8.0
Springfield,2015-06-01,False,25.0,8.0,39.0,6.0,6.0
Springfield,2015-07-01,False,33.0,3.0,27.0,15.0,9.0
Springfield,2015-08-01,False,24.0,9.0,30.0,6.0,3.0
Springfield,2015-09-01,False,15.0,5.0,28.0,8.0,10.0
Springfield,2015-10-01,False,26.0,9.0,50.0,14.0,7.0
Springfield,2015-11-01,False,34.0,0.0,58.0,10.0,0.0
Springfield,2015-12-01,False,23.0,7.0,51.0,18.0,5.0
Springfield,2016-01-01,False,27.0,11.0,45.0,7.0,9.0
Springfield,2016-02-01,False,16.0,5.0,54.0,8.0,7.0
Springfield,2016-03-01,False,25.0,2.0,30.0,17.0,12.0
Springfield,2016-04-01,False,12.0,3.0,48.0,7.0,9.0
Springfield,2016-05-01,False,25.0,4.0,30.0,8.0,9.0
Springfield,2016-06-01,False,21.0,2.0,53.0,4.0,8.0
Springfield,2016-07-01,False,17.0,13.0,49.0,11.0,8.0
Springfield,2016-08-01,False,13.0,4.0,38.0,4.0,13.0
Springfield,2016-09-01,False,19.0,12.0,49.0,19.0,16.0
Springfield,2016-10-01,False,17.0,2.0,44.0,10.0,15.0
Springfield,2016-11-01,False,20.0,0.0,66.0,19.0,10.0
Springfield,2016-12-01,False,21.0,2.0,73.0,18.0,11.0
Springfield,2017-01-01,False,12.0,8.0,30.0,10.0,3.0
Springfield,2017-02-01,False,23.0,7.0,45.0,8.0,7.0
Springfield,2017-03-01,False,22.0,4.0,48.0,4.0,10.0
Springfield,2017-04-01,False,14.0,3.0,56.0,8.0,14.0
Springfield,2017-05-01,False,10.0,5.0,43.0,5.0,3.0
Springfield,2017-06-01,False,31.0,4.0,48.0,6.0,2.0
Springfield,2017-07-01,False,24.0,4.0,32.0,12.0,16.0
Springfield,2017-08-01,False,37.0,7.0,47.0,11.0,9.0
Springfield,2017-09-01,False,13.0,11.0,46.0,13.0,8.0
Springfield,2017-10-01,False,23.0,12.0,51.0,15.0,6.0
Springfield,2017-11-01,False,20.0,0.0,53.0,6.0,5.0
Springfield,2017-12-01,False,27.0,9.0,59.0,13.0,6.0
Springfield,2018-01-01,False,20.0,5.0,39.0,22.0,8.0
Springfield,2018-02-01,False,24.0,13.0,35.0,13.0,16.0
Springfield,2018-03-01,False,22.0,6.0,35.0,12.0,13.0
Springfield,2018-04-01,False,25.0,10.0,61.0,18.0,18.0
Springfield,2018-05-01,False,17.0,5.0,51.0,5.0,3.0
Springfield,2018-06-01,False,12.0,9.0,49.0,3.0,10.0
Springfield,2018-07-01,False,35.0,10.0,65.0,0.0,12.0
Springfield,2018-08-01,False,17.0,5.0,45.0,12.0,10.0
Springfield,2018-09-01,False,17.0,11.0,40.0,9.0,14.0
Springfield,2018-10-01,False,12.0,3.0,47.0,7.0,9.0
Springfield,2018-11-01,False,18.0,11.0,48.0,18.0,12.0
Springfield,2018-12-01,False,30.0,8.0,49.0,14.0,16.0
Springfield,2019-01-01,False,20.0,5.0,52.0,14.0,11.0
Springfield,2019-02-01,False,16.0,3.0,54.0,6.0,5.0
Springfield,2019-03-01,False,15.0,9.0,56.0,15.0,15.0
Springfield,2019-04-01,False,29.0,8.0,61.0,12.0,17.0
