DATE,CUUR0000SEHA
2014-01-01,272.317
2014-02-01,272.733
2014-03-01,273.486
2014-04-01,274.100
2014-05-01,274.710
2014-06-01,275.321
2014-07-01,276.248
2014-08-01,277.048
2014-09-01,277.998
2014-10-01,278.985
2014-11-01,280.123
2014-12-01,280.874
2015-01-01,281.572
2015-02-01,282.389
2015-03-01,283.130
2015-04-01,283.598
2015-05-01,284.245
2015-06-01,285.031
2015-07-01,286.090
2015-08-01,287.068
2015-09-01,288.306
2015-10-01,289.428
2015-11-01,290.322
2015-12-01,291.204
2016-01-01,292.004
2016-02-01,292.777
2016-03-01,293.489
2016-04-01,294.175
2016-05-01,295.036
2016-06-01,295.902
2016-07-01,296.862
2016-08-01,297.916
2016-09-01,298.962
2016-10-01,300.400
2016-11-01,301.587
2016-12-01,302.735
2017-01-01,303.467
2017-02-01,304.211
2017-03-01,304.868
2017-04-01,305.477
2017-05-01,306.379
2017-06-01,307.314
2017-07-01,308.173
2017-08-01,309.479
2017-09-01,310.268
2017-10-01,311.501
2017-11-01,312.670
2017-12-01,313.904
2018-01-01,314.788
2018-02-01,315.277
2018-03-01,315.883
2018-04-01,316.763
2018-05-01,317.490
2018-06-01,318.318
2018-07-01,319.351
2018-08-01,320.651
2018-09-01,321.533
2018-10-01,322.628
2018-11-01,323.968
2018-12-01,324.815
2019-01-01,325.597
2019-02-01,326.351
2019-03-01,327.513
2019-04-01,328.678
2019-05-01,329.333
2019-06-01,330.648
2019-07-01,331.605
2019-08-01,332.638
2019-09-01,333.834
2019-10-01,334.680
2019-11-01,335.819
2019-12-01,336.789
2020-01-01,337.825
