,coef,std
townhouses for rent,0.9228498371950775,5.662501898915738
townhomes for rent,-1.1153244775341868,8.067118248914243
hashtag,0.7211061009037827,6.772285246756962
fake news,0.0852484165035632,7.96521201291657
gun_searches,-0.004293884282645303,2.1024308890881382
multifamily_for_rent_searches,0.08167994364830554,2.5915299912405385
whole foods,-0.12531557993605547,8.538808478153735
retirement,-2.617702847862503,11.467960412823208
fire,-0.24787792182477528,17.02145573094024
getaway,2.38952559661415,8.580479795638338
places to go,2.4063361747288043,11.880053004870025
political correctness,-0.6121591812302419,6.097620433964462
make america great again,-0.14982648631797973,5.900579340171579
apartment_for_rent_searches,0.0566647091340759,3.1024054006384434
layoff,0.1415290424574817,5.191549377880172
wildfire,-0.684690936745792,14.500876798828221
thrift,3.2333548259603844,10.946341426290747
flight tickets,-0.012759713499743855,5.542052702623981
twitter,-1.3550022063664389,10.797074200856407
job opportunities,-0.08681455833170222,6.118677986828409
trader joe's,4.596703832674475,16.192766193966722
flood,-0.5241907526605631,5.354932329839654
lululemon,-0.5272845345166981,14.195786268653737
euthanasia,-0.691705650921524,4.012714922261201
unemployment,-5.101720434180273,12.823734754778064
starbucks,0.5460824888948895,9.927590748693092
pronouns,1.6820410585592205,6.666740109231753
hurricane,0.6598081454531958,4.0320015615156795
lgbt,-0.2044736940713325,5.756634552709545
home for rent,-0.5485977397773334,5.270906578698413
black lives matter,0.3546414984797441,3.3443043084448503
same sex marriage,0.25066208375484844,4.441855309849904
ar.L1,0.8551908664401706,0.07955147546978258
sigma2,45.48584752022752,56.365265442650845
