iter	RMSE
0	671.2997565
1	645.2588295
2	620.3966867
3	596.5807992
4	573.8549471
5	551.9353776
6	530.7744051
7	510.5827463
8	491.229574
9	472.5782955
10	454.4672755
11	436.9539675
12	420.4517299
13	404.3711754
14	388.8753611
15	374.0043481
16	359.7268917
17	346.1069912
18	333.0542809
19	320.5397093
20	308.4588761
21	296.8204781
22	285.5649427
23	274.8258506
24	264.5865072
25	254.644337
26	245.0871454
27	235.8158788
28	227.0119152
29	218.6540925
30	210.6218363
31	202.8643861
32	195.4450636
33	188.2586974
34	181.3019206
35	174.5855342
