iter	Passed	Remaining
0	63	63395
1	68	34408
2	73	24302
3	78	19458
4	83	16544
5	87	14496
6	92	13104
7	97	12080
8	102	11247
9	106	10504
10	111	10019
11	115	9544
12	120	9137
13	125	8824
14	130	8599
15	135	8322
16	139	8085
17	144	7881
18	149	7701
19	153	7511
20	158	7387
21	163	7248
22	167	7127
23	172	7006
24	176	6899
25	181	6795
26	185	6701
27	191	6636
28	195	6549
29	200	6484
30	206	6462
31	212	6415
32	216	6347
33	221	6295
34	226	6256
35	231	6207
36	236	6148
37	240	6089
38	244	6036
39	249	5990
40	254	5954
41	258	5903
42	263	5863
43	267	5819
44	271	5770
45	276	5729
46	280	5683
47	285	5653
48	289	5618
49	294	5596
50	299	5573
51	303	5539
52	308	5512
53	312	5479
54	317	5452
55	321	5420
56	325	5386
57	330	5362
58	334	5340
59	339	5314
60	343	5289
61	347	5260
62	351	5235
63	356	5212
64	361	5200
65	366	5188
66	371	5172
67	375	5150
68	380	5129
69	384	5112
70	389	5094
71	393	5077
72	398	5060
73	404	5056
74	408	5033
75	413	5023
76	418	5011
77	422	4993
78	427	4982
79	431	4967
80	436	4955
81	441	4938
82	445	4924
83	450	4911
84	455	4903
85	459	4886
86	464	4875
87	469	4861
88	473	4845
89	477	4831
90	482	4822
91	487	4807
92	491	4792
93	495	4775
94	500	4766
95	504	4752
96	509	4740
97	513	4728
98	518	4720
99	523	4708
100	527	4696
101	532	4684
102	536	4673
103	540	4660
104	545	4648
105	550	4643
106	555	4639
107	560	4626
108	564	4614
109	568	4601
110	573	4590
111	577	4581
112	582	4573
113	587	4568
114	593	4568
115	598	4560
116	603	4551
117	608	4551
118	613	4545
119	618	4537
120	623	4530
121	628	4523
122	633	4515
123	638	4507
124	642	4499
125	647	4490
126	651	4480
127	657	4477
128	662	4471
129	667	4465
130	671	4455
131	676	4449
132	680	4439
133	685	4431
134	690	4422
135	695	4416
136	699	4408
137	704	4400
138	709	4396
139	714	4387
140	720	4390
141	725	4383
142	730	4377
143	735	4370
144	739	4360
145	744	4353
146	748	4344
147	752	4332
148	757	4325
149	761	4313
150	765	4305
151	770	4296
152	774	4286
153	779	4279
154	783	4273
155	788	4266
156	793	4259
157	797	4248
158	802	4244
159	806	4236
160	811	4229
161	816	4224
162	821	4218
163	825	4210
164	829	4200
165	834	4191
166	838	4183
167	842	4173
168	848	4169
169	852	4162
170	857	4155
171	862	4149
172	866	4140
173	870	4133
174	875	4125
175	880	4120
176	885	4116
177	890	4111
178	894	4102
179	899	4096
180	904	4090
181	908	4082
182	913	4076
183	918	4072
184	922	4064
185	926	4055
186	931	4051
187	936	4045
188	940	4036
189	945	4029
190	950	4026
191	954	4014
192	958	4008
193	963	4002
194	968	3996
195	973	3991
196	977	3985
197	982	3980
198	987	3976
199	992	3969
200	997	3964
201	1002	3959
202	1005	3949
203	1010	3944
204	1015	3938
205	1020	3932
206	1024	3923
207	1028	3917
208	1033	3910
209	1037	3903
210	1042	3896
211	1047	3892
212	1051	3884
213	1056	3878
214	1059	3870
215	1064	3863
216	1069	3857
217	1073	3852
218	1078	3846
219	1083	3842
220	1088	3837
221	1093	3831
222	1098	3826
223	1102	3819
224	1107	3814
225	1112	3808
226	1117	3803
227	1121	3798
228	1126	3793
229	1131	3788
230	1135	3781
231	1140	3775
232	1144	3769
233	1149	3763
234	1154	3757
235	1159	3752
236	1163	3746
237	1168	3741
238	1173	3737
239	1179	3733
240	1183	3727
241	1188	3723
242	1192	3716
243	1197	3710
244	1202	3704
245	1206	3698
246	1210	3691
247	1215	3684
248	1219	3677
249	1224	3672
250	1228	3665
251	1233	3661
252	1237	3655
253	1243	3651
254	1248	3646
255	1253	3642
256	1258	3637
257	1263	3632
258	1268	3629
259	1275	3628
260	1282	3630
261	1288	3628
262	1293	3624
263	1305	3639
264	1310	3634
265	1322	3648
266	1326	3642
267	1333	3643
268	1340	3642
269	1347	3644
270	1353	3640
271	1358	3635
272	1362	3629
273	1368	3626
274	1373	3621
275	1377	3614
276	1382	3608
277	1387	3603
278	1392	3598
279	1397	3593
280	1402	3588
281	1408	3587
282	1413	3581
283	1419	3578
284	1424	3573
285	1430	3570
286	1435	3566
287	1440	3560
288	1445	3555
289	1450	3550
290	1454	3543
291	1458	3537
292	1463	3532
293	1469	3528
294	1475	3526
295	1481	3522
296	1485	3516
297	1490	3512
298	1496	3508
299	1500	3501
300	1505	3495
301	1510	3492
302	1515	3486
303	1520	3480
304	1525	3477
305	1531	3472
306	1535	3466
307	1540	3460
308	1545	3456
309	1550	3451
310	1554	3444
311	1560	3441
312	1565	3436
313	1570	3430
314	1575	3425
315	1580	3420
316	1584	3414
317	1590	3410
318	1595	3405
319	1599	3399
320	1604	3394
321	1610	3390
322	1614	3384
323	1619	3379
324	1625	3375
325	1629	3369
326	1634	3363
327	1639	3358
328	1643	3352
329	1649	3348
330	1653	3342
331	1658	3337
332	1663	3331
333	1668	3327
334	1673	3322
335	1678	3316
336	1682	3311
337	1688	3306
338	1692	3300
339	1697	3295
340	1702	3289
341	1707	3284
342	1713	3281
343	1718	3276
344	1722	3270
345	1727	3264
346	1732	3259
347	1736	3254
348	1741	3247
349	1746	3243
350	1751	3239
351	1756	3233
352	1761	3229
353	1767	3225
354	1772	3220
355	1777	3216
356	1783	3211
357	1787	3205
358	1792	3200
359	1796	3194
360	1801	3189
361	1806	3183
362	1810	3176
363	1814	3170
364	1818	3164
365	1823	3158
366	1827	3152
367	1832	3146
368	1837	3141
369	1841	3135
370	1845	3129
371	1850	3124
372	1855	3118
373	1859	3111
374	1864	3107
375	1868	3101
376	1874	3096
377	1879	3092
378	1884	3088
379	1889	3083
380	1896	3080
381	1900	3075
382	1905	3069
383	1910	3064
384	1915	3059
385	1920	3054
386	1926	3050
387	1931	3046
388	1935	3040
389	1940	3034
390	1945	3030
391	1950	3025
392	1955	3020
393	1960	3015
394	1965	3010
395	1971	3007
396	1977	3003
397	1981	2997
398	1986	2991
399	1991	2987
400	1996	2982
401	2001	2977
402	2006	2972
