,Feature,Importance
0,zri_lag1,0.8376702008837699
1,zri_lag2,0.14467290945451808
2,zri_lag3,0.014787720577958113
4,zri_lag5,0.0006601717063907171
3,zri_lag4,0.0005387608685149875
9,percent_native_am_diff_lag1_lag12,0.0002918961245092944
8,percent_hispanic_diff_lag1_lag12,0.00028392928702023287
6,percent_black_diff_lag1_lag12,0.00027984635478897315
7,percent_asian_diff_lag1_lag12,0.0002783480247955933
5,percent_white_diff_lag1_lag12,0.0002739994275943756
10,percent_other_race_diff_lag1_lag12,0.0002622172901397579
