Parent_feature,Importance
percent_workforce_unemployed,0.04572149
hurricane,0.028912215
median_building_age,0.028332891
black lives matter,0.026935695
unemployment,0.01885
job opportunities,0.017759247
state_local_perc,0.014863112
fire,0.01467174
bs_total_stations,0.014650853
make america great again,0.012327274
startup_firms,0.0122102015
same sex marriage,0.011689365
hashtag,0.011426795
lululemon,0.011370971
twitter,0.0113060335
lgbt,0.011149455
net_job_rate,0.0109626
trader joe's,0.010610997
thrift,0.010372008
percent_units_owner_occupied,0.010242649
income_per_capita,0.010115929
total_pop,0.00974327
poverty_rate,0.00959082
euthanasia,0.009410292
layoff,0.009395675
political correctness,0.009167059
pronouns,0.0091200005
flood,0.008917061
median_age,0.008915324
wildfire,0.008710211
fake news,0.008564546
flight tickets,0.0083398465
percent_work_from_home,0.0083048595
retirement,0.008092761
starbucks,0.00801002
gun_searches,0.007997959
apartment_for_rent_searches,0.007960145
whole foods,0.007952599
percent_buildings_50+_units,0.00791157
multifamily_for_rent_searches,0.007899454
percent_associates,0.0075818817
places to go,0.007554019
percent_rental_units_occupied,0.0074740504
getaway,0.0074625732
percent_buildings_20_49_units,0.0074480083
percent_commute_public_transport,0.0073430142
percent_white,0.0069744205
percent_buildings_10_19_units,0.0068503427
percent_native_am,0.0066423956
percent_highschool,0.006165619
