Parent_feature,Importance
zri,0.05592046
lululemon,0.00093336543
total_firms,0.0008963077
house for rent,0.0007456403
startup_firms,0.0006934481
multifamily_for_rent_searches,0.0006866516
net_job_rate,0.00068502955
flood,0.0006838061
job_destruction_rate,0.00067504426
wildfire,0.000673136
bs_total_systems,0.0006618131
job_creation_rate,0.0006552795
gun_searches,0.0006221239
euthanasia,0.00061243575
black lives matter,0.0006007583
apartment_for_rent_searches,0.0005979735
places to go,0.0005938449
hurricane,0.0005911421
lgbt,0.0005897838
apartment for rent,0.0005880849
bs_total_stations,0.00058388984
duplex apartments for rent,0.000581829
unemployment,0.00058126624
twitter,0.0005756576
fake news,0.0005731141
townhouses for rent,0.00056836585
retirement,0.00056592375
gun control,0.00054932316
thrift,0.0005463668
fire,0.00054156396
getaway,0.00053513236
make america great again,0.0005279701
same sex marriage,0.00052075053
starbucks,0.00052054605
1 bedroom for rent,0.0005196325
pronouns,0.00051814306
whole foods,0.00051278423
they,0.0005028202
condos for rent,0.00050045835
trader joe's,0.0004953574
studio for rent,0.00049362384
home for rent,0.00048696398
townhouse for rent,0.00048509956
gun violence,0.00047451822
townhomes for rent,0.00047169413
3 bedroom for rent,0.00047111488
hashtag,0.00044399558
income_per_capita,0.00043705245
flight tickets,0.00043664628
state_local_perc,0.000428948
percent_work_from_home,0.00042223363
political correctness,0.00041755347
townhome for rent,0.00041510983
percent_workforce_unemployed,0.000410653
poverty_rate,0.00040934273
median_building_age,0.00040676646
median_age,0.0003957525
job opportunities,0.0003892786
percent_buildings_50+_units,0.00038828806
total_pop,0.0003861724
layoff,0.00038382868
percent_units_owner_occupied,0.00037553604
gun range,0.00037519532
percent_buildings_20_49_units,0.00037196392
has_bike_sharing,0.00037130056
percent_associates,0.00036579598
percent_buildings_10_19_units,0.00036223378
percent_highschool,0.00036210462
percent_rental_units_occupied,0.00035252963
percent_commute_public_transport,0.0003404806
percent_native_am,0.0003142029
percent_white,0.00029917387
