Parent_feature,Importance
zri,0.051896688
fake news,0.0011308938
hurricane,0.0010658372
lululemon,0.000964659
apartment_for_rent_searches,0.0009265503
multifamily_for_rent_searches,0.0008940825
black lives matter,0.00086989184
flood,0.0008631882
political correctness,0.0008517865
twitter,0.00083798706
places to go,0.0008225269
flight tickets,0.00082104787
make america great again,0.00082000083
euthanasia,0.00081845035
gun_searches,0.0008106668
lgbt,0.00080923195
thrift,0.00080326136
fire,0.000794067
whole foods,0.0007841942
starbucks,0.0007798877
trader joe's,0.00077026273
getaway,0.0007668832
retirement,0.0007661717
same sex marriage,0.00076185795
wildfire,0.0007524219
unemployment,0.00069018774
layoff,0.0006763913
pronouns,0.0006686171
hashtag,0.00062402437
job opportunities,0.00060623785
