,Feature,Importance
0,zri_lag1,0.7383404
1,zri_lag2,0.18377623
6,zri_diff_lag1_lag2,0.040932857
7,zri_diff_lag2_lag3,0.0032313266
16,zri_diff_lag11_lag12,0.0030172502
8,zri_diff_lag3_lag4,0.00284139
9,zri_diff_lag4_lag5,0.0027579444
15,zri_diff_lag10_lag11,0.0027532862
10,zri_diff_lag5_lag6,0.0027506333
11,zri_diff_lag6_lag7,0.0027081068
2,zri_lag3,0.0027066565
14,zri_diff_lag9_lag10,0.0026484262
12,zri_diff_lag7_lag8,0.0024737113
13,zri_diff_lag8_lag9,0.00237588
4,zri_lag5,0.0023169164
5,zri_diff_lag1_lag12,0.0022385614
3,zri_lag4,0.00213056
