,Feature,Importance
30,median_building_age_lag12,0.14452156
65,percent_workforce_unemployed_diff_lag1_lag12,0.06352738
17,median_building_age,0.061403617
21,percent_workforce_unemployed,0.025901636
62,total_pop_lag12,0.022514857
60,poverty_rate_lag12,0.020772243
27,bs_total_systems,0.018253129
56,percent_units_owner_occupied_lag12,0.018147454
40,percent_less_highschool_lag12,0.015675325
20,total_pop,0.014913092
31,median_building_age_diff_lag1_lag12,0.013129516
28,bs_total_systems_lag12,0.012053636
59,income_per_capita_diff_lag1_lag12,0.011826314
68,median_age_lag12,0.011568893
0,percent_graduate_deg,0.010527762
16,percent_units_owner_occupied,0.010503924
18,income_per_capita,0.010344834
32,percent_graduate_deg_lag12,0.010246942
66,percent_work_from_home_lag12,0.010105303
58,income_per_capita_lag12,0.0096989
34,percent_bachelors_lag12,0.009683456
64,percent_workforce_unemployed_lag12,0.009607052
12,percent_commute_60_to_89,0.009329054
29,bs_total_systems_diff_lag1_lag12,0.009309415
36,percent_associates_lag12,0.0091036465
42,percent_commute_public_transport_lag12,0.009092829
19,poverty_rate,0.00908401
22,percent_work_from_home,0.008902547
46,percent_commute_30_to_59_lag12,0.00868113
52,percent_new_city_lag12,0.008628274
26,percent_not_us_citizen,0.008539646
55,percent_new_unit_diff_lag1_lag12,0.008509481
48,percent_commute_60_to_89_lag12,0.008417041
73,gini_index_diff_lag1_lag12,0.008361425
11,percent_commute_30_to_59,0.00834949
10,percent_buildings_50+_units,0.008346711
76,percent_buildings_less_10_units_lag12,0.008329143
54,percent_new_unit_lag12,0.008315797
49,percent_commute_60_to_89_diff_lag1_lag12,0.008313546
23,median_age,0.008236635
82,percent_buildings_50+_units_lag12,0.008209199
74,percent_not_us_citizen_lag12,0.008181968
61,poverty_rate_diff_lag1_lag12,0.007963632
72,gini_index_lag12,0.007927531
71,percent_female_diff_lag1_lag12,0.007881138
37,percent_associates_diff_lag1_lag12,0.007859802
4,percent_less_highschool,0.007812615
63,total_pop_diff_lag1_lag12,0.0077602095
38,percent_highschool_lag12,0.007550972
81,percent_buildings_20_49_units_diff_lag1_lag12,0.007533042
45,percent_commute_less_30_diff_lag1_lag12,0.007491723
6,percent_commute_less_30,0.007482536
14,percent_new_city,0.0074546216
25,gini_index,0.0073903264
41,percent_less_highschool_diff_lag1_lag12,0.007307023
13,percent_commute_90_more,0.007241881
80,percent_buildings_20_49_units_lag12,0.007172416
51,percent_commute_90_more_diff_lag1_lag12,0.0071167015
67,percent_work_from_home_diff_lag1_lag12,0.0071015437
35,percent_bachelors_diff_lag1_lag12,0.007089011
47,percent_commute_30_to_59_diff_lag1_lag12,0.0070456713
39,percent_highschool_diff_lag1_lag12,0.00703886
77,percent_buildings_less_10_units_diff_lag1_lag12,0.0070311273
70,percent_female_lag12,0.006958213
69,median_age_diff_lag1_lag12,0.0069160042
53,percent_new_city_diff_lag1_lag12,0.0069108326
44,percent_commute_less_30_lag12,0.006905677
15,percent_new_unit,0.006869442
9,percent_buildings_20_49_units,0.006839186
75,percent_not_us_citizen_diff_lag1_lag12,0.0067534964
33,percent_graduate_deg_diff_lag1_lag12,0.0067431116
50,percent_commute_90_more_lag12,0.006738635
43,percent_commute_public_transport_diff_lag1_lag12,0.0067364736
24,percent_female,0.0065911873
83,percent_buildings_50+_units_diff_lag1_lag12,0.00650775
3,percent_highschool,0.006505357
5,percent_commute_public_transport,0.0064549963
79,percent_buildings_10_19_units_diff_lag1_lag12,0.0064421743
8,percent_buildings_10_19_units,0.0063279485
2,percent_associates,0.0062232167
57,percent_units_owner_occupied_diff_lag1_lag12,0.0061725522
78,percent_buildings_10_19_units_lag12,0.006120103
7,percent_buildings_less_10_units,0.0060717254
1,percent_bachelors,0.0047917375
