,Feature,Importance
0,zri_lag1,0.41704023
2,zri_lag3,0.27423656
1,zri_lag2,0.2500539
6,zri_diff_lag1_lag2,0.046649825
7,zri_diff_lag2_lag3,0.0015988334
4,zri_lag5,0.0010136538
5,zri_diff_lag1_lag12,0.0009871512
3,zri_lag4,0.00096406153
11,zri_diff_lag6_lag7,0.0009342474
16,zri_diff_lag11_lag12,0.0009015528
10,zri_diff_lag5_lag6,0.00087122095
8,zri_diff_lag3_lag4,0.0008270678
14,zri_diff_lag9_lag10,0.0008224419
9,zri_diff_lag4_lag5,0.00080818665
15,zri_diff_lag10_lag11,0.0007803228
12,zri_diff_lag7_lag8,0.0007580508
13,zri_diff_lag8_lag9,0.0007526143
