,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_x,zri_y,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1081.1497404897732,1099.0,-17.850259510226806,318.63176458244254
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1079.4791778392826,1098.0,-18.520822160717444,343.02085350892236
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1077.8086151887917,1106.0,-28.19138481120831,794.7541775736265
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1076.1380525383013,1114.0,-37.86194746169872,1433.5270655924342
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1074.4674898878106,1116.0,-41.53251011218936,1724.9493962191111
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1072.7969272373198,1128.0,-55.20307276268022,3047.379242441767
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1071.1263645868294,1138.0,-66.87363541317063,4472.083113373669
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1069.4558019363387,1148.0,-78.54419806366127,6169.19104946365
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1067.7852392858479,1155.0,-87.21476071415213,7606.414486426815
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1066.1146766353572,1175.0,-108.88532336464277,11856.013644222821
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1064.4441139848668,1161.0,-96.55588601513318,9323.039124167391
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1062.7735513343762,1155.0,-92.22644866562382,8505.717833472945
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1111.4876233995635,1115.0,-3.5123766004364825,12.336789383293741
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1108.6791213796143,1119.0,-10.320878620385656,106.52053549673373
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1105.870619359665,1131.0000000000002,-25.129380640335285,631.4857713668578
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1103.0621173397158,1136.0,-32.93788266028423,1084.9041141426526
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1100.2536153197664,1137.0,-36.74638468023363,1350.296787067709
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1097.445113299817,1151.0,-53.55488670018303,2868.1258894694415
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1094.6366112798676,1167.0,-72.36338872013243,5236.46002706099
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1091.8281092599182,1179.0,-87.17189074008184,7598.938535200765
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1089.019607239969,1188.0,-98.98039276003101,9797.118150929999
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1086.2111052200198,1213.0,-126.78889477998018,16075.423839528887
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1083.4026032000704,1209.0,-125.59739679992958,15774.706082918961
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1080.594101180121,1205.0,-124.40589881987898,15476.827661181967
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1099.2003021635894,1112.0,-12.799697836410587,163.83226470341387
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1106.0888839763445,1125.0,-18.911116023655495,357.6303092601596
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1103.7675901041232,1129.0,-25.2324098958768,636.6745091535414
