,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1100.1501411609574,1099.0,1.1501411609574461,1.3228246901285419
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1094.0057075425732,1098.0,-3.994292457426809,15.954372235456697
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1091.3463016208805,1106.0,-14.653698379119533,214.73087618621042
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1087.463368506917,1114.0,-26.53663149308295,704.1928109996819
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1083.867631704274,1116.0,-32.13236829572611,1032.4890922921845
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1081.7331585320583,1128.0,-46.26684146794173,2140.6206194196525
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1079.8109251283215,1138.0,-58.189074871678486,3385.9684344218044
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1078.0677719631665,1148.0,-69.93222803683352,4890.5165181956845
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1079.1529161260578,1155.0,-75.84708387394221,5752.780132180825
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1080.0528104196192,1175.0,-94.94718958038084,9014.96880921278
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1080.624216583318,1161.0,-80.375783416682,6460.266559845373
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1079.5032751498475,1155.0,-75.49672485015253,5699.755463099639
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1127.3758455863613,1115.0,12.375845586361265,153.1615539774576
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1126.2775403585417,1119.0,7.277540358541728,52.96259367020366
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1126.1107439712384,1131.0,-4.889256028761565,23.90482451478131
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1125.2556077717966,1136.0,-10.744392228203424,115.44196435347813
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1123.9874886841244,1137.0,-13.0125113158756,169.32545074579053
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1120.915377513094,1151.0,-30.084622486906028,905.0845101796518
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1116.6460555767949,1167.0,-50.35394442320512,2535.5197189752303
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1112.131062985859,1179.0,-66.86893701414101,4471.454737401158
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1110.7524797518195,1188.0,-77.24752024818054,5967.179384493062
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1110.018540040596,1213.0,-102.98145995940399,10605.181095370328
