,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1101.0577251392197,1099.0,2.057725139219656,4.234232748576552
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1090.3742584135423,1098.0,-7.625741586457707,58.1519347434305
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1081.3625067880039,1106.0,-24.637493211996116,607.0060717711547
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1072.2197980437184,1114.0,-41.780201956281644,1745.5852755076805
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1065.8420406143857,1116.0,-50.15795938561428,2515.8208897289314
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1060.1926684499404,1128.0,-67.80733155005964,4597.834211939714
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1056.8469291088793,1138.0,-81.1530708911207,6585.820915059263
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1056.4366844301114,1148.0,-91.56331556988857,8383.840758151
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1057.9387413908,1155.0,-97.06125860919997,9420.887922801994
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1059.9036927813465,1175.0,-115.09630721865346,13247.159935370662
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1062.0356042155775,1161.0,-98.96439578442255,9793.951632975832
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1063.7955539769068,1155.0,-91.20444602309317,8318.250974379316
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1130.5283648685627,1115.0,15.528364868562676,241.13011549121154
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1132.8470117745217,1119.0,13.847011774521661,191.73973508374152
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1132.8398127515106,1131.0,1.8398127515106353,3.3849109606211347
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1132.2970831086702,1136.0,-3.702916891329778,13.711593504095388
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1132.2098137853334,1137.0,-4.790186214666619,22.945883971182113
