,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_x,zri_y,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1106.8094441890717,1099.0,7.809444189071655,60.98741854222504
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1108.0156019330025,1098.0,10.015601933002472,100.31228208036285
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1108.5480503439903,1106.0,2.548050343990326,6.492560555509218
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1108.6718505620956,1114.0,-5.328149437904358,28.389176432640525
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1108.3010682463646,1116.0,-7.6989317536354065,59.27355014713555
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1108.3724863529205,1128.0,-19.627513647079468,385.23929196629075
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1107.7528522014618,1138.0,-30.247147798538208,914.8899499466147
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1107.6814782619476,1148.0,-40.31852173805237,1625.5831951418013
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1106.9942096471786,1155.0,-48.00579035282135,2304.5559073990353
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1107.8226802945137,1175.0,-67.1773197054863,4512.792282813118
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1109.0857251882553,1161.0,-51.91427481174469,2695.0919292293493
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1109.7674582004547,1155.0,-45.23254179954529,2045.9828376476116
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1132.3239212036133,1115.0,17.32392120361328,300.11824586900184
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1138.8784770965576,1119.0,19.878477096557617,395.15385167836575
