Parent_feature,Importance
zri,0.04932851
fake news,0.0016663244
political correctness,0.0011896724
lgbt,0.0010977995
hurricane,0.0010493097
lululemon,0.0010059532
black lives matter,0.0009951207
multifamily_for_rent_searches,0.0009460267
bs_total_stations,0.000925426
make america great again,0.0009212996
net_job_rate,0.0009131646
starbucks,0.00090580096
wildfire,0.00088118605
places to go,0.00087226124
same sex marriage,0.0008598431
apartment_for_rent_searches,0.000858836
twitter,0.00085461256
gun_searches,0.00084978435
flood,0.00084626186
flight tickets,0.000836227
startup_firms,0.00081825483
fire,0.00081509195
unemployment,0.0008108156
retirement,0.00080842286
whole foods,0.0008030354
thrift,0.00080091826
hashtag,0.00079574063
job opportunities,0.0007940197
pronouns,0.0007684362
euthanasia,0.00074948795
trader joe's,0.00073660526
getaway,0.00072976114
layoff,0.0006900224
median_building_age,0.0006681878
state_local_perc,0.0005712036
percent_workforce_unemployed,0.0005266248
median_age,0.00048410715
income_per_capita,0.0004679002
poverty_rate,0.0004550235
total_pop,0.00045192594
percent_buildings_20_49_units,0.00043081297
percent_work_from_home,0.0004302705
percent_buildings_50+_units,0.00041857056
percent_units_owner_occupied,0.0004120005
percent_commute_public_transport,0.00040431414
percent_buildings_10_19_units,0.0003991923
percent_rental_units_occupied,0.0003918471
percent_highschool,0.0003751084
percent_associates,0.00036030143
percent_white,0.00034530542
percent_native_am,0.0003244493
