Parent_feature,Importance
zri,0.056703534
hurricane,0.00075053674
political correctness,0.000736171
starbucks,0.00060524687
fake news,0.0005936427
lululemon,0.0005912649
bs_total_stations,0.0005768867
black lives matter,0.0005724608
net_job_rate,0.0005668021
whole foods,0.00056143047
job opportunities,0.00055794726
startup_firms,0.00055792875
flood,0.0005543128
fire,0.0005477324
make america great again,0.00053933397
getaway,0.00051481376
twitter,0.00050586805
layoff,0.0005003698
unemployment,0.00049913593
euthanasia,0.00049904524
trader joe's,0.00048798003
pronouns,0.0004829578
apartment_for_rent_searches,0.00048219526
places to go,0.00048068256
multifamily_for_rent_searches,0.0004780471
same sex marriage,0.0004765564
flight tickets,0.0004764409
wildfire,0.00047104384
retirement,0.00046448753
lgbt,0.00045912995
thrift,0.0004580457
gun_searches,0.0004548993
state_local_perc,0.00043754582
hashtag,0.00043424944
percent_workforce_unemployed,0.0004151814
median_building_age,0.00041356785
income_per_capita,0.0003812878
poverty_rate,0.0003731418
percent_work_from_home,0.000356238
percent_buildings_50+_units,0.00035519394
median_age,0.0003541367
percent_buildings_20_49_units,0.00034390195
total_pop,0.0003351666
percent_units_owner_occupied,0.00033297675
percent_associates,0.0003304727
percent_commute_public_transport,0.00032480835
percent_buildings_10_19_units,0.00032476653
percent_highschool,0.0003149594
percent_rental_units_occupied,0.0003060932
percent_native_am,0.00028887455
percent_white,0.00028621327
