Parent_feature,Importance
zri,0.056227252
median_building_age,0.001440787
percent_workforce_unemployed,0.001110595
median_age,0.0009087544
income_per_capita,0.00089338725
poverty_rate,0.00089200784
total_pop,0.000858195
percent_work_from_home,0.0008469174
percent_buildings_50+_units,0.0008212544
percent_units_owner_occupied,0.0008201584
percent_buildings_20_49_units,0.0008136233
percent_commute_public_transport,0.0007941497
percent_associates,0.0007879785
percent_buildings_10_19_units,0.0007801952
percent_rental_units_occupied,0.0007527343
percent_highschool,0.00074609875
percent_white,0.00074053317
percent_native_am,0.0007048129
