,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1101.1568460691574,1099.0,2.156846069157382,4.65198496603965
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1090.2591187973942,1098.0,-7.740881202605806,59.92124179285591
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1081.9440615472083,1106.0,-24.05593845279168,578.6881748445013
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1075.5643459307255,1114.0,-38.435654069274506,1477.2995037329379
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1071.204460123218,1116.0,-44.79553987678196,2006.6403928523625
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1068.807478104168,1128.0,-59.19252189583199,3503.7546483885494
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1067.9437745069147,1138.0,-70.05622549308532,4907.874730338018
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1066.601124262991,1148.0,-81.3988757370089,6625.776971249015
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1065.232011668055,1155.0,-89.76798833194493,8058.291729164202
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1063.4352766010775,1175.0,-111.56472339892252,12446.687507078092
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1063.7940652181828,1161.0,-97.20593478181718,9448.993756806894
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1061.8771050604369,1155.0,-93.12289493956314,8671.873561924915
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1128.1204445992532,1115.0,13.120444599253233,172.14606648207334
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1126.5077082343923,1119.0,7.507708234392339,56.36568293276254
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1127.6872067553472,1131.0,-3.3127932446527666,10.974599081817004
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1130.3568482594499,1136.0,-5.643151740550138,31.845161566874054
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1132.5682813071735,1137.0,-4.431718692826507,19.640130572347886
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1132.4624049972845,1151.0,-18.537595002715534,343.64242848470394
