,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1103.1443344949218,1099.0,4.14433449492185,17.175508405799146
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1098.0147470148768,1098.0,0.01474701487677521,0.00021747444777582938
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1093.636902216996,1106.0,-12.363097783003923,152.8461867921165
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1089.6351858281457,1114.0,-24.364814171854277,593.644169628991
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1086.9634629986915,1116.0,-29.03653700130849,843.120481028357
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1084.6907275072633,1128.0,-43.30927249273668,1875.6930838501182
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1081.5502334511266,1138.0,-56.44976654887341,3186.5761434223077
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1077.689511007856,1148.0,-70.31048899214397,4943.564862314399
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1073.9461546126993,1155.0,-81.05384538730073,6569.725852068451
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1071.3217367563934,1175.0,-103.67826324360658,10749.182269210583
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1072.588554191079,1161.0,-88.41144580892092,7816.58375002376
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1075.599740834082,1155.0,-79.40025916591799,6304.4011556149435
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.6805555124517,1115.0,14.680555512451747,215.51871015417737
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1130.5441735031138,1119.0,11.544173503113825,133.26794186999533
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1131.2856956983078,1131.0,0.28569569830779074,0.08162203203157618
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1132.8396575411223,1136.0,-3.1603424588777216,9.987764457385284
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1132.5356643005698,1137.0,-4.464335699430194,19.93029323720688
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1131.0281560139763,1151.0,-19.971843986023714,398.8745522020716
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1130.1150578645213,1167.0,-36.884942135478695,1360.4989563376116
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1129.7423383770247,1179.0,-49.25766162297532,2426.3172285635355
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1130.2578651168067,1188.0,-57.74213488319333,3334.1541408688922
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1132.11445982677,1213.0,-80.88554017323008,6542.4706091152175
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1136.208877915482,1209.0,-72.79112208451807,5298.547454323214
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1139.6563562806334,1205.0,-65.34364371936658,4269.791774523515
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1096.9397008281198,1112.0,-15.06029917188016,226.81261114653424
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1093.0964606813318,1125.0,-31.90353931866821,1017.8358210578083
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1090.5982250005095,1129.0,-38.4017749994905,1474.6963231114935
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1088.9316382233612,1127.0,-38.06836177663877,1449.2001683570516
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1088.5720814668657,1123.0,-34.42791853313429,1185.2815745241314
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1088.5263121631262,1131.0,-42.47368783687375,1804.0141584641972
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1088.235633012186,1137.0,-48.7643669878139,2377.9634877221943
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1089.034648757503,1145.0,-55.965351242497036,3132.1205396960645
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1090.9362784724512,1149.0,-58.06372152754875,3371.395757628728
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1091.7478646603442,1164.0,-72.25213533965575,5220.371061139932
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1091.4721240102367,1136.0,-44.52787598976329,1982.731740159738
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1089.5348550185333,1123.0,-33.465144981466665,1119.9159286305835
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1158.0002246168044,1172.0,-13.999775383195583,195.99371077992905
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1158.9613280197807,1179.0,-20.038671980219306,401.5483747308263
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1159.72736844377,1186.0,-26.272631556229953,690.2511688894099
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1160.2996510707826,1185.0,-24.700348929217398,610.107237225091
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1161.61369597263,1192.0,-30.386304027369988,923.3274724437615
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1162.740914652232,1199.0,-36.25908534776795,1314.7212702567203
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1163.113314827496,1202.0,-38.88668517250403,1512.1742837054449
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1162.082723710657,1201.0,-38.91727628934291,1514.5543937810517
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1159.5805398769883,1201.0,-41.41946012301173,1715.571676881759
285,1085,2019,10,2019-10-01,Westfield,MA,Springfield,Hampden County,2019-10,1157.3551780927069,1192.0,-34.644821907293135,1200.2636849880585
286,1085,2019,11,2019-11-01,Westfield,MA,Springfield,Hampden County,2019-11,1155.951728223141,1191.5,-35.54827177685911,1263.679626321438
287,1085,2019,12,2019-12-01,Westfield,MA,Springfield,Hampden County,2019-12,1156.7322535218073,1191.0,-34.26774647819275,1174.2784486936914
348,1104,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1113.6014049438472,1113.0,0.6014049438472284,0.361687906483888
349,1104,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1114.6229338184417,1116.0,-1.377066181558348,1.8963112683916892
350,1104,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1116.1196522843015,1125.0,-8.880347715698463,78.86057555171091
351,1104,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1119.1263670708474,1129.0,-9.873632929152564,97.48862721964583
352,1104,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1121.0911276284796,1130.0,-8.908872371520374,79.36800693203905
353,1104,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1123.5195822156932,1135.0,-11.480417784306837,131.79999250222872
354,1104,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1125.2716588461167,1141.0,-15.72834115388332,247.3807154529397
355,1104,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1125.938300625713,1145.0,-19.061699374286945,363.3483830356913
356,1104,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1125.1712822955503,1154.0,-28.828717704449673,831.0949644828501
357,1104,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1123.8582774753022,1178.0,-54.1417225246978,2931.326117941369
358,1104,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1124.6765928595157,1188.0,-63.32340714048428,4009.8538918795352
359,1104,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1127.541988752248,1193.0,-65.45801124775198,4284.751236510825
420,1108,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1188.8775022321686,1198.0,-9.122497767831419,83.21996552408922
421,1108,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1194.6493717798369,1206.0,-11.350628220163117,128.8367609923633
422,1108,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1201.0826850864057,1205.0,-3.917314913594282,15.34535613226818
423,1108,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1207.1652603472135,1200.0,7.1652603472134615,51.340955843349576
424,1108,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1212.6788675162622,1191.0,21.678867516262244,469.9732967876503
425,1108,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1217.1977250528744,1189.0,28.197725052874375,795.1116981574992
426,1108,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1222.0358722526769,1189.0,33.03587225267688,1091.3688554951864
427,1108,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1227.1777855754408,1193.0,34.177785575440794,1168.1210268408088
428,1108,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1232.3224003465675,1204.0,28.32240034656752,802.1583613912479
429,1108,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1238.5255326344902,1240.0,-1.4744673655097813,2.174054011953355
430,1108,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1242.701472622594,1240.0,2.7014726225941104,7.297954330625501
431,1108,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1246.447343988923,1240.0,6.447343988922967,41.56824451150111
492,1109,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1158.5849508908098,1189.0,-30.41504910919025,925.0752123144546
493,1109,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1157.5680412196723,1200.0,-42.431958780327705,1800.4711259354294
494,1109,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1156.2045148224192,1199.0,-42.79548517758076,1831.4535515845344
495,1109,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1155.4870504594483,1193.0,-37.512949540551745,1407.2213832319812
496,1109,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1153.8267581335815,1185.0,-31.173241866418493,971.7710084622267
