,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1100.5788857904756,1099.0,1.5788857904756242,2.4928803393658368
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1092.2680981035974,1098.0,-5.731901896402633,32.854699349984095
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1083.3019436258844,1106.0,-22.698056374115595,515.2017631625296
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1074.9794962310418,1114.0,-39.02050376895818,1522.5997143832794
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1069.0585597218778,1116.0,-46.94144027812217,2203.4988153845106
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1063.935318467084,1128.0,-64.06468153291598,4104.283419913946
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1061.0696859315183,1138.0,-76.93031406848172,5918.273222675237
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1059.0611782891149,1148.0,-88.93882171088512,7910.114007320611
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1058.1585881351612,1155.0,-96.84141186483885,9378.25905197535
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1058.189677709235,1175.0,-116.81032229076504,13644.6513936724
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1059.4857137104088,1161.0,-101.51428628959115,10305.150320885075
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1061.0627965105164,1155.0,-93.93720348948364,8824.198199424656
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.8268321734172,1115.0,14.826832173417188,219.83495229867904
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1131.0456902228448,1119.0,12.045690222844769,145.09865294473806
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1131.480621685988,1131.0,0.4806216859878987,0.23099720504185028
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1131.9829920628545,1136.0,-4.017007937145536,16.136352767090234
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1132.0573332738466,1137.0,-4.942666726153448,24.42995436582444
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1131.7498706246142,1151.0,-19.250129375385768,370.56748096909007
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1132.0538319100867,1167.0,-34.94616808991327,1221.2346641684726
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1131.9335210340842,1179.0,-47.06647896591585,2215.253442248999
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1131.7059049996178,1188.0,-56.294095000382185,3169.0251319120543
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1132.216670432488,1213.0,-80.78332956751206,6525.946336013268
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1132.8401916474586,1209.0,-76.1598083525414,5800.316408295836
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1133.1211361453459,1205.0,-71.87886385465413,5166.571069035904
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1094.1174161087647,1112.0,-17.8825838912353,319.78680662706824
