,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_x,zri_y,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1107.229935604071,1099.0,8.229935604070988,67.7318400471553
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1108.2244864562203,1098.0,10.224486456220347,104.54012329343333
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1110.698556507804,1106.0,4.698556507803914,22.076433257026515
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1113.3177414031816,1114.0,-0.6822585968184285,0.465476792932651
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1115.4312450200607,1116.0,-0.5687549799392855,0.32348222720573705
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1116.738002820264,1128.0,-11.261997179736,126.83258047638161
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1117.2990473987822,1138.0,-20.70095260121775,428.52943859786393
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1117.3390128976205,1148.0,-30.660987102379522,940.0961300922834
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1117.1283347254187,1155.0,-37.871665274581346,1434.2630306699307
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1116.8815563157727,1175.0,-58.11844368422726,3377.7534962766954
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1116.7286717708366,1161.0,-44.27132822916337,1959.9505031743179
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1116.715364834276,1155.0,-38.28463516572401,1465.7132897725917
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.7291152897133,1115.0,14.729115289713263,216.94683721766503
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1132.4245588244346,1119.0,13.424558824434598,180.21877963070483
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1135.319424395982,1131.0000000000002,4.319424395981741,18.65742711260223
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1137.6797109368413,1136.0,1.6797109368412748,2.821428831344193
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1139.2371057964006,1137.0,2.237105796400556,5.004642344288965
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1140.114571412116,1151.0,-10.885428587884007,118.49255554192241
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1140.5312749471784,1167.0,-26.468725052821583,700.5934059218649
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1140.721320708628,1179.0,-38.2786792913721,1465.2572882917193
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1140.8749701615593,1188.0,-47.125029838440696,2220.768437273926
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1141.10402159373,1213.0,-71.89597840626993,5169.031710994833
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1141.443007075858,1209.0,-67.55699292414192,4563.947292952562
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1141.8755712276648,1205.0,-63.12442877233525,3984.6935078336264
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1096.6181787080698,1112.0,-15.381821291930237,236.6004262568784
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1095.0037633909517,1125.0,-29.99623660904831,899.7742107060101
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1095.3381787494093,1129.0,-33.66182125059072,1133.118209906721
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1096.8887899629706,1127.0,-30.111210037029423,906.6849698941014
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1099.0291434520298,1123.0,-23.970856547970243,574.6019636433679
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1101.0326999779422,1131.0,-29.96730002205777,898.0390706120237
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1102.5833542663127,1137.0,-34.416645733687346,1184.5055035581395
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1103.6197406986705,1145.0,-41.38025930132949,1712.3258598452655
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1104.2347764242663,1149.0,-44.76522357573367,2003.9252417854216
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1104.580456778082,1164.0,-59.41954322191805,3530.682116701387
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1104.812837764274,1136.0,-31.187162235725964,972.6390883174917
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1105.0433980525138,1123.0,-17.956601947486206,322.4395535004654
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1159.440119694456,1172.0,-12.559880305544084,157.75059328959415
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1161.5221064488296,1179.0,-17.477893551170382,305.47676298604324
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1163.4449443993185,1186.0,-22.5550556006815,508.73053314983383
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1165.1283953067993,1185.0,-19.871604693200652,394.88067308283416
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1165.4470940179049,1192.0,-26.552905982095126,705.0568160939831
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1164.9264133555773,1199.0,-34.073586644422676,1161.0093068149793
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1163.9012100804614,1202.0,-38.0987899195386,1451.5177933331363
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1162.7138702485292,1201.0,-38.28612975147075,1465.827731346454
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1161.5841809345386,1201.0,-39.41581906546139,1553.6067926011897
