,Feature,Importance
0,zri_lag1,0.7947240098216625
1,zri_lag2,0.15800030428655998
2,zri_lag3,0.03973410712885222
3,zri_lag4,0.006746368690304516
4,zri_lag5,0.0003623376631739336
11,zri_diff_lag1_lag2,0.00020909213898042718
21,zri_diff_lag11_lag12,2.0627038217351004e-05
12,zri_diff_lag2_lag3,1.7988007147976514e-05
20,zri_diff_lag10_lag11,1.784564757679164e-05
15,zri_diff_lag5_lag6,1.705049833910041e-05
19,zri_diff_lag9_lag10,1.6968571239606874e-05
16,zri_diff_lag6_lag7,1.653737560387783e-05
13,zri_diff_lag3_lag4,1.539710409430216e-05
17,zri_diff_lag7_lag8,1.538647736122522e-05
14,zri_diff_lag4_lag5,1.5354211763145524e-05
18,zri_diff_lag8_lag9,1.4471104526373753e-05
5,zri_lag6,1.0496448726339351e-05
10,zri_lag11,1.0453050798827125e-05
9,zri_lag10,9.330039658914711e-06
8,zri_lag9,8.919839221651645e-06
7,zri_lag8,8.660193306879655e-06
6,zri_lag7,8.294662884229652e-06
