,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_x,zri_y,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1107.081215159353,1099.0,8.08121515935295,65.30603845175594
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1108.3037356013797,1098.0,10.303735601379685,106.16696734313918
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1111.2117706336962,1106.0,5.211770633696233,27.16255313825843
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1114.6407996899186,1114.0,0.6407996899185946,0.410624242599767
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1117.2628341200013,1116.0,1.2628341200013438,1.5947500146395683
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1120.0080387789244,1128.0,-7.991961221075599,63.87144415917617
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1122.3920619684889,1138.0,-15.60793803151114,243.60772959549183
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1123.2500291124422,1148.0,-24.749970887557765,612.5610589349569
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1124.2017542985473,1155.0,-30.798245701452743,948.5319382870523
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1124.8874208047105,1175.0,-50.11257919528953,2511.270593604165
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1126.1053984901903,1161.0,-34.89460150980972,1217.6332145284146
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1127.9471052522013,1155.0,-27.052894747798746,731.859114235477
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1131.1367675138229,1115.0,16.13676751382286,260.3952657951688
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1136.5643638830168,1119.0,17.564363883016767,308.5068786150239
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1141.0474807687945,1131.0000000000002,10.04748076879423,100.9518697992899
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1144.276782737672,1136.0,8.276782737671965,68.50513248662463
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1146.1498438542933,1137.0,9.149843854293294,83.71964255794877
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1148.5480525858964,1151.0,-2.4519474141036426,6.01204612152954
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1149.2914677789272,1167.0,-17.7085322210728,313.5921134247736
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1149.5801503722255,1179.0,-29.41984962777451,865.527552120864
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1149.1465610773598,1188.0,-38.85343892264018,1509.589716115331
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1149.3902574379613,1213.0,-63.60974256203872,4046.19934880884
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1150.3830610539674,1209.0,-58.61693894603263,3435.9455314029174
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1151.5465551713216,1205.0,-53.45344482867836,2857.270764052561
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1098.5189292965492,1112.0,-13.481070703450769,181.7392673114386
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1097.1164204824222,1125.0,-27.8835795175778,777.4940067130842
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1097.1912443446952,1129.0,-31.80875565530482,1011.7969363388864
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1097.9003390140606,1127.0,-29.09966098593941,846.7902694966041
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1099.092118460878,1123.0,-23.907881539121945,571.5867996886878
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1100.3539549957347,1131.0,-30.64604500426526,939.1800744034517
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1101.72425816955,1137.0,-35.27574183044999,1244.377961688559
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1103.4499964010301,1145.0,-41.55000359896985,1726.4027990744075
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1104.8847791333935,1149.0,-44.11522086660648,1946.1527121094716
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1107.0214860815188,1164.0,-56.97851391848121,3246.551048358557
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1108.9135222748682,1136.0,-27.086477725131772,733.6772755540596
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1110.4836401893413,1123.0,-12.516359810658741,156.65926290987332
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1160.0267114566382,1172.0,-11.973288543361832,143.3596385425997
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1161.3769343352346,1179.0,-17.623065664765363,310.57244342463184
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1164.3865210456413,1186.0,-21.613478954358698,467.14247251050637
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1167.512995318616,1185.0,-17.48700468138395,305.7953327267442
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1169.712554618494,1192.0,-22.287445381505904,496.73022163360883
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1170.0897201236614,1199.0,-28.910279876338564,835.8042825282265
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1169.760467656371,1202.0,-32.23953234362898,1039.387445735899
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1168.6545973031853,1201.0,-32.345402696814745,1046.2250756191106
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1168.2540080542656,1201.0,-32.74599194573443,1072.2999885101042
285,1085,2019,10,2019-10-01,Westfield,MA,Springfield,Hampden County,2019-10,1169.192089003935,1192.0,-22.807910996064948,520.2008040044203
286,1085,2019,11,2019-11-01,Westfield,MA,Springfield,Hampden County,2019-11,1169.7740101618544,1191.5,-21.72598983814555,472.01863444720374
287,1085,2019,12,2019-12-01,Westfield,MA,Springfield,Hampden County,2019-12,1170.687849275951,1191.0,-20.312150724048934,412.58346703648164
348,1104,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1115.565891529212,1113.0,2.5658915292119673,6.583799339681728
349,1104,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1115.7543626074182,1116.0,-0.2456373925817843,0.06033772863437762
350,1104,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1118.7632222015625,1125.0,-6.236777798437515,38.8973973070831
351,1104,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1122.9146751368623,1129.0,-6.085324863137657,37.03117868992135
352,1104,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1125.9493188946988,1130.0,-4.050681105301237,16.40801741684445
353,1104,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1129.5001887916876,1135.0,-5.499811208312394,30.247923327078638
354,1104,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1131.6757771993578,1141.0,-9.324222800642247,86.94113083601674
355,1104,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1133.0899771982124,1145.0,-11.91002280178759,141.84864313910032
356,1104,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1134.9828697931864,1154.0,-19.01713020681359,361.6512413029019
357,1104,2019,10,2019-10-01,Springfield,MA,Springfield,Hampden County,2019-10,1135.3831203094423,1178.0,-42.61687969055765,1816.1984345594653
358,1104,2019,11,2019-11-01,Springfield,MA,Springfield,Hampden County,2019-11,1134.990334012887,1188.0,-53.00966598711307,2810.024688065292
359,1104,2019,12,2019-12-01,Springfield,MA,Springfield,Hampden County,2019-12,1134.7699878947901,1193.0,-58.23001210520988,3390.734309772889
420,1108,2019,1,2019-01-01,Springfield,MA,Springfield,Hampden County,2019-01,1187.5521402284483,1198.0,-10.447859771551748,109.15777380600935
421,1108,2019,2,2019-02-01,Springfield,MA,Springfield,Hampden County,2019-02,1190.8544861480975,1206.0,-15.145513851902479,229.38658983816984
422,1108,2019,3,2019-03-01,Springfield,MA,Springfield,Hampden County,2019-03,1193.418075046657,1205.0,-11.581924953343105,134.1409856248717
423,1108,2019,4,2019-04-01,Springfield,MA,Springfield,Hampden County,2019-04,1196.9894270178809,1200.0,-3.010572982119129,9.063549680665664
424,1108,2019,5,2019-05-01,Springfield,MA,Springfield,Hampden County,2019-05,1199.0823561991213,1191.0,8.08235619912125,65.3244817294737
425,1108,2019,6,2019-06-01,Springfield,MA,Springfield,Hampden County,2019-06,1202.2965703393834,1189.0,13.29657033938338,176.79878279016984
426,1108,2019,7,2019-07-01,Springfield,MA,Springfield,Hampden County,2019-07,1204.2141168472556,1189.0,15.214116847255582,231.46935144194612
427,1108,2019,8,2019-08-01,Springfield,MA,Springfield,Hampden County,2019-08,1207.1130268391112,1193.0,14.113026839111171,199.17752656147226
428,1108,2019,9,2019-09-01,Springfield,MA,Springfield,Hampden County,2019-09,1209.1357334611375,1204.0,5.135733461137534,26.37575818384771
