,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_x,zri_y
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1107.3720265381592,1099.0
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1108.0857444146593,1098.0
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1110.4664059591944,1106.0
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1114.4877541802712,1114.0
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1117.3438642306382,1116.0
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1119.8807885433491,1128.0
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1122.9156018965089,1138.0
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1124.1467604677223,1148.0
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1124.4880484720393,1155.0
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1125.546471935343,1175.0
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1127.275946952207,1161.0
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1128.3804816239897,1155.0
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1130.8253308917979,1115.0
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1134.9557498569327,1119.0
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1138.6529139630688,1131.0000000000002
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1143.0112444780575,1136.0
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1145.4187735976266,1137.0
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1147.6475593324565,1151.0
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1149.4334115438228,1167.0
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1150.3840087919123,1179.0
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1151.0170827873942,1188.0
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1151.8903642929774,1213.0
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1153.0956011302155,1209.0
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1154.451491032891,1205.0
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1097.971042346235,1112.0
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1096.21972727808,1125.0
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1096.4829761204815,1129.0
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1098.4993349633285,1127.0
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1100.228626215659,1123.0
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1102.8212990470236,1131.0
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1105.2568789468453,1137.0
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1108.4578622935237,1145.0
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1110.5469374257295,1149.0
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1112.5565047794487,1164.0
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1113.673859346278,1136.0
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1113.9844789137198,1123.0
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1159.5820781399857,1172.0
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1161.1063921016432,1179.0
