,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1079.665857076645,1099.0,-19.334142923355103,373.8090825807222
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1084.2430846691132,1098.0,-13.75691533088684,189.2527194211894
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1087.9957475662231,1106.0,-18.004252433776855,324.1531056991598
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1088.074514389038,1114.0,-25.925485610961914,672.1308041641933
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1085.1169126033783,1116.0,-30.883087396621704,953.7650871473743
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1091.6346089839935,1128.0,-36.36539101600647,1322.441663747044
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1115.827642917633,1138.0,-22.172357082366943,491.61341858798755
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1096.4182257652283,1148.0,-51.58177423477173,2660.6794332069603
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1100.3456814289093,1155.0,-54.6543185710907,2987.0945384702695
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1109.184838294983,1175.0,-65.81516170501709,4331.635510257548
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1108.1044309139252,1161.0,-52.89556908607483,2797.941228939715
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1096.272528886795,1155.0,-58.727471113204956,3448.9158633523225
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1101.3178696632385,1115.0,-13.682130336761475,187.20069055212866
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1087.7007670402527,1119.0,-31.299232959747314,979.6419838685326
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1083.300175189972,1131.0,-47.699824810028076,2275.2732869073698
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1085.8971009254456,1136.0,-50.10289907455444,2510.3004956749883
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1089.7030982971191,1137.0,-47.29690170288086,2236.9969106919743
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1093.5304062366486,1151.0,-57.46959376335144,3302.7542073246427
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1113.4294655323029,1167.0,-53.570534467697144,2869.8021631547276
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1102.5399808883667,1179.0,-76.4600191116333,5846.13452255133
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1102.4144613742828,1188.0,-85.58553862571716,7324.884421854124
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1102.8004359006882,1213.0,-110.19956409931183,12143.943927678336
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1108.7243022918701,1209.0,-100.27569770812988,10055.215550852245
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1078.148244380951,1205.0,-126.85175561904907,16091.367903634948
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1054.791352033615,1112.0,-57.20864796638489,3272.8294021417537
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1053.9631180763245,1125.0,-71.03688192367554,5046.23859343822
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1048.520315170288,1129.0,-80.47968482971191,6476.979670289762
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1044.2176549434662,1127.0,-82.78234505653381,6852.916653059028
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1046.170292377472,1123.0,-76.82970762252808,5902.8039733631485
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1056.04429769516,1131.0,-74.95570230484009,5618.357308011809
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1072.033921957016,1137.0,-64.96607804298401,4220.591296287089
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1050.4917817115784,1145.0,-94.50821828842163,8931.803324051953
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1057.1807925701141,1149.0,-91.81920742988586,8430.766853052408
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1057.428757429123,1164.0,-106.57124257087708,11357.429743100722
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1058.9145510196686,1136.0,-77.08544898033142,5942.166444499278
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1034.7480194568634,1123.0,-88.2519805431366,7788.412069786161
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1130.5483078956604,1172.0,-41.4516921043396,1718.24277831297
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1130.0905210971832,1179.0,-48.90947890281677,2392.137126545079
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1133.4169907569885,1186.0,-52.583009243011475,2764.97286105063
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1135.6781466007233,1185.0,-49.32185339927673,2432.645222739746
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1124.920862197876,1192.0,-67.07913780212402,4499.610728276344
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1128.1874125003815,1199.0,-70.81258749961853,5014.4225483911305
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1151.9067809581757,1202.0,-50.09321904182434,2509.3305939721927
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1133.7163257598877,1201.0,-67.2836742401123,4527.092819249552
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1143.2554001808167,1201.0,-57.74459981918335,3334.4388082776295
285,1085,2019,10,2019-10-01,Westfield,MA,Springfield,Hampden County,2019-10,1147.5684304237366,1192.0,-44.43156957626343,1974.1643750103378
286,1085,2019,11,2019-11-01,Westfield,MA,Springfield,Hampden County,2019-11,1144.4469227790833,1191.5,-47.05307722091675,2213.9920759575543
