,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1103.6491315364838,1099.0,4.649131536483765,21.61442404352789
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1100.3472850322723,1098.0,2.347285032272339,5.509747022729755
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1095.0732102394104,1106.0,-10.9267897605896,119.39473447212572
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1091.0637533664703,1114.0,-22.936246633529663,526.0714096341007
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1088.8546946048737,1116.0,-27.145305395126343,736.8676049946754
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1087.7750482559204,1128.0,-40.22495174407959,1618.0467428135316
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1088.2973473072052,1138.0,-49.7026526927948,2470.353684700582
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1087.8915812969208,1148.0,-60.108418703079224,3613.021998984684
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1088.6844816207886,1155.0,-66.31551837921143,4397.747977903528
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1089.5720624923706,1175.0,-85.4279375076294,7297.932506807433
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1088.2895059585571,1161.0,-72.71049404144287,5286.815943750699
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1086.2334418296814,1155.0,-68.7665581703186,4728.839522591812
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1127.2506754398346,1115.0,12.250675439834595,150.07904873216654
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1125.9766348600388,1119.0,6.976634860038757,48.67343397030801
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1121.9776165485382,1131.0,-9.022383451461792,81.4034031452116
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1119.2277046442032,1136.0,-16.772295355796814,281.30989150208336
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1116.7655392885208,1137.0,-20.234460711479187,409.4334002843948
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1114.2921394109726,1151.0,-36.707860589027405,1347.4670290234715
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1112.4147619009018,1167.0,-54.585238099098206,2979.5482183352424
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1111.3032177686691,1179.0,-67.69678223133087,4582.854324476235
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1111.6239808797836,1188.0,-76.37601912021637,5833.296296651656
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1115.603197336197,1213.0,-97.3968026638031,9486.137169131804
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1118.8822902441025,1209.0,-90.11770975589752,8121.201611648187
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1119.713065624237,1205.0,-85.28693437576294,7273.861175215694
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1094.7944502830505,1112.0,-17.205549716949463,296.03094106241974
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1088.009309053421,1125.0,-36.99069094657898,1368.31121670532
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1082.50732588768,1129.0,-46.492674112319946,2161.5687461143852
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1077.2689394950867,1127.0,-49.73106050491333,2473.1783789433503
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1074.3728404045105,1123.0,-48.6271595954895,2364.6006503252065
