,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1106.3594250679016,1099.0,7.359425067901611,54.16113733005864
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1106.1830015182495,1098.0,8.183001518249512,66.96151384767381
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1108.2096571922302,1106.0,2.2096571922302246,4.88258490717476
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1110.2474293708801,1114.0,-3.752570629119873,14.08178632653312
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1112.391691684723,1116.0,-3.6083083152770996,13.01988889809786
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1115.6685056686401,1128.0,-12.331494331359863,152.06575244436044
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1119.5860950946808,1138.0,-18.413904905319214,339.071893862139
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1123.903538942337,1148.0,-24.096461057662964,580.6394355034677
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1128.8952980041504,1155.0,-26.10470199584961,681.4554662921146
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1133.8799223899841,1175.0,-41.12007761001587,1690.8607826537284
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1137.5122199058533,1161.0,-23.48778009414673,551.6758137509953
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1142.594229221344,1155.0,-12.405770778656006,153.90314861255524
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.556715965271,1115.0,14.556715965270996,211.8979796935755
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1131.2625312805176,1119.0,12.262531280517578,150.36967340567207
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1133.9527682065964,1131.0,2.9527682065963745,8.71884008188637
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1137.236225605011,1136.0,1.2362256050109863,1.5282537464847792
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1141.25306558609,1137.0,4.253065586090088,18.088566879583823
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1145.298220872879,1151.0,-5.701779127120972,32.51028521447239
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1148.0907539129257,1167.0,-18.90924608707428,357.55958758153395
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1152.3984117507935,1179.0,-26.601588249206543,707.6444973803236
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1156.200812458992,1188.0,-31.799187541007996,1011.1883282681981
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1155.772364974022,1213.0,-57.22763502597809,3275.002210666554
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1155.7979187965393,1209.0,-53.20208120346069,2830.4614443796254
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1156.169479727745,1205.0,-48.830520272254944,2384.419710059101
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1096.178277015686,1112.0,-15.821722984313965,250.3269181923688
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1094.3043248653412,1125.0,-30.695675134658813,942.2244719725113
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1094.6224670410156,1129.0,-34.377532958984375,1181.814772346057
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1094.8926405906677,1127.0,-32.107359409332275,1030.8825282400378
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1096.402488231659,1123.0,-26.597511768341064,707.4276322670414
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1097.6067678928375,1131.0,-33.393232107162476,1115.1079505628268
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1098.9065234661102,1137.0,-38.09347653388977,1451.1129544380105
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1100.526502609253,1145.0,-44.47349739074707,1977.8919701647865
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1102.0217912197113,1149.0,-46.978208780288696,2206.952100204394
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1104.2130165100098,1164.0,-59.786983489990234,3574.483394832365
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1107.9001741409302,1136.0,-28.099825859069824,789.6002133100492
