,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1106.3271899223328,1099.0,7.327189922332764,53.68771215793481
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1105.5104937553406,1098.0,7.510493755340576,56.40751644900979
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1106.217900276184,1106.0,0.21790027618408203,0.04748053036109923
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1108.6225442886353,1114.0,-5.377455711364746,28.917029927689327
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1112.1487185955048,1116.0,-3.8512814044952393,14.832368456610823
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1114.9161710739136,1128.0,-13.083828926086426,171.18657936709587
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1117.865564584732,1138.0,-20.134435415267944,405.39548949159604
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1119.8067128658295,1148.0,-28.193287134170532,794.8614394297856
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1121.625987291336,1155.0,-33.37401270866394,1113.8247242780621
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1123.332887172699,1175.0,-51.667112827301025,2669.490547909054
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1125.4657747745514,1161.0,-35.53422522544861,1262.6811623729081
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1127.926911830902,1155.0,-27.0730881690979,732.9521030117487
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.492380142212,1115.0,14.492380142211914,210.02908218637822
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1131.20723426342,1119.0,12.207234263420105,149.01656836201778
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1132.7428209781647,1131.0,1.7428209781646729,3.037424961930867
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1134.152430176735,1136.0,-1.8475698232650757,3.413514251839743
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1135.7625095844269,1137.0,-1.2374904155731201,1.5313825286353335
