Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
Springfield,2014-01-01,85,2,13,0,0
Worcester,2014-01-01,82,1,17,0,0
Boston-Cambridge-Newton,2014-01-01,82,1,17,0,0
Providence-Warwick,2014-01-01,82,1,17,0,0
Manchester-Nashua,2014-01-01,82,1,17,0,0
Concord,2014-01-01,82,1,17,0,0
Portland-South Portland,2014-01-01,83,1,13,3,0
Lewiston-Auburn,2014-01-01,83,1,13,3,0
Bangor,2014-01-01,77,1,21,0,1
Augusta-Waterville,2014-01-01,86,0,13,0,1
Hartford-West Hartford-East Hartford,2014-01-01,83,1,16,0,0
Norwich-New London,2014-01-01,83,1,16,0,0
New Haven-Milford,2014-01-01,83,1,16,0,0
Bridgeport-Stamford-Norwalk,2014-01-01,83,1,16,0,0
Torrington,2014-01-01,83,1,16,0,0
New York-Newark-Jersey City,2014-01-01,81,1,18,0,0
Albany-Schenectady-Troy,2014-01-01,83,1,15,0,1
Kingston,2014-01-01,83,1,15,0,1
Syracuse,2014-01-01,85,2,13,0,0
Utica-Rome,2014-01-01,85,0,15,0,0
Watertown-Fort Drum,2014-01-01,78,0,20,0,2
Binghamton,2014-01-01,85,1,14,0,0
Batavia,2014-01-01,80,1,19,0,0
Buffalo-Cheektowaga-Niagara Falls,2014-01-01,81,2,17,0,0
Rochester,2014-01-01,80,1,19,0,0
Jamestown-Dunkirk-Fredonia,2014-01-01,81,1,18,0,0
Ithaca,2014-01-01,81,0,19,0,0
Pittsburgh,2014-01-01,83,0,15,1,1
Warren,2014-01-01,81,1,18,0,0
Erie,2014-01-01,81,1,18,0,0
Harrisburg-Carlisle,2014-01-01,87,1,12,0,0
Lancaster,2014-01-01,87,1,12,0,0
York-Hanover,2014-01-01,87,1,12,0,0
Williamsport,2014-01-01,83,0,17,0,0
Allentown-Bethlehem-Easton,2014-01-01,83,0,17,0,0
Philadelphia-Camden-Wilmington,2014-01-01,82,1,16,1,0
Washington-Arlington-Alexandria,2014-01-01,80,0,18,1,1
Baltimore-Columbia-Towson,2014-01-01,84,0,14,1,1
Charlottesville,2014-01-01,82,0,17,1,0
Richmond,2014-01-01,82,0,17,0,1
Virginia Beach-Norfolk-Newport News,2014-01-01,82,1,16,1,0
Wheeling,2014-01-01,68,0,32,0,0
Morgantown,2014-01-01,84,0,16,0,0
Raleigh,2014-01-01,83,0,16,1,0
Durham-Chapel Hill,2014-01-01,83,0,16,1,0
Charlotte-Concord-Gastonia,2014-01-01,81,0,18,1,0
ColumbiaSC,2014-01-01,83,1,11,4,1
Charleston-North Charleston,2014-01-01,91,0,9,0,0
Greenville-Anderson-Mauldin,2014-01-01,79,2,18,1,0
Atlanta-Sandy Springs-Roswell,2014-01-01,79,0,19,1,1
Athens-Clarke County,2014-01-01,83,0,17,0,0
Savannah,2014-01-01,82,0,17,0,1
Jacksonville,2014-01-01,77,2,20,1,0
Orlando-Kissimmee-Sanford,2014-01-01,82,0,17,1,0
Palm Bay-Melbourne-Titusville,2014-01-01,82,0,17,1,0
Miami-Fort Lauderdale-West Palm Beach,2014-01-01,78,1,21,0,0
Tampa-St. Petersburg-Clearwater,2014-01-01,79,1,20,0,0
Cape Coral-Fort Myers,2014-01-01,90,0,9,0,1
North Port-Sarasota-Bradenton,2014-01-01,79,1,20,0,0
Clarksville,2014-01-01,79,0,19,1,1
Nashville-Davidson--Murfreesboro--Franklin,2014-01-01,79,0,19,1,1
Memphis,2014-01-01,85,1,11,1,2
Lexington-Fayette,2014-01-01,81,0,19,0,0
Columbus,2014-01-01,81,1,18,0,0
Cleveland-Elyria,2014-01-01,83,0,15,1,1
Canton-Massillon,2014-01-01,83,0,15,1,1
Cincinnati,2014-01-01,87,0,13,0,0
Dayton,2014-01-01,79,0,20,1,0
Findlay,2014-01-01,100,0,0,0,0
Indianapolis-Carmel-Anderson,2014-01-01,81,0,18,1,0
Chicago-Naperville-Elgin,2014-01-01,77,0,17,0,6
Bloomington,2014-01-01,81,0,18,1,0
Detroit-Warren-Dearborn,2014-01-01,82,0,17,1,0
Dubuque,2014-01-01,81,0,19,0,0
Milwaukee-Waukesha-West Allis,2014-01-01,86,0,14,0,0
Racine,2014-01-01,86,0,14,0,0
Madison,2014-01-01,83,2,15,0,0
Manitowoc,2014-01-01,86,0,13,0,1
La Crosse-Onalaska,2014-01-01,90,0,9,1,0
Oshkosh-Neenah,2014-01-01,86,0,13,0,1
Minneapolis-St. Paul-Bloomington,2014-01-01,77,0,20,1,2
