date,isPartial,State,Fire,Waterdamage,Smoke,forestfire,Flooding
2010-01-01,False,US-AL,50.0,0.0,10.0,0.0,0.0
2010-02-01,False,US-AL,47.0,0.0,8.0,0.0,0.0
2010-03-01,False,US-AL,49.0,0.0,14.0,0.0,2.0
2010-04-01,False,US-AL,39.0,0.0,8.0,0.0,0.0
2010-05-01,False,US-AL,42.0,0.0,11.0,0.0,16.0
2010-06-01,False,US-AL,42.0,0.0,10.0,0.0,2.0
2010-07-01,False,US-AL,52.0,0.0,14.0,0.0,1.0
2010-08-01,False,US-AL,40.0,0.0,5.0,0.0,0.0
2010-09-01,False,US-AL,56.0,0.0,9.0,0.0,2.0
2010-10-01,False,US-AL,55.0,0.0,8.0,0.0,0.0
2010-11-01,False,US-AL,52.0,0.0,20.0,0.0,0.0
2010-12-01,False,US-AL,54.0,0.0,9.0,0.0,0.0
2011-01-01,False,US-AL,46.0,0.0,9.0,0.0,2.0
2011-02-01,False,US-AL,44.0,0.0,9.0,0.0,1.0
2011-03-01,False,US-AL,46.0,0.0,11.0,0.0,0.0
2011-04-01,False,US-AL,47.0,0.0,9.0,0.0,1.0
2011-05-01,False,US-AL,50.0,0.0,11.0,0.0,18.0
2011-06-01,False,US-AL,59.0,0.0,10.0,0.0,3.0
2011-07-01,False,US-AL,55.0,0.0,16.0,0.0,2.0
2011-08-01,False,US-AL,49.0,0.0,14.0,0.0,1.0
2011-09-01,False,US-AL,52.0,0.0,9.0,0.0,3.0
2011-10-01,False,US-AL,57.0,0.0,8.0,0.0,1.0
2011-11-01,False,US-AL,69.0,0.0,13.0,0.0,1.0
2011-12-01,False,US-AL,89.0,0.0,14.0,0.0,0.0
2012-01-01,False,US-AL,76.0,0.0,10.0,0.0,2.0
2012-02-01,False,US-AL,70.0,0.0,8.0,0.0,0.0
2012-03-01,False,US-AL,73.0,0.0,7.0,0.0,0.0
2012-04-01,False,US-AL,63.0,0.0,12.0,0.0,0.0
2012-05-01,False,US-AL,70.0,0.0,10.0,0.0,0.0
2012-06-01,False,US-AL,68.0,0.0,13.0,0.0,4.0
2012-07-01,False,US-AL,62.0,0.0,13.0,0.0,1.0
2012-08-01,False,US-AL,54.0,0.0,12.0,0.0,3.0
2012-09-01,False,US-AL,69.0,0.0,10.0,0.0,1.0
2012-10-01,False,US-AL,55.0,0.0,10.0,0.0,2.0
2012-11-01,False,US-AL,75.0,0.0,11.0,0.0,1.0
2012-12-01,False,US-AL,70.0,0.0,13.0,0.0,0.0
2013-01-01,False,US-AL,57.0,0.0,11.0,0.0,1.0
2013-02-01,False,US-AL,64.0,0.0,12.0,0.0,1.0
2013-03-01,False,US-AL,62.0,0.0,14.0,0.0,0.0
2013-04-01,False,US-AL,64.0,0.0,11.0,0.0,1.0
2013-05-01,False,US-AL,59.0,0.0,14.0,0.0,2.0
2013-06-01,False,US-AL,54.0,0.0,12.0,0.0,2.0
2013-07-01,False,US-AL,60.0,0.0,15.0,0.0,3.0
2013-08-01,False,US-AL,55.0,0.0,13.0,0.0,1.0
2013-09-01,False,US-AL,62.0,0.0,12.0,0.0,3.0
2013-10-01,False,US-AL,64.0,0.0,9.0,0.0,1.0
2013-11-01,False,US-AL,77.0,0.0,15.0,0.0,0.0
2013-12-01,False,US-AL,72.0,0.0,14.0,0.0,1.0
2014-01-01,False,US-AL,65.0,0.0,12.0,0.0,1.0
2014-02-01,False,US-AL,56.0,0.0,13.0,0.0,0.0
2014-03-01,False,US-AL,66.0,0.0,12.0,0.0,0.0
2014-04-01,False,US-AL,60.0,0.0,15.0,0.0,5.0
2014-05-01,False,US-AL,63.0,0.0,14.0,0.0,4.0
2014-06-01,False,US-AL,59.0,0.0,12.0,0.0,1.0
2014-07-01,False,US-AL,64.0,0.0,15.0,0.0,0.0
2014-08-01,False,US-AL,49.0,0.0,13.0,0.0,2.0
2014-09-01,False,US-AL,54.0,0.0,13.0,0.0,1.0
2014-10-01,False,US-AL,57.0,0.0,13.0,0.0,0.0
2014-11-01,False,US-AL,53.0,0.0,12.0,0.0,1.0
2014-12-01,False,US-AL,73.0,0.0,11.0,0.0,1.0
2015-01-01,False,US-AL,62.0,0.0,15.0,0.0,0.0
2015-02-01,False,US-AL,67.0,0.0,13.0,0.0,1.0
2015-03-01,False,US-AL,56.0,0.0,12.0,0.0,1.0
2015-04-01,False,US-AL,54.0,0.0,14.0,0.0,1.0
2015-05-01,False,US-AL,56.0,0.0,14.0,0.0,6.0
2015-06-01,False,US-AL,66.0,0.0,14.0,0.0,1.0
2015-07-01,False,US-AL,56.0,0.0,13.0,0.0,1.0
2015-08-01,False,US-AL,54.0,0.0,15.0,0.0,0.0
2015-09-01,False,US-AL,60.0,0.0,11.0,0.0,1.0
2015-10-01,False,US-AL,53.0,0.0,11.0,0.0,8.0
2015-11-01,False,US-AL,61.0,0.0,13.0,0.0,1.0
2015-12-01,False,US-AL,66.0,0.0,12.0,0.0,8.0
2016-01-01,False,US-AL,55.0,0.0,12.0,0.0,2.0
2016-02-01,False,US-AL,61.0,0.0,14.0,0.0,1.0
2016-03-01,False,US-AL,56.0,0.0,11.0,0.0,4.0
2016-04-01,False,US-AL,65.0,0.0,14.0,0.0,3.0
2016-05-01,False,US-AL,62.0,0.0,14.0,0.0,2.0
2016-06-01,False,US-AL,54.0,0.0,13.0,0.0,4.0
2016-07-01,False,US-AL,61.0,0.0,13.0,0.0,1.0
2016-08-01,False,US-AL,59.0,0.0,12.0,0.0,10.0
2016-09-01,False,US-AL,61.0,0.0,14.0,0.0,1.0
2016-10-01,False,US-AL,58.0,0.0,13.0,0.0,3.0
2016-11-01,False,US-AL,100.0,0.0,17.0,0.0,0.0
2016-12-01,False,US-AL,79.0,0.0,12.0,0.0,1.0
2017-01-01,False,US-AL,57.0,0.0,13.0,0.0,1.0
2017-02-01,False,US-AL,62.0,0.0,14.0,0.0,0.0
2017-03-01,False,US-AL,63.0,0.0,13.0,0.0,1.0
2017-04-01,False,US-AL,60.0,0.0,13.0,0.0,1.0
2017-05-01,False,US-AL,58.0,0.0,15.0,0.0,2.0
2017-06-01,False,US-AL,59.0,0.0,14.0,0.0,2.0
2017-07-01,False,US-AL,58.0,0.0,16.0,0.0,2.0
2017-08-01,False,US-AL,59.0,0.0,15.0,0.0,9.0
2017-09-01,False,US-AL,51.0,0.0,12.0,0.0,4.0
2017-10-01,False,US-AL,66.0,0.0,14.0,0.0,1.0
2017-11-01,False,US-AL,53.0,0.0,17.0,0.0,0.0
2017-12-01,False,US-AL,67.0,0.0,14.0,0.0,1.0
2018-01-01,False,US-AL,61.0,0.0,14.0,0.0,0.0
2018-02-01,False,US-AL,54.0,0.0,14.0,0.0,1.0
2018-03-01,False,US-AL,52.0,0.0,15.0,0.0,1.0
2018-04-01,False,US-AL,55.0,0.0,13.0,0.0,1.0
2018-05-01,False,US-AL,53.0,0.0,15.0,0.0,2.0
2018-06-01,False,US-AL,53.0,0.0,15.0,0.0,1.0
2018-07-01,False,US-AL,56.0,0.0,16.0,0.0,1.0
2018-08-01,False,US-AL,57.0,0.0,16.0,0.0,1.0
2018-09-01,False,US-AL,53.0,0.0,15.0,0.0,5.0
2018-10-01,False,US-AL,52.0,0.0,14.0,0.0,3.0
2018-11-01,False,US-AL,69.0,0.0,19.0,0.0,1.0
2018-12-01,False,US-AL,55.0,0.0,17.0,0.0,1.0
2019-01-01,False,US-AL,52.0,0.0,15.0,0.0,1.0
2019-02-01,False,US-AL,55.0,0.0,15.0,0.0,8.0
2019-03-01,False,US-AL,50.0,0.0,16.0,0.0,3.0
2019-04-01,False,US-AL,61.0,0.0,17.0,0.0,1.0
2019-05-01,False,US-AL,55.0,0.0,15.0,0.0,3.0
2019-06-01,False,US-AL,58.0,0.0,16.0,0.0,3.0
2019-07-01,False,US-AL,63.0,0.0,16.0,0.0,3.0
2019-08-01,False,US-AL,65.0,0.0,16.0,0.0,0.0
2019-09-01,False,US-AL,51.0,0.0,14.0,0.0,2.0
2019-10-01,False,US-AL,58.0,0.0,15.0,0.0,1.0
2019-11-01,False,US-AL,61.0,0.0,18.0,0.0,1.0
2019-12-01,False,US-AL,54.0,0.0,15.0,0.0,1.0
2020-01-01,False,US-AL,56.0,0.0,16.0,0.0,1.0
2020-02-01,False,US-AL,51.0,0.0,23.0,0.0,9.0
2020-03-01,False,US-AL,51.0,0.0,17.0,0.0,1.0
2020-04-01,False,US-AL,54.0,0.0,19.0,0.0,1.0
2020-05-01,False,US-AL,60.0,0.0,21.0,0.0,1.0
2020-06-01,False,US-AL,57.0,0.0,16.0,0.0,1.0
2020-07-01,False,US-AL,56.0,0.0,23.0,0.0,1.0
2020-08-01,False,US-AL,55.0,0.0,18.0,0.0,1.0
2020-09-01,False,US-AL,59.0,0.0,21.0,0.0,2.0
2020-10-01,False,US-AL,55.0,0.0,19.0,0.0,1.0
2020-11-01,False,US-AL,54.0,0.0,23.0,0.0,0.0
2020-12-01,False,US-AL,57.0,0.0,21.0,0.0,0.0
2021-01-01,False,US-AL,51.0,0.0,19.0,0.0,0.0
2010-01-01,False,US-AK,24.0,0.0,4.0,0.0,1.0
2010-02-01,False,US-AK,20.0,0.0,3.0,0.0,2.0
2010-03-01,False,US-AK,24.0,0.0,3.0,0.0,0.0
2010-04-01,False,US-AK,26.0,0.0,6.0,0.0,1.0
2010-05-01,False,US-AK,31.0,0.0,4.0,0.0,1.0
2010-06-01,False,US-AK,32.0,0.0,4.0,0.0,1.0
2010-07-01,False,US-AK,19.0,0.0,5.0,0.0,1.0
2010-08-01,False,US-AK,26.0,0.0,5.0,0.0,1.0
2010-09-01,False,US-AK,18.0,0.0,5.0,0.0,0.0
2010-10-01,False,US-AK,22.0,0.0,4.0,0.0,0.0
2010-11-01,False,US-AK,22.0,0.0,6.0,0.0,0.0
2010-12-01,False,US-AK,18.0,0.0,3.0,0.0,1.0
2011-01-01,False,US-AK,26.0,0.0,4.0,0.0,1.0
2011-02-01,False,US-AK,19.0,0.0,4.0,0.0,0.0
2011-03-01,False,US-AK,22.0,0.0,4.0,0.0,0.0
2011-04-01,False,US-AK,24.0,0.0,5.0,0.0,0.0
2011-05-01,False,US-AK,31.0,0.0,2.0,0.0,4.0
2011-06-01,False,US-AK,36.0,0.0,4.0,0.0,5.0
2011-07-01,False,US-AK,27.0,0.0,9.0,0.0,0.0
2011-08-01,False,US-AK,21.0,0.0,4.0,0.0,0.0
2011-09-01,False,US-AK,27.0,0.0,5.0,0.0,1.0
2011-10-01,False,US-AK,27.0,0.0,3.0,0.0,1.0
2011-11-01,False,US-AK,22.0,0.0,6.0,0.0,1.0
2011-12-01,False,US-AK,32.0,0.0,6.0,0.0,0.0
2012-01-01,False,US-AK,36.0,0.0,3.0,0.0,0.0
2012-02-01,False,US-AK,23.0,0.0,6.0,0.0,0.0
2012-03-01,False,US-AK,30.0,0.0,5.0,0.0,0.0
2012-04-01,False,US-AK,27.0,0.0,6.0,0.0,0.0
2012-05-01,False,US-AK,29.0,0.0,7.0,0.0,0.0
2012-06-01,False,US-AK,49.0,0.0,5.0,0.0,1.0
2012-07-01,False,US-AK,30.0,0.0,6.0,0.0,0.0
2012-08-01,False,US-AK,37.0,0.0,6.0,0.0,0.0
2012-09-01,False,US-AK,27.0,0.0,4.0,0.0,8.0
2012-10-01,False,US-AK,29.0,0.0,4.0,0.0,1.0
2012-11-01,False,US-AK,31.0,0.0,8.0,0.0,0.0
2012-12-01,False,US-AK,33.0,0.0,5.0,0.0,0.0
2013-01-01,False,US-AK,34.0,0.0,6.0,0.0,0.0
2013-02-01,False,US-AK,32.0,0.0,5.0,0.0,0.0
2013-03-01,False,US-AK,26.0,0.0,4.0,0.0,1.0
2013-04-01,False,US-AK,31.0,0.0,5.0,0.0,1.0
2013-05-01,False,US-AK,27.0,0.0,5.0,0.0,1.0
2013-06-01,False,US-AK,45.0,0.0,8.0,0.0,2.0
2013-07-01,False,US-AK,52.0,0.0,5.0,0.0,1.0
2013-08-01,False,US-AK,31.0,0.0,6.0,0.0,1.0
2013-09-01,False,US-AK,27.0,0.0,5.0,0.0,3.0
2013-10-01,False,US-AK,26.0,0.0,3.0,0.0,1.0
2013-11-01,False,US-AK,30.0,0.0,9.0,0.0,1.0
2013-12-01,False,US-AK,33.0,0.0,5.0,0.0,0.0
2014-01-01,False,US-AK,25.0,0.0,7.0,0.0,1.0
2014-02-01,False,US-AK,26.0,0.0,7.0,0.0,1.0
2014-03-01,False,US-AK,28.0,0.0,7.0,0.0,0.0
2014-04-01,False,US-AK,31.0,0.0,6.0,0.0,0.0
2014-05-01,False,US-AK,82.0,0.0,10.0,0.0,1.0
