,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1105.78470993042,1099.0,6.784709930419922,46.0322888399387
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1104.8411116600037,1098.0,6.841111660003662,46.80080874463806
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1106.5583262443542,1106.0,0.558326244354248,0.3117281951347195
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1109.4005773067474,1114.0,-4.5994226932525635,21.154689111206665
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1112.6906549930573,1116.0,-3.309345006942749,10.951764374976904
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1115.980732679367,1128.0,-12.019267320632935,144.4627869248348
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1120.2159578800201,1138.0,-17.78404211997986,316.2721541252177
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1124.483214378357,1148.0,-23.516785621643066,553.0392059743181
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1129.180820941925,1155.0,-25.81917905807495,666.6300072329361
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1134.3788604736328,1175.0,-40.62113952636719,1650.0769764205907
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1138.7091467380524,1161.0,-22.290853261947632,496.8821391456814
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1143.767659187317,1155.0,-11.232340812683105,126.16548013226657
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.7027512788773,1115.0,14.702751278877258,216.17089516852684
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1131.6347522735596,1119.0,12.63475227355957,159.63696501421873
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1133.7691497802734,1131.0,2.7691497802734375,7.668190505588427
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1136.5548936128616,1136.0,0.5548936128616333,0.3079069215946362
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1139.843348622322,1137.0,2.8433486223220825,8.084631388060885
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1142.8629968166351,1151.0,-8.137003183364868,66.21082080609
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1146.101394891739,1167.0,-20.89860510826111,436.7516954710373
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1149.6730972528458,1179.0,-29.326902747154236,860.0672247410427
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1153.1196303367615,1188.0,-34.880369663238525,1216.6401878441704
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1155.0212280750275,1213.0,-57.978771924972534,3361.5379939279833
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1156.3884181976318,1209.0,-52.611581802368164,2767.978539747277
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1156.2393519878387,1205.0,-48.760648012161255,2377.6007945658853
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1095.6194334030151,1112.0,-16.380566596984863,268.32296203825626
205,1040,2019,2,2019-02-01,Holyoke,MA,Springfield,Hampden County,2019-02,1093.284366607666,1125.0,-31.715633392333984,1005.8814014769305
206,1040,2019,3,2019-03-01,Holyoke,MA,Springfield,Hampden County,2019-03,1093.0788021087646,1129.0,-35.92119789123535,1290.332457941291
207,1040,2019,4,2019-04-01,Holyoke,MA,Springfield,Hampden County,2019-04,1094.1826169490814,1127.0,-32.81738305091858,1076.980630310718
208,1040,2019,5,2019-05-01,Holyoke,MA,Springfield,Hampden County,2019-05,1095.9142832756042,1123.0,-27.085716724395752,733.6360504742117
209,1040,2019,6,2019-06-01,Holyoke,MA,Springfield,Hampden County,2019-06,1097.3998301029205,1131.0,-33.60016989707947,1128.9714171126052
210,1040,2019,7,2019-07-01,Holyoke,MA,Springfield,Hampden County,2019-07,1098.7929265499115,1137.0,-38.2070734500885,1459.7804616204576
211,1040,2019,8,2019-08-01,Holyoke,MA,Springfield,Hampden County,2019-08,1100.4370563030243,1145.0,-44.56294369697571,1985.855950939827
212,1040,2019,9,2019-09-01,Holyoke,MA,Springfield,Hampden County,2019-09,1102.0765619277954,1149.0,-46.92343807220459,2201.809040516019
213,1040,2019,10,2019-10-01,Holyoke,MA,Springfield,Hampden County,2019-10,1103.172791481018,1164.0,-60.827208518981934,3699.9492962117083
214,1040,2019,11,2019-11-01,Holyoke,MA,Springfield,Hampden County,2019-11,1104.4678800106049,1136.0,-31.53211998939514,994.2745910256126
215,1040,2019,12,2019-12-01,Holyoke,MA,Springfield,Hampden County,2019-12,1108.690256357193,1123.0,-14.309743642807007,204.76876312285555
276,1085,2019,1,2019-01-01,Westfield,MA,Springfield,Hampden County,2019-01,1160.5942296981812,1172.0,-11.405770301818848,130.0915961778528
277,1085,2019,2,2019-02-01,Westfield,MA,Springfield,Hampden County,2019-02,1165.991553068161,1179.0,-13.00844693183899,169.2196915784712
278,1085,2019,3,2019-03-01,Westfield,MA,Springfield,Hampden County,2019-03,1171.1000273227692,1186.0,-14.899972677230835,222.00918578222542
279,1085,2019,4,2019-04-01,Westfield,MA,Springfield,Hampden County,2019-04,1176.0316376686096,1185.0,-8.96836233139038,80.43152290710191
280,1085,2019,5,2019-05-01,Westfield,MA,Springfield,Hampden County,2019-05,1181.5189127922058,1192.0,-10.48108720779419,109.853189057387
281,1085,2019,6,2019-06-01,Westfield,MA,Springfield,Hampden County,2019-06,1186.1516098976135,1199.0,-12.848390102386475,165.08112822310272
282,1085,2019,7,2019-07-01,Westfield,MA,Springfield,Hampden County,2019-07,1191.7671444416046,1202.0,-10.232855558395386,104.71133287898334
283,1085,2019,8,2019-08-01,Westfield,MA,Springfield,Hampden County,2019-08,1197.0167927742004,1201.0,-3.9832072257995605,15.865939803661831
284,1085,2019,9,2019-09-01,Westfield,MA,Springfield,Hampden County,2019-09,1200.8997271060944,1201.0,-0.10027289390563965,0.010054653252211665
285,1085,2019,10,2019-10-01,Westfield,MA,Springfield,Hampden County,2019-10,1202.4565105438232,1192.0,10.456510543823242,109.33861275308664
286,1085,2019,11,2019-11-01,Westfield,MA,Springfield,Hampden County,2019-11,1201.5774703025818,1191.5,10.077470302581787,101.55540769941786
