,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1101.9723739624023,1099.0,2.9723739624023438,8.83500697236741
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1094.8178160190582,1098.0,-3.1821839809417725,10.126294888562427
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1089.7477929592133,1106.0,-16.252207040786743,264.1342336965982
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1086.5906376838684,1114.0,-27.409362316131592,751.2731425769746
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1088.4993741512299,1116.0,-27.50062584877014,756.2844220740444
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1090.7021136283875,1128.0,-37.29788637161255,1391.132327789721
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1094.34108376503,1138.0,-43.65891623497009,1906.100966812135
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1100.0835194587708,1148.0,-47.91648054122925,2295.989107458001
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1105.5864610671997,1155.0,-49.41353893280029,2441.6978298633703
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1108.1477146148682,1175.0,-66.85228538513184,4469.228061215112
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1109.3996260166168,1161.0,-51.60037398338318,2662.5985952250076
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1111.808972120285,1155.0,-43.191027879714966,1865.4648893063154
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1128.8805297613144,1115.0,13.880529761314392,192.66910645473456
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1128.9067032337189,1119.0,9.906703233718872,98.14276896097596
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1127.4042677879333,1131.0,-3.5957322120666504,12.929290140893727
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1127.8910566568375,1136.0,-8.108943343162537,65.75496214262002
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1128.4835093021393,1137.0,-8.516490697860718,72.53061380674814
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1129.3336285352707,1151.0,-21.66637146472931,469.43165244763645
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1132.7341458797455,1167.0,-34.26585412025452,1174.1487585905634
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1136.7356023788452,1179.0,-42.264397621154785,1786.2793062790743
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1139.752192735672,1188.0,-48.247807264328,2327.850905815742
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1141.394076347351,1213.0,-71.60592365264893,5127.408302148987
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1146.3714005947113,1209.0,-62.628599405288696,3922.3414634681276
143,1020,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1152.2954016923904,1205.0,-52.70459830760956,2777.7746827664805
204,1040,2019,1,2019-01-01,Holyoke,MA,Springfield,Hampden County,2019-01,1096.5476171970367,1112.0,-15.452382802963257,238.7761342893146
