,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1105.5874395370483,1099.0,6.58743953704834,43.394359654267646
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1104.8673808574677,1098.0,6.867380857467651,47.160919841513135
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1106.3209521770477,1106.0,0.3209521770477295,0.1030102999516771
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1109.0616869926453,1114.0,-4.938313007354736,24.38693535860898
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1112.1992185115814,1116.0,-3.800781488418579,14.44593992270535
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1114.3767352104187,1128.0,-13.623264789581299,185.5933435270456
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1117.1027386188507,1138.0,-20.897261381149292,436.6955332320736
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1118.9901933670044,1148.0,-29.009806632995605,841.5688808837958
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1121.172724723816,1155.0,-33.82727527618408,1144.2845526107349
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1123.3199768066406,1175.0,-51.680023193359375,2670.824797266163
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1125.615208864212,1161.0,-35.384791135787964,1252.0834437233384
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1127.9135258197784,1155.0,-27.086474180221558,733.6770835158092
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1129.4130245447159,1115.0,14.413024544715881,207.73527652658242
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1131.5159680843353,1119.0,12.515968084335327,156.64945708810052
