,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1103.5448293685913,1099.0,4.544829368591309,20.655473989610073
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1099.1069250106812,1098.0,1.1069250106811523,1.2252829792714692
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1097.1725716590881,1106.0,-8.827428340911865,77.923491113934
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1097.991727590561,1114.0,-16.008272409439087,256.2647855348087
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1100.238484621048,1116.0,-15.761515378952026,248.42536704094124
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1102.3548877239227,1128.0,-25.64511227607727,657.6717836526091
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1104.5468504428864,1138.0,-33.45314955711365,1119.113215290613
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1105.8577282428741,1148.0,-42.142271757125854,1775.9710688514474
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1107.3491880893707,1155.0,-47.65081191062927,2270.5998757421685
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1108.651694536209,1175.0,-66.3483054637909,4402.097637916505
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1111.6167027950287,1161.0,-49.38329720497131,2438.7100428345275
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1111.3846695423126,1155.0,-43.61533045768738,1902.2970509332722
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1128.5542032718658,1115.0,13.554203271865845,183.71642633505877
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1128.8880867958069,1119.0,9.888086795806885,97.77426048141047
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1130.4735553264618,1131.0,-0.526444673538208,0.2771439942967504
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1131.7743082046509,1136.0,-4.225691795349121,17.85647114928088
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1133.181519627571,1137.0,-3.818480372428894,14.580792354624705
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1135.2266067266464,1151.0,-15.773393273353577,248.79993535587585
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1136.7913035154343,1167.0,-30.208696484565735,912.5653432966142
139,1020,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1137.653734922409,1179.0,-41.34626507759094,1709.5136358664163
140,1020,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1137.0309329032898,1188.0,-50.969067096710205,2597.8458007089466
141,1020,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1136.3058078289032,1213.0,-76.6941921710968,5881.999112777126
142,1020,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1133.7591680288315,1209.0,-75.24083197116852,5661.182795713615
