,zip,year,month,datetime,City,State,Metro,CountyName,year-month,zri_predict,zri_actual,residual,residual_squared
60,1013,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1104.1738631725311,1099.0,5.173863172531128,26.768860128073868
61,1013,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1100.7668855190277,1098.0,2.76688551902771,7.65565547540524
62,1013,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1099.923186302185,1106.0,-6.076813697814941,36.9276647179513
63,1013,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1100.130241394043,1114.0,-13.869758605957031,192.37020378751913
64,1013,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1101.4515290260315,1116.0,-14.548470973968506,211.65800768040413
65,1013,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1104.0320122241974,1128.0,-23.967987775802612,574.4644380210234
66,1013,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1107.2348566055298,1138.0,-30.765143394470215,946.4940480823143
67,1013,2019,8,2019-08-01,Chicopee,MA,Springfield,Hampden County,2019-08,1108.495343208313,1148.0,-39.50465679168701,1560.6179082289827
68,1013,2019,9,2019-09-01,Chicopee,MA,Springfield,Hampden County,2019-09,1111.0384678840637,1155.0,-43.96153211593628,1932.616305980497
69,1013,2019,10,2019-10-01,Chicopee,MA,Springfield,Hampden County,2019-10,1113.1119542121887,1175.0,-61.88804578781128,3830.130211434225
70,1013,2019,11,2019-11-01,Chicopee,MA,Springfield,Hampden County,2019-11,1116.0263674259186,1161.0,-44.97363257408142,2022.6276269084774
71,1013,2019,12,2019-12-01,Chicopee,MA,Springfield,Hampden County,2019-12,1118.6273305416107,1155.0,-36.37266945838928,1322.9710835292444
132,1020,2019,1,2019-01-01,Chicopee,MA,Springfield,Hampden County,2019-01,1127.9058743715286,1115.0,12.905874371528625,166.56159329367938
133,1020,2019,2,2019-02-01,Chicopee,MA,Springfield,Hampden County,2019-02,1128.007806777954,1119.0,9.007806777954102,81.14058294895585
134,1020,2019,3,2019-03-01,Chicopee,MA,Springfield,Hampden County,2019-03,1129.3322949409485,1131.0,-1.6677050590515137,2.7812401639860127
135,1020,2019,4,2019-04-01,Chicopee,MA,Springfield,Hampden County,2019-04,1131.3064860105515,1136.0,-4.693513989448547,22.02907356914922
136,1020,2019,5,2019-05-01,Chicopee,MA,Springfield,Hampden County,2019-05,1133.3802386522293,1137.0,-3.619761347770691,13.102672214814689
137,1020,2019,6,2019-06-01,Chicopee,MA,Springfield,Hampden County,2019-06,1134.9862364530563,1151.0,-16.013763546943665,256.4406229374217
138,1020,2019,7,2019-07-01,Chicopee,MA,Springfield,Hampden County,2019-07,1137.2200742959976,1167.0,-29.77992570400238,886.8439749359017
