RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
61639,10025,New York,NY,New York-Newark-Jersey City,New York County,1,2930,2952,2926,2904,2866,2828,2799,2791,2797,2823,2843,2858,2882,2909,2914,2943,2962,2980,2995,3014,3017,3045,3083,3124,3161,3157,3184,3234,3241,3231,3226,3226,3236,3248,3270,3267,3272,3282,3301,3324,3333,3338,3340,3323,3316,3318,3348,3367,3432,3459,3504,3523,3566,3576,3595,3610,3620,3655,3685,3673,3694,3655,3658,3681,3656,3616,3573,3555,3596,3678,3738,3753,3762,3749,3759,3794,3771,3761,3735,3754,3741,3784,3774,3783,3787,3749,3727,3769,3727,3671,3591,3556,3545,3519,3545,3570,3609,3640,3638,3612,3509,3474,3467,3484,3523,3573,3622,3664,3698,3704,3692,3715,3676
84654,60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,1447,1465,1469,1467,1467,1472,1479,1492,1497,1502,1512,1514,1510,1506,1507,1502,1494,1497,1497,1505,1518,1526,1541,1562,1570,1579,1582,1589,1582,1581,1585,1590,1603,1618,1638,1658,1669,1651,1647,1652,1647,1645,1635,1650,1660,1665,1670,1666,1677,1686,1682,1672,1672,1679,1678,1680,1687,1703,1728,1746,1755,1755,1749,1746,1732,1726,1726,1739,1760,1791,1824,1836,1841,1827,1802,1778,1770,1772,1784,1789,1800,1820,1824,1818,1804,1782,1765,1746,1735,1727,1740,1758,1780,1800,1802,1794,1783,1773,1755,1738,1723,1714,1718,1731,1749,1768,1787,1801,1806,1789,1761,1747,1731
61637,10023,New York,NY,New York-Newark-Jersey City,New York County,3,2797,2811,2813,2784,2736,2675,2667,2680,2692,2707,2719,2738,2759,2769,2786,2821,2841,2869,2888,2904,2909,2932,2958,2972,2967,2966,2984,2994,3007,3013,2991,2996,3010,3049,3070,3078,3096,3093,3119,3127,3135,3138,3136,3131,3118,3122,3117,3117,3170,3252,3325,3368,3413,3424,3425,3446,3469,3508,3560,3596,3652,3639,3630,3625,3582,3537,3498,3475,3467,3503,3546,3546,3520,3525,3527,3514,3490,3488,3510,3554,3561,3590,3587,3626,3651,3671,3667,3647,3609,3602,3580,3573,3556,3500,3508,3507,3533,3567,3579,3584,3515,3484,3457,3449,3459,3479,3491,3510,3521,3574,3608,3561,
91982,77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,1093,1113,1118,1116,1118,1117,1112,1091,1111,1137,1161,1175,1197,1214,1214,1242,1276,1304,1320,1297,1292,1295,1289,1283,1287,1283,1276,1249,1246,1250,1235,1220,1208,1203,1193,1186,1173,1170,1170,1180,1188,1182,1189,1191,1201,1214,1218,1214,1222,1233,1237,1225,1223,1228,1244,1251,1282,1255,1240,1234,1226,1250,1264,1251,1246,1252,1280,1310,1294,1286
84616,60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,1437,1469,1490,1503,1512,1521,1526,1532,1534,1534,1542,1551,1557,1552,1564,1573,1569,1571,1576,1585,1589,1593,1607,1624,1628,1650,1661,1680,1680,1679,1693,1704,1714,1724,1742,1754,1760,1739,1744,1749,1756,1759,1754,1774,1780,1778,1779,1783,1789,1801,1804,1812,1822,1825,1811,1796,1785,1799,1808,1817,1828,1820,1822,1835,1834,1836,1845,1857,1875,1885,1902,1906,1903,1887,1859,1839,1846,1856,1855,1860,1876,1883,1889,1889,1880,1875,1866,1853,1836,1840,1856,1866,1886,1928,1944,1940,1929,1915,1896,1887,1872,1865,1874,1888,1911,1934,1950,1953,1952,1921,1958,,1916
91940,77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,1321,,1353
61616,10002,New York,NY,New York-Newark-Jersey City,New York County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083,3108,3111,3140,3143,3167,3190,3269,3344,3417,3452,3508,3563,3599,3596,3567,3578,3601,3626,3659,3584,3579,3609,3587,3564,3548,3567,3589,3644,3652,3618,3588,3594,3586,3543,3513,3518,3570,3633,3624,3661,3652,3637,3615,3586,3592,3617,3560,3488,3474,3487,3427,3402,3399,3407,3461,3504,3494,3472,3441,3425,3408,3406,3408,3420,3432,3440,3481,3437,3485,,3538
91733,77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353,1343,1372,1378,1373,1371,1361,1347,1332,1311,1290,1266,1246,1237,1238,1238,1234,1244,1247,1244,1253,1266,1290,1305,1320,1331,1331,1335,1349,1356,1355,1352,1348,1342,1335,1332,1326,1320,1311,1305,1301,1298,1298,1298,1307,1306,1311,,1367
93144,79936,El Paso,TX,El Paso,El Paso County,9,982,987,973,972,952,928,925,935,934,934,928,924,929,931,925,928,932,941,955,967,972,982,991,996,990,982,976,984,980,976,969,959,953,945,938,940,940,941,937,931,925,922,921,919,916,914,928,941,945,955,961,958,952,950,945,938,939,957,970,976,972,960,945,933,933,930,933,937,943,949,957,955,950,942,933,931,934,935,933,938,942,940,937,927,917,910,903,901,898,895,891,891,895,898,900,906,907,912,911,908,898,889,883,881,879,881,879,879,877,877,883,895,898
84640,60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,10,1207,1224,1220,1224,1227,1231,1238,1242,1247,1257,1265,1262,1265,1268,1275,1276,1277,1279,1276,1274,1279,1276,1281,1290,1290,1300,1308,1313,1312,1311,1322,1326,1333,1347,1352,1362,1377,1381,1379,1378,1371,1367,1357,1359,1358,1359,1359,1359,1375,1382,1385,1387,1399,1401,1392,1396,1415,1427,1438,1449,1460,1462,1461,1460,1454,1453,1448,1460,1476,1486,1499,1499,1491,1483,1479,1474,1471,1476,1494,1509,1513,1514,1521,1515,1500,1490,1479,1474,1463,1458,1463,1469,1474,1477,1480,1489,1488,1487,1491,1486,1504,1508,1505,1503,1505,1507,1506,1503,1498,1506,1494,1498,1497
62037,11226,New York,NY,New York-Newark-Jersey City,Kings County,11,1717,1675,1652,1625,1590,1570,1557,1549,1556,1578,1596,1600,1599,1606,1611,1607,1606,1602,1597,1606,1608,1625,1643,1660,1679,1685,1690,1689,1688,1689,1698,1711,1734,1752,1773,1791,1805,1826,1858,1879,1888,1892,1878,1869,1864,1864,1877,1882,1888,1893,1888,1881,1876,1868,1891,1912,1934,1942,1963,1983,2001,2010,2030,2046,2054,2061,2065,2064,2065,2081,2100,2109,2118,2137,2149,2153,2141,2112,2094,2058,2042,2029,2008,1993,1984,1968,1956,1956,1945,1948,1952,1950,1953,1974,2000,2011,2009,2028,2046,2042,2025,2021,2018,2023,2028,2040,2054,2063,2073,2125,2098,2127,2128
61807,10467,New York,NY,New York-Newark-Jersey City,Bronx County,12,1347,1387,1424,1460,1448,1443,1431,1425,1415,1405,1396,1379,1367,1357,1347,1333,1328,1324,1327,1331,1335,1340,1347,1348,1350,1352,1353,1352,1349,1346,1348,1355,1370,1384,1395,1405,1413,1420,1424,1421,1409,1404,1400,1397,1397,1396,1401,1404,1412,1412,1422,1434,1442,1448,1453,1458,1466,1474,1485,1495,1500,1508,1509,1520,1528,1533,1540,1555,1565,1575,1584,1594,1601,1616,1623,1636,1646,1654,1658,1662,1667,1674,1679,1683,1684,1687,1694,1707,1719,1727,1734,1743,1756,1767,1776,1783,1787,1790,1793,1796,1789,1782,1777,1774,1778,1786,1792,1803,1818,1847,1861,1860,1865
92593,78660,Pflugerville,TX,Austin-Round Rock,Travis County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1006,1019,1036,1042,1064,1086,1103,1116,1123,1133,1129,1128,1131,1134,1152,1162,1177,1191,1201,1222,1217,1204,1195,1188,1208,1219,1235,1240,1244,1258,1263,1264,1257,1238,1232,1245,1236,1245,1267,1278,1287,1286,1265,1259,1261,1272,1285,1297,1308,1320,1328,1304,1295,1286,1291,1292,1288,1287,1290,1283,1280,1283,1288,1301,1322,1341,1339,1375,1387,1362
97564,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3116,3138,3152,3145,3147,3155,3164,3160,3161,3182,3243,3298,3337,3379,3418,3458,3505,3559,3547,3528,3504,3489,3511,3531,3559,3567,3584,3579,3559,3533,3537,3527,3498,3468,3434,3405,3389,3377,3371,3340,3332,3339,3345,3321,3290,3269,3282,3295,3303,3325,3336,3363,3367,3369,3366,3363,3363,3382,3383,3393,3391,3397,3402,3405,3411,3427,3459,3457,3445,3398,3354
61630,10016,New York,NY,New York-Newark-Jersey City,New York County,15,2847,2867,2868,2830,2765,2692,2668,2669,2688,2709,2725,2749,2767,2781,2785,2800,2802,2815,2827,2843,2858,2887,2907,2929,2943,2960,2985,2992,3004,3008,3012,3023,3040,3046,3073,3075,3085,3088,3102,3103,3099,3096,3107,3105,3090,3101,3115,3116,3170,3233,3309,3345,3405,3430,3443,3456,3468,3513,3582,3610,3660,3644,3627,3618,3598,3570,3530,3528,3522,3607,3644,3658,3661,3658,3648,3629,3605,3592,3608,3673,3669,3691,3695,3717,3736,3747,3727,3686,3636,3641,3645,3642,3640,3573,3556,3552,3555,3586,3593,3577,3515,3504,3503,3515,3529,3540,3543,3551,3569,3614,,3538,3465
74101,37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,1015,1013,1010
84646,60647,Chicago,IL,Chicago-Naperville-Elgin,Cook County,17,1329,1366,1365,1363,1335,1313,1301,1289,1284,1291,1305,1317,1319,1316,1311,1300,1292,1286,1283,1286,1292,1292,1291,1295,1307,1312,1311,1310,1305,1300,1309,1329,1341,1354,1366,1384,1397,1403,1407,1410,1429,1439,1443,1455,1452,1454,1455,1454,1478,1491,1483,1473,1482,1496,1489,1483,1481,1490,1507,1529,1537,1535,1527,1527,1528,1536,1534,1537,1551,1585,1612,1630,1636,1624,1595,1567,1546,1534,1537,1546,1556,1578,1592,1600,1594,1589,1584,1568,1564,1563,1583,1601,1614,1621,1635,1639,1642,1644,1637,1626,1611,1606,1608,1619,1635,1653,1671,1682,1685,1663,1621,1624,1579
