,ZIP,arima_params,arima_seasonal,RSME,Predictions_2019,Conf_interval_2019
0,01013,"(1, 1, 0)","(0, 0, 0, 12)",43.80699862203557,"[1104.9205922703397, 1102.1462652838563, 1100.259015513829, 1098.9748865838262, 1098.1009256960565, 1097.505981425386, 1097.100884941695, 1096.8249950946595, 1096.6370611564637, 1096.5090156567035, 1096.4217565989034, 1096.362280648111]","[[1093.3254754811594, 1116.51570905952], [1090.6482377108487, 1113.644292856864], [1088.8556651343613, 1111.6623658932965], [1087.6639117843122, 1110.2858613833403], [1086.8801168053526, 1109.3217345867604], [1086.3732152357156, 1108.6387476150562], [1086.05412085284, 1108.1476490305502], [1085.8622651669655, 1107.7877250223535], [1085.7564804601207, 1107.5176418528067], [1085.7087641946691, 1107.3092671187378], [1085.700080849189, 1107.1434323486178], [1085.7174899259705, 1107.0070713702514]]"
1,01020,"(1, 1, 0)","(0, 0, 1, 12)",39.48391329694133,"[1127.026942368522, 1128.0245225972649, 1131.0453336613664, 1133.2370792521797, 1136.7050896410722, 1139.2294517540595, 1138.9073268715833, 1140.0646487119832, 1140.466024691826, 1139.8813064760675, 1141.1470320528945, 1143.1907149223214]","[[1116.9905656725252, 1137.0633190645187], [1118.0732687313164, 1137.9757764632134], [1121.1769483913693, 1140.9137189313635], [1123.4494547478855, 1143.0247037564739], [1126.9962472847387, 1146.4139319974056], [1129.5976611229078, 1148.8612423852112], [1129.3506349826387, 1148.464018760528], [1130.5813480210502, 1149.5479494029162], [1131.054417120817, 1149.877632262835], [1130.5397746948122, 1149.2228382573228], [1131.8740177981354, 1150.4200463076536], [1133.984697513634, 1152.3967323310087]]"
2,01040,"(1, 1, 0)","(0, 0, 0, 12)",42.71219073964782,"[1096.8463435276497, 1094.689110210824, 1093.5684541383457, 1092.9861317688808, 1092.6834713643477, 1092.5261246873874, 1092.4443058342401, 1092.4017505504983, 1092.3796124662622, 1092.3680931472272, 1092.3620980819553, 1092.3589773440688]","[[1081.8178964641788, 1111.8747905911205], [1079.7865149048177, 1109.5917055168304], [1078.7886014566527, 1108.3483068200387], [1078.3257218599153, 1107.6465416778462], [1078.1401623852594, 1107.226780343436], [1078.0966513591768, 1106.955598015598], [1078.1265349601197, 1106.7620767083606], [1078.1928084558187, 1106.6106926451778], [1078.2772231340457, 1106.4820017984787], [1078.3695154272987, 1106.3666708671558], [1078.4656368110495, 1106.258559352861], [1078.5618495019146, 1106.156105186223]]"
3,01085,"(1, 1, 0)","(1, 0, 0, 12)",29.546903869601607,"[1158.3256468861262, 1156.1719939932464, 1157.0611134809863, 1155.927067830445, 1158.9267058436944, 1162.8651228704377, 1166.7889373509975, 1168.7519113200772, 1169.7332765368953, 1167.1032543810054, 1160.8463433952109, 1161.5211750496599]","[[1140.7779237720952, 1175.8733700001571], [1138.7731049423996, 1173.570883044093], [1139.8071763604858, 1174.3150506014867], [1138.814496936876, 1173.039638724014], [1141.9520686266244, 1175.9013430607645], [1146.0250845239418, 1179.7051612169337], [1150.0803299842119, 1183.497544717783], [1152.1716938291934, 1185.332128810961], [1153.278530057095, 1186.1880230166958], [1150.7711683997097, 1183.435340362301], [1144.6341840996288, 1177.058502690793], [1145.4262856849082, 1177.6160644144115]]"
4,01104,"(2, 1, 0)","(0, 0, 0, 12)",42.18611426513878,"[1113.8984539135715, 1112.6254001848522, 1112.2595443253815, 1112.2480864654717, 1112.3277583157917, 1112.4011224933986, 1112.4465243130535, 1112.4687111731903, 1112.4772046993853, 1112.4792733612464, 1112.4790161372625, 1112.478278641108]","[[1102.787951903449, 1125.008955923694], [1101.6081250958682, 1123.6426752738362], [1101.332752599555, 1123.186336051208], [1101.4100438994844, 1123.086129031459], [1101.5758331173015, 1123.079683514282], [1101.733774200339, 1123.0684707864582], [1101.8617059634446, 1123.0313426626624], [1101.96409669755, 1122.9733256488305], [1102.0515407323378, 1122.9028686664328], [1102.1303848570847, 1122.8281618654082], [1102.2055300950328, 1122.7525021794922], [1102.2784054512633, 1122.6781518309529]]"
5,01108,"(1, 1, 0)","(2, 0, 0, 12)",28.780146424942004,"[1184.843705783605, 1188.9063278010433, 1191.948658490366, 1189.2411617620903, 1188.8075743154893, 1187.0401947569305, 1189.4454691055919, 1189.816233391658, 1185.128124230042, 1184.5048390016084, 1184.0508700615012, 1188.9799842512134]","[[1170.2522456210884, 1199.4351659461215], [1174.4454780173528, 1203.3671775847338], [1177.6148782941443, 1206.2824386865875], [1175.0312184722507, 1203.45110505193], [1174.7180574745596, 1202.897091156419], [1173.0681771748598, 1201.0122123390013], [1175.588039128823, 1203.3028990823607], [1176.070568347468, 1203.561898435848], [1171.4915812354834, 1198.7646672246005], [1170.9746971145694, 1198.0349808886474], [1170.624611139461, 1197.4771289835414], [1175.6552967476161, 1202.3046717548107]]"
6,01109,"(2, 1, 0)","(0, 0, 0, 12)",28.708078048894468,"[1165.6405716774482, 1171.0569479063165, 1173.391775913319, 1173.902943239308, 1173.6782330323826, 1173.326516623209, 1173.0762914534857, 1172.954520340563, 1172.9184600740862, 1172.9217803737947, 1172.9353584929274, 1172.9465992341532]","[[1151.083375669967, 1180.1977676849294], [1156.6218438362441, 1185.492051976389], [1159.0755186694987, 1187.7080331571392], [1159.7026714723056, 1188.1032150063102], [1159.5912146447467, 1187.7652514200186], [1159.3497856625172, 1187.3032475839009], [1159.2076821819662, 1186.9449007250053], [1159.191421296818, 1186.7176193843081], [1159.2584814180825, 1186.5784387300898], [1159.3627226443482, 1186.4808381032412], [1159.4748800977347, 1186.3958368881201], [1159.582701557736, 1186.3104969105702]]"
7,01420,"(5, 1, 1)","(2, 0, 1, 12)",24.048793355471755,"[1241.5734017212144, 1258.278448449132, 1263.086156816737, 1277.347839536161, 1287.6108621580133, 1290.7477223223182, 1296.2933470599485, 1301.2867590250048, 1301.9865462354594, 1305.397816082287, 1301.7252777062322, 1294.3243478638674]","[[1231.8060556650057, 1251.340747777423], [1248.5556974610986, 1268.0011994371653], [1253.4931045610933, 1272.6792090723807], [1267.8631156376464, 1286.8325634346756], [1278.1633195547704, 1297.0584047612563], [1281.4667339353136, 1300.0287107093227], [1287.0592589842906, 1305.5274351356063], [1292.1599833134494, 1310.4135347365602], [1292.8772803604445, 1311.0958121104743], [1296.3617057073948, 1314.433926457179], [1292.7095666546804, 1310.740988757784], [1285.3840247436272, 1303.2646709841076]]"
8,01440,"(2, 1, 1)","(0, 0, 1, 12)",57.4310040411475,"[1195.4160469828917, 1193.5749468123006, 1189.8988577911005, 1187.8109280488488, 1184.5053196956717, 1177.2325566899133, 1168.8300651229513, 1162.32656445212, 1159.0490327066623, 1158.7025927357229, 1160.6282322885918, 1163.6913375621389]","[[1179.5823631361902, 1211.249730829593], [1177.8765021749457, 1209.2733914496555], [1174.3323256466417, 1205.4653899355592], [1172.370403818242, 1203.2514522794556], [1169.1895008295267, 1199.8211385618167], [1162.0407966028854, 1192.4243167769412], [1153.7550867985872, 1183.9050434473154], [1147.3673248928549, 1177.2858040113852], [1144.203963108624, 1173.8941023047005], [1143.967485634075, 1173.4376998373707], [1146.001381728728, 1175.2550828484557], [1149.1701471230444, 1178.2125280012333]]"
9,01453,"(1, 1, 0)","(0, 0, 0, 12)",41.15533571880509,"[1340.5732328440934, 1344.8816900787415, 1349.0257225680305, 1353.067548995575, 1357.0457835692976, 1360.984409295343, 1364.898331127926, 1368.7968172021892, 1372.6856335813297, 1376.5683695228302, 1380.4472606451902, 1384.323700557278]","[[1326.327631817407, 1354.8188338707796], [1330.755291903242, 1359.0080882542409], [1335.0156422003006, 1363.0358029357603], [1339.170954879833, 1366.9641431113168], [1343.2599595145466, 1370.8316076240485], [1347.3067466935943, 1374.662071897092], [1351.326322559046, 1378.470339696806], [1355.3280510568993, 1382.2655833474792], [1359.3177885090552, 1386.0534786536043], [1363.2992100058666, 1389.8375290397937], [1367.2746325092883, 1393.6198887810922], [1371.2455268777337, 1397.4018742368223]]"
