Metro,datetime,isPartial,Black Lives Matter,Political Correctness,Make America Great Again,Euthanasia,Starbucks,rel_pop_Black Lives Matter,rel_pop_Political Correctness,rel_pop_Make America Great Again,rel_pop_Euthanasia,rel_pop_Starbucks
Springfield,2014-01-01,False,0.0,,0.0,28.571428571428573,29.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-02-01,False,0.0,,0.0,28.571428571428573,37.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-03-01,False,0.0,,0.0,71.42857142857143,40.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-04-01,False,0.0,,0.0,28.571428571428573,49.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-05-01,False,0.0,,0.0,0.0,53.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-06-01,False,0.0,,0.0,0.0,28.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-07-01,False,0.0,,0.0,42.857142857142854,45.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-08-01,False,0.0,,0.0,42.857142857142854,57.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-09-01,False,0.0,,0.0,42.857142857142854,40.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-10-01,False,0.0,,0.0,0.0,45.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-11-01,False,0.0,,0.0,71.42857142857143,34.0,25.0,0.0,6.0,7.0,100.0
Springfield,2014-12-01,False,12.0,,0.0,42.857142857142854,50.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-01-01,False,12.0,,0.0,0.0,28.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-02-01,False,0.0,,0.0,85.71428571428571,47.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-03-01,False,12.0,,0.0,42.857142857142854,83.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-04-01,False,32.0,,0.0,0.0,62.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-05-01,False,0.0,,0.0,0.0,59.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-06-01,False,0.0,,0.0,0.0,44.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-07-01,False,0.0,,0.0,0.0,55.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-08-01,False,28.0,,66.66666666666667,57.142857142857146,48.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-09-01,False,0.0,,0.0,0.0,65.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-10-01,False,24.0,,50.0,42.857142857142854,54.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-11-01,False,36.0,,0.0,85.71428571428571,69.0,25.0,0.0,6.0,7.0,100.0
Springfield,2015-12-01,False,24.0,,100.0,42.857142857142854,82.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-01-01,False,24.0,,33.333333333333336,57.142857142857146,43.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-02-01,False,40.0,,0.0,28.571428571428573,53.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-03-01,False,48.0,,66.66666666666667,0.0,53.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-04-01,False,24.0,,33.333333333333336,0.0,48.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-05-01,False,36.0,,33.333333333333336,100.0,34.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-06-01,False,20.0,,83.33333333333333,0.0,43.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-07-01,False,100.0,,0.0,0.0,46.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-08-01,False,72.0,,50.0,0.0,41.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-09-01,False,52.0,,66.66666666666667,28.571428571428573,45.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-10-01,False,32.0,,0.0,57.142857142857146,45.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-11-01,False,48.0,,66.66666666666667,57.142857142857146,55.0,25.0,0.0,6.0,7.0,100.0
Springfield,2016-12-01,False,24.0,,66.66666666666667,57.142857142857146,63.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-01-01,False,16.0,,66.66666666666667,28.571428571428573,62.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-02-01,False,16.0,,0.0,85.71428571428571,48.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-03-01,False,0.0,,0.0,0.0,58.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-04-01,False,16.0,,66.66666666666667,57.142857142857146,76.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-05-01,False,8.0,,0.0,28.571428571428573,44.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-06-01,False,8.0,,0.0,28.571428571428573,65.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-07-01,False,20.0,,0.0,0.0,74.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-08-01,False,8.0,,0.0,0.0,54.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-09-01,False,8.0,,0.0,28.571428571428573,54.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-10-01,False,8.0,,0.0,28.571428571428573,54.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-11-01,False,16.0,,0.0,28.571428571428573,61.0,25.0,0.0,6.0,7.0,100.0
Springfield,2017-12-01,False,32.0,,0.0,57.142857142857146,61.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-01-01,False,0.0,,0.0,0.0,38.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-02-01,False,24.0,,0.0,28.571428571428573,50.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-03-01,False,8.0,,0.0,28.571428571428573,53.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-04-01,False,28.0,,0.0,28.571428571428573,72.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-05-01,False,0.0,,33.333333333333336,0.0,59.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-06-01,False,0.0,,0.0,28.571428571428573,68.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-07-01,False,0.0,,0.0,0.0,61.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-08-01,False,8.0,,0.0,28.571428571428573,50.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-09-01,False,24.0,,0.0,28.571428571428573,58.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-10-01,False,0.0,,33.333333333333336,0.0,56.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-11-01,False,24.0,,0.0,28.571428571428573,67.0,25.0,0.0,6.0,7.0,100.0
Springfield,2018-12-01,False,28.0,,0.0,28.571428571428573,66.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-01-01,False,0.0,,33.333333333333336,0.0,56.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-02-01,False,8.0,,33.333333333333336,0.0,69.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-03-01,False,0.0,,0.0,28.571428571428573,55.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-04-01,False,16.0,,0.0,28.571428571428573,50.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-05-01,False,0.0,,0.0,0.0,100.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-06-01,False,0.0,,0.0,57.142857142857146,65.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-07-01,False,8.0,,0.0,0.0,88.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-08-01,False,0.0,,0.0,0.0,82.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-09-01,False,8.0,,0.0,42.857142857142854,55.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-10-01,False,40.0,,0.0,71.42857142857143,58.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-11-01,False,12.0,,0.0,42.857142857142854,44.0,25.0,0.0,6.0,7.0,100.0
Springfield,2019-12-01,False,0.0,,0.0,71.42857142857143,69.0,25.0,0.0,6.0,7.0,100.0
Springfield,2020-01-01,False,0.0,,0.0,28.571428571428573,84.0,25.0,0.0,6.0,7.0,100.0
Worcester,2014-01-01,False,0.0,0.0,0.0,33.333333333333336,51.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-02-01,False,0.0,0.0,0.0,66.66666666666667,53.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-03-01,False,0.0,0.0,0.0,66.66666666666667,51.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-04-01,False,0.0,0.0,0.0,66.66666666666667,55.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-05-01,False,0.0,0.0,0.0,100.0,63.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-06-01,False,0.0,0.0,0.0,66.66666666666667,59.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-07-01,False,0.0,0.0,0.0,33.333333333333336,58.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-08-01,False,0.0,0.0,0.0,66.66666666666667,60.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-09-01,False,0.0,0.0,0.0,33.333333333333336,57.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-10-01,False,0.0,0.0,0.0,66.66666666666667,52.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-11-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,68.0,28.0,1.0,5.0,3.0,100.0
Worcester,2014-12-01,False,7.142857142857143,0.0,0.0,66.66666666666667,67.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-01-01,False,10.714285714285714,0.0,0.0,66.66666666666667,59.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-02-01,False,3.5714285714285716,0.0,0.0,33.333333333333336,57.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-03-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,59.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-04-01,False,7.142857142857143,100.0,0.0,100.0,64.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-05-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,63.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-06-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,57.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-07-01,False,10.714285714285714,100.0,0.0,33.333333333333336,54.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-08-01,False,28.571428571428573,0.0,20.0,66.66666666666667,56.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-09-01,False,10.714285714285714,100.0,20.0,33.333333333333336,53.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-10-01,False,14.285714285714286,0.0,20.0,66.66666666666667,61.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-11-01,False,17.857142857142858,100.0,20.0,66.66666666666667,91.0,28.0,1.0,5.0,3.0,100.0
Worcester,2015-12-01,False,14.285714285714286,0.0,20.0,66.66666666666667,73.0,28.0,1.0,5.0,3.0,100.0
Worcester,2016-01-01,False,10.714285714285714,100.0,20.0,33.333333333333336,65.0,28.0,1.0,5.0,3.0,100.0
Worcester,2016-02-01,False,21.428571428571427,0.0,40.0,66.66666666666667,63.0,28.0,1.0,5.0,3.0,100.0
Worcester,2016-03-01,False,17.857142857142858,0.0,60.0,66.66666666666667,61.0,28.0,1.0,5.0,3.0,100.0
Worcester,2016-04-01,False,10.714285714285714,0.0,20.0,100.0,64.0,28.0,1.0,5.0,3.0,100.0
Worcester,2016-05-01,False,10.714285714285714,0.0,40.0,66.66666666666667,70.0,28.0,1.0,5.0,3.0,100.0
