Metro,datetime,isPartial,apartment for rent,studio for rent,1 bedroom for rent,3 bedroom for rent,starbucks,rel_pop_apartment for rent,rel_pop_studio for rent,rel_pop_1 bedroom for rent,rel_pop_3 bedroom for rent,rel_pop_starbucks
Springfield,2014-01-01,False,9.375,0.0,0.0,0.0,30.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-02-01,False,43.75,57.142857142857146,33.333333333333336,0.0,39.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-03-01,False,40.625,21.428571428571427,0.0,0.0,32.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-04-01,False,53.125,0.0,0.0,0.0,42.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-05-01,False,0.0,0.0,0.0,33.333333333333336,61.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-06-01,False,37.5,0.0,0.0,88.88888888888889,53.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-07-01,False,12.5,0.0,0.0,44.44444444444444,51.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-08-01,False,12.5,0.0,0.0,88.88888888888889,54.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-09-01,False,37.5,0.0,33.333333333333336,33.333333333333336,43.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-10-01,False,18.75,0.0,0.0,33.333333333333336,63.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-11-01,False,0.0,0.0,0.0,33.333333333333336,66.0,32.0,14.0,9.0,9.0,100.0
Springfield,2014-12-01,False,18.75,0.0,33.333333333333336,33.333333333333336,72.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-01-01,False,28.125,0.0,0.0,0.0,32.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-02-01,False,9.375,21.428571428571427,0.0,33.333333333333336,44.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-03-01,False,18.75,0.0,0.0,33.333333333333336,68.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-04-01,False,28.125,0.0,33.333333333333336,0.0,40.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-05-01,False,21.875,0.0,44.44444444444444,0.0,72.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-06-01,False,12.5,0.0,0.0,0.0,43.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-07-01,False,12.5,0.0,0.0,0.0,58.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-08-01,False,25.0,0.0,0.0,0.0,38.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-09-01,False,12.5,0.0,0.0,0.0,71.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-10-01,False,31.25,0.0,33.333333333333336,0.0,42.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-11-01,False,31.25,0.0,33.333333333333336,0.0,100.0,32.0,14.0,9.0,9.0,100.0
Springfield,2015-12-01,False,40.625,0.0,33.333333333333336,0.0,91.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-01-01,False,62.5,35.714285714285715,0.0,0.0,67.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-02-01,False,28.125,14.285714285714286,0.0,0.0,43.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-03-01,False,56.25,14.285714285714286,0.0,22.22222222222222,46.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-04-01,False,43.75,0.0,0.0,22.22222222222222,69.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-05-01,False,65.625,21.428571428571427,0.0,55.55555555555556,50.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-06-01,False,71.875,0.0,0.0,0.0,61.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-07-01,False,100.0,0.0,100.0,33.333333333333336,56.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-08-01,False,18.75,42.857142857142854,0.0,0.0,62.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-09-01,False,15.625,0.0,0.0,0.0,54.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-10-01,False,28.125,0.0,0.0,22.22222222222222,44.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-11-01,False,21.875,50.0,0.0,0.0,78.0,32.0,14.0,9.0,9.0,100.0
Springfield,2016-12-01,False,56.25,0.0,22.22222222222222,0.0,81.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-01-01,False,50.0,35.714285714285715,55.55555555555556,22.22222222222222,49.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-02-01,False,28.125,0.0,55.55555555555556,22.22222222222222,46.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-03-01,False,25.0,14.285714285714286,22.22222222222222,66.66666666666667,62.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-04-01,False,28.125,14.285714285714286,22.22222222222222,22.22222222222222,91.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-05-01,False,15.625,35.714285714285715,77.77777777777777,22.22222222222222,65.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-06-01,False,59.375,21.428571428571427,33.333333333333336,33.333333333333336,75.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-07-01,False,9.375,35.714285714285715,0.0,0.0,69.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-08-01,False,46.875,0.0,33.333333333333336,55.55555555555556,72.0,32.0,14.0,9.0,9.0,100.0
