Metro,datetime,isPartial,Gun range,Gun licence,Gun control,Gun violence,Starbucks,rel_pop_Gun range,rel_pop_Gun licence,rel_pop_Gun control,rel_pop_Gun violence,rel_pop_Starbucks
Springfield,2014-01-01,False,0.0,,0.0,0.0,29.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-02-01,False,62.5,,38.46153846153846,22.22222222222222,37.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-03-01,False,62.5,,38.46153846153846,0.0,40.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-04-01,False,62.5,,15.384615384615385,0.0,49.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-05-01,False,37.5,,23.076923076923077,33.333333333333336,53.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-06-01,False,0.0,,23.076923076923077,33.333333333333336,28.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-07-01,False,37.5,,0.0,0.0,45.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-08-01,False,0.0,,23.076923076923077,0.0,57.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-09-01,False,0.0,,23.076923076923077,0.0,40.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-10-01,False,62.5,,61.53846153846154,33.333333333333336,45.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-11-01,False,0.0,,0.0,33.333333333333336,34.0,8.0,0.0,13.0,9.0,100.0
Springfield,2014-12-01,False,37.5,,46.15384615384615,0.0,50.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-01-01,False,37.5,,23.076923076923077,33.333333333333336,28.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-02-01,False,0.0,,0.0,0.0,47.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-03-01,False,0.0,,38.46153846153846,0.0,83.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-04-01,False,0.0,,23.076923076923077,0.0,62.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-05-01,False,0.0,,23.076923076923077,0.0,59.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-06-01,False,37.5,,23.076923076923077,33.333333333333336,44.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-07-01,False,87.5,,30.76923076923077,0.0,55.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-08-01,False,50.0,,30.76923076923077,0.0,48.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-09-01,False,0.0,,46.15384615384615,33.333333333333336,65.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-10-01,False,0.0,,84.61538461538461,0.0,54.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-11-01,False,0.0,,46.15384615384615,66.66666666666667,69.0,8.0,0.0,13.0,9.0,100.0
Springfield,2015-12-01,False,0.0,,84.61538461538461,66.66666666666667,82.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-01-01,False,25.0,,100.0,44.44444444444444,43.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-02-01,False,0.0,,15.384615384615385,44.44444444444444,53.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-03-01,False,50.0,,46.15384615384615,0.0,53.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-04-01,False,50.0,,46.15384615384615,44.44444444444444,48.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-05-01,False,25.0,,38.46153846153846,0.0,34.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-06-01,False,37.5,,100.0,33.333333333333336,43.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-07-01,False,100.0,,38.46153846153846,0.0,46.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-08-01,False,0.0,,0.0,0.0,41.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-09-01,False,25.0,,15.384615384615385,22.22222222222222,45.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-10-01,False,50.0,,30.76923076923077,0.0,45.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-11-01,False,25.0,,76.92307692307692,0.0,55.0,8.0,0.0,13.0,9.0,100.0
Springfield,2016-12-01,False,0.0,,61.53846153846154,22.22222222222222,63.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-01-01,False,25.0,,0.0,0.0,62.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-02-01,False,0.0,,15.384615384615385,0.0,48.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-03-01,False,62.5,,15.384615384615385,22.22222222222222,58.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-04-01,False,50.0,,30.76923076923077,0.0,76.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-05-01,False,25.0,,15.384615384615385,22.22222222222222,44.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-06-01,False,62.5,,0.0,0.0,65.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-07-01,False,25.0,,15.384615384615385,0.0,74.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-08-01,False,0.0,,0.0,0.0,54.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-09-01,False,25.0,,0.0,22.22222222222222,54.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-10-01,False,25.0,,53.84615384615385,44.44444444444444,54.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-11-01,False,50.0,,0.0,22.22222222222222,61.0,8.0,0.0,13.0,9.0,100.0
Springfield,2017-12-01,False,0.0,,15.384615384615385,0.0,61.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-01-01,False,50.0,,15.384615384615385,0.0,38.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-02-01,False,25.0,,76.92307692307692,66.66666666666667,50.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-03-01,False,37.5,,76.92307692307692,100.0,53.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-04-01,False,0.0,,69.23076923076923,77.77777777777777,72.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-05-01,False,25.0,,46.15384615384615,0.0,59.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-06-01,False,0.0,,30.76923076923077,0.0,68.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-07-01,False,0.0,,0.0,0.0,61.0,8.0,0.0,13.0,9.0,100.0
