Metro,datetime,isPartial,home for rent,house for rent,townhome for rent,townhouse for rent,starbucks,rel_pop_home for rent,rel_pop_house for rent,rel_pop_townhome for rent,rel_pop_townhouse for rent,rel_pop_starbucks
Springfield,2014-01-01,False,25.0,37.93103448275862,,,30.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-02-01,False,0.0,37.93103448275862,,,39.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-03-01,False,41.666666666666664,65.51724137931035,,,32.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-04-01,False,0.0,37.93103448275862,,,42.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-05-01,False,25.0,34.48275862068966,,,61.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-06-01,False,33.333333333333336,68.96551724137932,,,53.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-07-01,False,0.0,13.793103448275861,,,51.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-08-01,False,0.0,37.93103448275862,,,54.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-09-01,False,50.0,10.344827586206897,,,43.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-10-01,False,0.0,0.0,,,63.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-11-01,False,25.0,62.06896551724138,,,66.0,12.0,29.0,0.0,0.0,100.0
Springfield,2014-12-01,False,0.0,20.689655172413794,,,72.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-01-01,False,50.0,20.689655172413794,,,32.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-02-01,False,0.0,20.689655172413794,,,44.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-03-01,False,0.0,41.37931034482759,,,68.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-04-01,False,25.0,31.03448275862069,,,40.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-05-01,False,0.0,0.0,,,72.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-06-01,False,33.333333333333336,13.793103448275861,,,43.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-07-01,False,100.0,72.41379310344827,,,58.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-08-01,False,33.333333333333336,27.586206896551722,,,38.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-09-01,False,33.333333333333336,37.93103448275862,,,71.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-10-01,False,25.0,44.827586206896555,,,42.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-11-01,False,25.0,10.344827586206897,,,100.0,12.0,29.0,0.0,0.0,100.0
Springfield,2015-12-01,False,0.0,44.827586206896555,,,91.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-01-01,False,16.666666666666668,58.62068965517241,,,67.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-02-01,False,16.666666666666668,31.03448275862069,,,43.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-03-01,False,41.666666666666664,79.3103448275862,,,46.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-04-01,False,16.666666666666668,72.41379310344827,,,69.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-05-01,False,83.33333333333333,34.48275862068966,,,50.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-06-01,False,50.0,48.275862068965516,,,61.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-07-01,False,75.0,100.0,,,56.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-08-01,False,25.0,62.06896551724138,,,62.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-09-01,False,41.666666666666664,17.24137931034483,,,54.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-10-01,False,16.666666666666668,55.172413793103445,,,44.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-11-01,False,58.333333333333336,41.37931034482759,,,78.0,12.0,29.0,0.0,0.0,100.0
Springfield,2016-12-01,False,16.666666666666668,31.03448275862069,,,81.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-01-01,False,41.666666666666664,48.275862068965516,,,49.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-02-01,False,16.666666666666668,62.06896551724138,,,46.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-03-01,False,33.333333333333336,48.275862068965516,,,62.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-04-01,False,16.666666666666668,68.96551724137932,,,91.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-05-01,False,16.666666666666668,34.48275862068966,,,65.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-06-01,False,41.666666666666664,44.827586206896555,,,75.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-07-01,False,25.0,65.51724137931035,,,69.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-08-01,False,0.0,72.41379310344827,,,72.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-09-01,False,16.666666666666668,37.93103448275862,,,61.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-10-01,False,0.0,37.93103448275862,,,62.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-11-01,False,91.66666666666667,51.724137931034484,,,69.0,12.0,29.0,0.0,0.0,100.0
Springfield,2017-12-01,False,16.666666666666668,31.03448275862069,,,66.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-01-01,False,16.666666666666668,37.93103448275862,,,59.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-02-01,False,0.0,37.93103448275862,,,48.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-03-01,False,0.0,34.48275862068966,,,59.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-04-01,False,16.666666666666668,41.37931034482759,,,82.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-05-01,False,33.333333333333336,51.724137931034484,,,72.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-06-01,False,58.333333333333336,48.275862068965516,,,77.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-07-01,False,16.666666666666668,31.03448275862069,,,79.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-08-01,False,75.0,72.41379310344827,,,67.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-09-01,False,33.333333333333336,51.724137931034484,,,66.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-10-01,False,66.66666666666667,62.06896551724138,,,49.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-11-01,False,33.333333333333336,27.586206896551722,,,70.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-12-01,False,33.333333333333336,20.689655172413794,,,49.0,12.0,29.0,0.0,0.0,100.0
