Metro,datetime,isPartial,Job opportunities,Unemployment,Retirement,Layoff,Starbucks,rel_pop_Job opportunities,rel_pop_Unemployment,rel_pop_Retirement,rel_pop_Layoff,rel_pop_Starbucks
Springfield,2014-01-01,False,37.5,100.0,36.53846153846154,0.0,28.35820895522388,8.0,100.0,52.0,3.0,67.0
Springfield,2014-02-01,False,62.5,74.0,40.38461538461539,0.0,35.82089552238806,8.0,100.0,52.0,3.0,67.0
Springfield,2014-03-01,False,25.0,58.0,69.23076923076923,0.0,40.298507462686565,8.0,100.0,52.0,3.0,67.0
Springfield,2014-04-01,False,0.0,66.0,48.07692307692308,0.0,49.25373134328358,8.0,100.0,52.0,3.0,67.0
Springfield,2014-05-01,False,50.0,73.0,75.0,0.0,52.23880597014925,8.0,100.0,52.0,3.0,67.0
Springfield,2014-06-01,False,62.5,56.0,36.53846153846154,0.0,28.35820895522388,8.0,100.0,52.0,3.0,67.0
Springfield,2014-07-01,False,25.0,44.0,40.38461538461539,0.0,44.776119402985074,8.0,100.0,52.0,3.0,67.0
Springfield,2014-08-01,False,25.0,61.0,69.23076923076923,0.0,56.71641791044776,8.0,100.0,52.0,3.0,67.0
Springfield,2014-09-01,False,0.0,34.0,44.23076923076923,0.0,40.298507462686565,8.0,100.0,52.0,3.0,67.0
Springfield,2014-10-01,False,87.5,47.0,42.30769230769231,0.0,44.776119402985074,8.0,100.0,52.0,3.0,67.0
Springfield,2014-11-01,False,25.0,35.0,61.53846153846154,0.0,34.32835820895522,8.0,100.0,52.0,3.0,67.0
Springfield,2014-12-01,False,0.0,44.0,50.0,0.0,49.25373134328358,8.0,100.0,52.0,3.0,67.0
Springfield,2015-01-01,False,75.0,40.0,76.92307692307692,0.0,28.35820895522388,8.0,100.0,52.0,3.0,67.0
Springfield,2015-02-01,False,25.0,64.0,57.69230769230769,0.0,47.76119402985075,8.0,100.0,52.0,3.0,67.0
Springfield,2015-03-01,False,50.0,57.0,100.0,66.66666666666667,82.08955223880596,8.0,100.0,52.0,3.0,67.0
Springfield,2015-04-01,False,50.0,33.0,69.23076923076923,0.0,61.19402985074627,8.0,100.0,52.0,3.0,67.0
Springfield,2015-05-01,False,25.0,25.0,44.23076923076923,66.66666666666667,58.208955223880594,8.0,100.0,52.0,3.0,67.0
Springfield,2015-06-01,False,25.0,48.0,75.0,0.0,43.28358208955224,8.0,100.0,52.0,3.0,67.0
Springfield,2015-07-01,False,0.0,37.0,51.92307692307692,0.0,53.73134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2015-08-01,False,25.0,20.0,51.92307692307692,0.0,47.76119402985075,8.0,100.0,52.0,3.0,67.0
Springfield,2015-09-01,False,0.0,39.0,67.3076923076923,0.0,64.17910447761194,8.0,100.0,52.0,3.0,67.0
Springfield,2015-10-01,False,0.0,36.0,28.846153846153847,0.0,53.73134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2015-11-01,False,100.0,21.0,32.69230769230769,66.66666666666667,68.65671641791045,8.0,100.0,52.0,3.0,67.0
Springfield,2015-12-01,False,25.0,28.0,32.69230769230769,0.0,82.08955223880596,8.0,100.0,52.0,3.0,67.0
Springfield,2016-01-01,False,0.0,64.0,44.23076923076923,0.0,43.28358208955224,8.0,100.0,52.0,3.0,67.0
Springfield,2016-02-01,False,12.5,56.0,40.38461538461539,33.333333333333336,53.73134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2016-03-01,False,37.5,39.0,44.23076923076923,0.0,52.23880597014925,8.0,100.0,52.0,3.0,67.0
Springfield,2016-04-01,False,37.5,52.0,38.46153846153846,100.0,47.76119402985075,8.0,100.0,52.0,3.0,67.0
Springfield,2016-05-01,False,0.0,29.0,61.53846153846154,0.0,34.32835820895522,8.0,100.0,52.0,3.0,67.0
Springfield,2016-06-01,False,37.5,41.0,50.0,0.0,43.28358208955224,8.0,100.0,52.0,3.0,67.0
Springfield,2016-07-01,False,25.0,43.0,73.07692307692308,0.0,46.26865671641791,8.0,100.0,52.0,3.0,67.0
Springfield,2016-08-01,False,25.0,41.0,65.38461538461539,100.0,40.298507462686565,8.0,100.0,52.0,3.0,67.0
Springfield,2016-09-01,False,12.5,30.0,25.0,0.0,44.776119402985074,8.0,100.0,52.0,3.0,67.0
Springfield,2016-10-01,False,12.5,46.0,34.61538461538461,33.333333333333336,44.776119402985074,8.0,100.0,52.0,3.0,67.0
Springfield,2016-11-01,False,12.5,52.0,63.46153846153846,0.0,55.223880597014926,8.0,100.0,52.0,3.0,67.0
Springfield,2016-12-01,False,0.0,38.0,48.07692307692308,33.333333333333336,62.6865671641791,8.0,100.0,52.0,3.0,67.0
Springfield,2017-01-01,False,12.5,65.0,61.53846153846154,33.333333333333336,61.19402985074627,8.0,100.0,52.0,3.0,67.0
Springfield,2017-02-01,False,50.0,41.0,55.76923076923077,0.0,47.76119402985075,8.0,100.0,52.0,3.0,67.0
Springfield,2017-03-01,False,12.5,36.0,57.69230769230769,66.66666666666667,56.71641791044776,8.0,100.0,52.0,3.0,67.0
Springfield,2017-04-01,False,37.5,30.0,57.69230769230769,0.0,76.11940298507463,8.0,100.0,52.0,3.0,67.0
Springfield,2017-05-01,False,0.0,58.0,59.61538461538461,0.0,44.776119402985074,8.0,100.0,52.0,3.0,67.0
Springfield,2017-06-01,False,25.0,28.0,32.69230769230769,66.66666666666667,64.17910447761194,8.0,100.0,52.0,3.0,67.0
Springfield,2017-07-01,False,0.0,43.0,42.30769230769231,66.66666666666667,74.6268656716418,8.0,100.0,52.0,3.0,67.0
Springfield,2017-08-01,False,100.0,55.0,75.0,0.0,53.73134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2017-09-01,False,0.0,35.0,38.46153846153846,0.0,53.73134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2017-10-01,False,25.0,34.0,51.92307692307692,0.0,53.73134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2017-11-01,False,0.0,27.0,57.69230769230769,33.333333333333336,61.19402985074627,8.0,100.0,52.0,3.0,67.0
Springfield,2017-12-01,False,12.5,42.0,32.69230769230769,0.0,61.19402985074627,8.0,100.0,52.0,3.0,67.0
Springfield,2018-01-01,False,50.0,49.0,82.6923076923077,33.333333333333336,37.3134328358209,8.0,100.0,52.0,3.0,67.0
Springfield,2018-02-01,False,12.5,62.0,84.61538461538461,0.0,49.25373134328358,8.0,100.0,52.0,3.0,67.0
Springfield,2018-03-01,False,62.5,41.0,59.61538461538461,0.0,52.23880597014925,8.0,100.0,52.0,3.0,67.0
Springfield,2018-04-01,False,12.5,47.0,63.46153846153846,33.333333333333336,71.64179104477611,8.0,100.0,52.0,3.0,67.0
Springfield,2018-05-01,False,50.0,36.0,71.15384615384616,0.0,59.701492537313435,8.0,100.0,52.0,3.0,67.0
Springfield,2018-06-01,False,37.5,34.0,50.0,0.0,67.16417910447761,8.0,100.0,52.0,3.0,67.0
Springfield,2018-07-01,False,37.5,46.0,69.23076923076923,0.0,59.701492537313435,8.0,100.0,52.0,3.0,67.0
Springfield,2018-08-01,False,0.0,54.0,80.76923076923077,0.0,49.25373134328358,8.0,100.0,52.0,3.0,67.0
Springfield,2018-09-01,False,0.0,29.0,44.23076923076923,0.0,58.208955223880594,8.0,100.0,52.0,3.0,67.0
Springfield,2018-10-01,False,0.0,30.0,42.30769230769231,33.333333333333336,55.223880597014926,8.0,100.0,52.0,3.0,67.0
Springfield,2018-11-01,False,25.0,45.0,51.92307692307692,0.0,67.16417910447761,8.0,100.0,52.0,3.0,67.0
Springfield,2018-12-01,False,12.5,50.0,30.76923076923077,0.0,65.67164179104478,8.0,100.0,52.0,3.0,67.0
Springfield,2019-01-01,False,25.0,63.0,50.0,0.0,55.223880597014926,8.0,100.0,52.0,3.0,67.0
Springfield,2019-02-01,False,0.0,50.0,53.84615384615385,33.333333333333336,68.65671641791045,8.0,100.0,52.0,3.0,67.0
Springfield,2019-03-01,False,0.0,48.0,51.92307692307692,0.0,55.223880597014926,8.0,100.0,52.0,3.0,67.0
Springfield,2019-04-01,False,0.0,26.0,30.76923076923077,0.0,49.25373134328358,8.0,100.0,52.0,3.0,67.0
Springfield,2019-05-01,False,0.0,39.0,61.53846153846154,33.333333333333336,100.0,8.0,100.0,52.0,3.0,67.0
Springfield,2019-06-01,False,12.5,45.0,53.84615384615385,33.333333333333336,64.17910447761194,8.0,100.0,52.0,3.0,67.0
Springfield,2019-07-01,False,0.0,49.0,53.84615384615385,33.333333333333336,88.05970149253731,8.0,100.0,52.0,3.0,67.0
Springfield,2019-08-01,False,50.0,40.0,88.46153846153847,0.0,82.08955223880596,8.0,100.0,52.0,3.0,67.0
Springfield,2019-09-01,False,25.0,35.0,61.53846153846154,0.0,55.223880597014926,8.0,100.0,52.0,3.0,67.0
Springfield,2019-10-01,False,0.0,34.0,38.46153846153846,0.0,56.71641791044776,8.0,100.0,52.0,3.0,67.0
Springfield,2019-11-01,False,12.5,36.0,34.61538461538461,33.333333333333336,44.776119402985074,8.0,100.0,52.0,3.0,67.0
