Metro,datetime,isPartial,condos for rent,duplex apartments for rent,townhomes for rent,townhouses for rent,starbucks,rel_pop_condos for rent,rel_pop_duplex apartments for rent,rel_pop_townhomes for rent,rel_pop_townhouses for rent,rel_pop_starbucks
Springfield,2014-01-01,False,50.0,,,,30.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-02-01,False,37.5,,,,39.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-03-01,False,18.75,,,,32.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-04-01,False,37.5,,,,42.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-05-01,False,18.75,,,,61.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-06-01,False,50.0,,,,53.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-07-01,False,25.0,,,,51.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-08-01,False,0.0,,,,54.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-09-01,False,37.5,,,,43.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-10-01,False,0.0,,,,63.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-11-01,False,18.75,,,,66.0,16.0,0.0,0.0,0.0,100.0
Springfield,2014-12-01,False,37.5,,,,72.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-01-01,False,0.0,,,,32.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-02-01,False,37.5,,,,44.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-03-01,False,0.0,,,,68.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-04-01,False,18.75,,,,40.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-05-01,False,25.0,,,,72.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-06-01,False,50.0,,,,43.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-07-01,False,50.0,,,,58.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-08-01,False,25.0,,,,38.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-09-01,False,43.75,,,,71.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-10-01,False,18.75,,,,42.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-11-01,False,18.75,,,,100.0,16.0,0.0,0.0,0.0,100.0
Springfield,2015-12-01,False,0.0,,,,91.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-01-01,False,43.75,,,,67.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-02-01,False,31.25,,,,43.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-03-01,False,100.0,,,,46.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-04-01,False,43.75,,,,69.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-05-01,False,31.25,,,,50.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-06-01,False,0.0,,,,61.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-07-01,False,18.75,,,,56.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-08-01,False,56.25,,,,62.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-09-01,False,0.0,,,,54.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-10-01,False,31.25,,,,44.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-11-01,False,12.5,,,,78.0,16.0,0.0,0.0,0.0,100.0
Springfield,2016-12-01,False,12.5,,,,81.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-01-01,False,43.75,,,,49.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-02-01,False,87.5,,,,46.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-03-01,False,25.0,,,,62.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-04-01,False,56.25,,,,91.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-05-01,False,0.0,,,,65.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-06-01,False,18.75,,,,75.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-07-01,False,18.75,,,,69.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-08-01,False,18.75,,,,72.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-09-01,False,43.75,,,,61.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-10-01,False,37.5,,,,62.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-11-01,False,12.5,,,,69.0,16.0,0.0,0.0,0.0,100.0
Springfield,2017-12-01,False,25.0,,,,66.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-01-01,False,56.25,,,,59.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-02-01,False,12.5,,,,48.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-03-01,False,12.5,,,,59.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-04-01,False,87.5,,,,82.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-05-01,False,25.0,,,,72.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-06-01,False,31.25,,,,77.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-07-01,False,62.5,,,,79.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-08-01,False,0.0,,,,67.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-09-01,False,25.0,,,,66.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-10-01,False,25.0,,,,49.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-11-01,False,12.5,,,,70.0,16.0,0.0,0.0,0.0,100.0
Springfield,2018-12-01,False,12.5,,,,49.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-01-01,False,81.25,,,,64.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-02-01,False,68.75,,,,79.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-03-01,False,37.5,,,,74.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-04-01,False,0.0,,,,53.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-05-01,False,25.0,,,,86.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-06-01,False,0.0,,,,58.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-07-01,False,43.75,,,,91.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-08-01,False,0.0,,,,80.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-09-01,False,25.0,,,,73.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-10-01,False,25.0,,,,63.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-11-01,False,12.5,,,,81.0,16.0,0.0,0.0,0.0,100.0
Springfield,2019-12-01,False,12.5,,,,74.0,16.0,0.0,0.0,0.0,100.0
Springfield,2020-01-01,False,37.5,,,,66.0,16.0,0.0,0.0,0.0,100.0
Worcester,2014-01-01,False,60.0,,100.0,0.0,48.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-02-01,False,80.0,,0.0,100.0,54.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-03-01,False,100.0,,0.0,100.0,46.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-04-01,False,80.0,,0.0,100.0,51.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-05-01,False,80.0,,100.0,100.0,63.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-06-01,False,60.0,,100.0,0.0,53.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-07-01,False,60.0,,0.0,100.0,60.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-08-01,False,60.0,,100.0,100.0,52.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-09-01,False,60.0,,100.0,100.0,53.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-10-01,False,40.0,,100.0,0.0,51.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-11-01,False,20.0,,100.0,100.0,65.0,5.0,0.0,1.0,1.0,100.0
Worcester,2014-12-01,False,40.0,,0.0,100.0,69.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-01-01,False,80.0,,0.0,100.0,56.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-02-01,False,100.0,,100.0,100.0,57.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-03-01,False,80.0,,100.0,0.0,58.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-04-01,False,100.0,,100.0,100.0,64.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-05-01,False,80.0,,100.0,100.0,59.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-06-01,False,100.0,,100.0,100.0,60.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-07-01,False,40.0,,0.0,0.0,60.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-08-01,False,80.0,,100.0,100.0,50.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-09-01,False,60.0,,0.0,100.0,54.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-10-01,False,60.0,,100.0,100.0,61.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-11-01,False,40.0,,100.0,100.0,90.0,5.0,0.0,1.0,1.0,100.0
Worcester,2015-12-01,False,20.0,,0.0,0.0,72.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-01-01,False,100.0,,100.0,0.0,64.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-02-01,False,80.0,,0.0,100.0,56.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-03-01,False,80.0,,100.0,100.0,57.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-04-01,False,80.0,,100.0,0.0,63.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-05-01,False,60.0,,100.0,100.0,68.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-06-01,False,100.0,,0.0,100.0,72.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-07-01,False,80.0,,100.0,100.0,79.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-08-01,False,80.0,,100.0,0.0,69.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-09-01,False,40.0,,100.0,100.0,62.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-10-01,False,40.0,,0.0,0.0,61.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-11-01,False,60.0,,0.0,0.0,77.0,5.0,0.0,1.0,1.0,100.0
Worcester,2016-12-01,False,40.0,,0.0,0.0,82.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-01-01,False,80.0,,100.0,100.0,63.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-02-01,False,100.0,,100.0,100.0,65.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-03-01,False,80.0,,0.0,100.0,58.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-04-01,False,80.0,,0.0,100.0,88.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-05-01,False,80.0,,100.0,0.0,69.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-06-01,False,100.0,,100.0,100.0,68.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-07-01,False,60.0,,100.0,0.0,70.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-08-01,False,40.0,,0.0,100.0,64.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-09-01,False,60.0,,100.0,0.0,66.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-10-01,False,60.0,,0.0,100.0,60.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-11-01,False,40.0,,0.0,100.0,79.0,5.0,0.0,1.0,1.0,100.0
Worcester,2017-12-01,False,60.0,,0.0,0.0,85.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-01-01,False,40.0,,100.0,0.0,64.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-02-01,False,60.0,,0.0,100.0,57.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-03-01,False,60.0,,0.0,100.0,69.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-04-01,False,80.0,,100.0,100.0,82.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-05-01,False,80.0,,0.0,0.0,75.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-06-01,False,60.0,,100.0,100.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-07-01,False,60.0,,0.0,100.0,74.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-08-01,False,80.0,,100.0,0.0,74.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-09-01,False,60.0,,0.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-10-01,False,80.0,,0.0,0.0,67.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-11-01,False,60.0,,0.0,0.0,73.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-12-01,False,60.0,,0.0,0.0,80.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-01-01,False,60.0,,100.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-02-01,False,80.0,,100.0,100.0,67.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-03-01,False,80.0,,100.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-04-01,False,80.0,,100.0,100.0,74.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-05-01,False,40.0,,0.0,0.0,100.0,5.0,0.0,1.0,1.0,100.0
