Metro,datetime,isPartial,Twitter,Hashtag,Tender Age Shelter,Fake News,Starbucks,rel_pop_Twitter,rel_pop_Hashtag,rel_pop_Tender Age Shelter,rel_pop_Fake News,rel_pop_Starbucks
Springfield,2014-01-01,False,82.0,50.0,,0.0,27.272727272727273,100.0,2.0,0.0,3.0,22.0
Springfield,2014-02-01,False,86.0,50.0,,0.0,36.36363636363637,100.0,2.0,0.0,3.0,22.0
Springfield,2014-03-01,False,92.0,50.0,,33.333333333333336,40.90909090909091,100.0,2.0,0.0,3.0,22.0
Springfield,2014-04-01,False,100.0,50.0,,0.0,50.0,100.0,2.0,0.0,3.0,22.0
Springfield,2014-05-01,False,84.0,0.0,,33.333333333333336,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2014-06-01,False,74.0,50.0,,0.0,27.272727272727273,100.0,2.0,0.0,3.0,22.0
Springfield,2014-07-01,False,87.0,100.0,,0.0,45.45454545454545,100.0,2.0,0.0,3.0,22.0
Springfield,2014-08-01,False,98.0,100.0,,0.0,59.09090909090909,100.0,2.0,0.0,3.0,22.0
Springfield,2014-09-01,False,86.0,50.0,,0.0,40.90909090909091,100.0,2.0,0.0,3.0,22.0
Springfield,2014-10-01,False,75.0,100.0,,0.0,45.45454545454545,100.0,2.0,0.0,3.0,22.0
Springfield,2014-11-01,False,76.0,100.0,,0.0,36.36363636363637,100.0,2.0,0.0,3.0,22.0
Springfield,2014-12-01,False,67.0,50.0,,0.0,50.0,100.0,2.0,0.0,3.0,22.0
Springfield,2015-01-01,False,78.0,0.0,,0.0,27.272727272727273,100.0,2.0,0.0,3.0,22.0
Springfield,2015-02-01,False,76.0,50.0,,0.0,45.45454545454545,100.0,2.0,0.0,3.0,22.0
Springfield,2015-03-01,False,68.0,100.0,,0.0,81.81818181818181,100.0,2.0,0.0,3.0,22.0
Springfield,2015-04-01,False,69.0,50.0,,0.0,63.63636363636363,100.0,2.0,0.0,3.0,22.0
Springfield,2015-05-01,False,71.0,50.0,,0.0,59.09090909090909,100.0,2.0,0.0,3.0,22.0
Springfield,2015-06-01,False,70.0,50.0,,33.333333333333336,45.45454545454545,100.0,2.0,0.0,3.0,22.0
Springfield,2015-07-01,False,63.0,100.0,,0.0,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2015-08-01,False,73.0,50.0,,33.333333333333336,50.0,100.0,2.0,0.0,3.0,22.0
Springfield,2015-09-01,False,60.0,50.0,,33.333333333333336,63.63636363636363,100.0,2.0,0.0,3.0,22.0
Springfield,2015-10-01,False,61.0,50.0,,0.0,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2015-11-01,False,60.0,0.0,,0.0,68.18181818181819,100.0,2.0,0.0,3.0,22.0
Springfield,2015-12-01,False,70.0,0.0,,0.0,81.81818181818181,100.0,2.0,0.0,3.0,22.0
