,0_lower_bound,0_upper_bound,1_lower_bound,1_upper_bound,2_lower_bound,2_upper_bound,3_lower_bound,3_upper_bound,4_lower_bound,4_upper_bound,5_lower_bound,5_upper_bound,6_lower_bound,6_upper_bound,7_lower_bound,7_upper_bound,8_lower_bound,8_upper_bound,9_lower_bound,9_upper_bound,10_lower_bound,10_upper_bound,11_lower_bound,11_upper_bound
01013,1116.515709149754,1093.3254754290228,1113.6442928904096,1090.6482377454965,1111.6623661425142,1088.8556650404566,1110.2858616844785,1087.6639117020152,1109.321734813569,1086.8801168291525,1108.6387477906085,1086.373215326884,1108.1476491718677,1086.0541209887397,1107.7877252406129,1085.8622652343856,1107.5176420098012,1085.756480598319,1107.309267103899,1085.7087645078118,1107.1434325501793,1085.7000809494004,1107.0070717184824,1085.717489884025
01020,1137.0633190269562,1116.99056572531,1137.9757764555677,1118.073268770427,1140.9137189284843,1121.1769484196761,1143.0247037921697,1123.4494547025408,1146.4139319836554,1126.9962472675056,1148.8612423847035,1129.5976610678008,1148.4640187996788,1129.350635084958,1149.5479495240083,1130.5813482060967,1149.87763247763,1131.0544173312878,1149.2228384644418,1130.5397749683925,1150.4200465957329,1131.8740179985502,1152.3967326467755,1133.9846977587
01040,1111.8747905684324,1081.817896467907,1109.5917057555002,1079.786514164382,1108.3483079212845,1078.7885990561083,1107.6465425745787,1078.3257193094669,1107.2267784077703,1078.1401625351714,1106.9555967749507,1078.09665073852,1106.7620760618838,1078.126533690424,1106.6106747717495,1078.1928243253783,1106.4820206348618,1078.2772021565456,1106.366304009132,1078.3698803510124,1106.2588487335618,1078.4653453580202,1106.1560912136044,1078.5618613371519
01085,1175.8733702529341,1140.7779235455562,1173.570882950792,1138.773104933021,1174.3150504876637,1139.8071760907899,1173.0396382371991,1138.814496729552,1175.901342687852,1141.9520679636437,1179.7051607289316,1146.0250838186782,1183.4975442215166,1150.080329033887,1185.3321277851717,1152.1716932532365,1186.1880220456078,1153.2785293434426,1183.4353392766027,1150.7711675934545,1177.0585011696114,1144.6341829735882,1177.6160627331965,1145.4262840012598
01104,1125.0089559486457,1102.7879519389983,1123.6426754851489,1101.608125003757,1123.1863361963058,1101.3327525961065,1123.0861291044548,1101.4100439470617,1123.0796817059868,1101.575834861449,1123.0684690788817,1101.733775733332,1123.0312772965167,1101.8617697953391,1122.973126822834,1101.964293417024,1122.9030733086538,1102.0513329374926,1122.8280912562047,1102.1304515657628,1122.7526117242687,1102.2054168738614,1122.678090189196,1102.2784636692966
01108,1199.4351655562282,1170.252245889902,1203.367177466746,1174.4454780209544,1206.282438861443,1177.614878014061,1203.4511051984753,1175.0312184460533,1202.8970910691498,1174.718057935558,1201.012212651291,1173.0681772941302,1203.3028994004947,1175.5880393647674,1203.5618993575972,1176.0705682885941,1198.7646677728444,1171.4915817895048,1198.0349814973147,1170.9746979114025,1197.477129749853,1170.6246119822342,1202.304672561101,1175.655297217095
01109,1180.1977677307257,1151.0833755911156,1185.4920519235018,1156.621844018878,1187.7080341690632,1159.0755179278847,1188.1032162027275,1159.7026704166458,1187.7652564965686,1159.591209105365,1187.3032801259308,1159.3497535836407,1186.944874233699,1159.2077175548802,1186.7175928128952,1159.1914634443312,1186.5783375269054,1159.258604567672,1186.481144037647,1159.3624409594418,1186.3956154338491,1159.4751266977298,1186.3105853185452,1159.5826388467617
01420,1251.4143179350585,1231.9165929573,1268.1315154802062,1248.7054236483561,1272.812069381804,1253.6829239862916,1287.0166696644396,1268.0106143519006,1297.200582109321,1278.262894993504,1300.1093592861143,1281.5943333789874,1305.588164958496,1287.1610081389942,1310.6352084372463,1292.2858076056802,1311.3089722437858,1293.304274317406,1314.8721957053108,1296.9303177281126,1311.2233433371298,1293.3668708411383,1303.8403275659996,1286.0669022173736
01440,1211.249730807374,1179.5823630939326,1209.2733913635723,1177.8765011540042,1205.4653907269058,1174.3323223069651,1203.2514507414471,1172.3704022802854,1199.8211379411757,1169.1895011966246,1192.4244607493115,1162.0408190887742,1183.905307972824,1153.7553339104018,1177.2862643362396,1147.3677867625083,1173.8950803121304,1144.2045512397187,1173.4389828165065,1143.9687493018375,1175.256807299925,1146.0031103277831,1178.206148308637,1149.163076108933
01453,1354.8188338365849,1326.32763184525,1359.0080881977517,1330.7552919226753,1363.0358029054055,1335.0156421783026,1366.96414309919,1339.1709548423955,1370.831607604211,1343.259959488425,1374.6620719064756,1347.3067466598648,1378.470339673767,1351.3263225885005,1382.2655834152322,1355.3280510134052,1386.0534787108304,1359.3177885032092,1389.8375290466854,1363.2992100383724,1393.619888862583,1367.2746324796133,1397.4018742684486,1371.24552688356
